variable,label,percentile,value
surface_total_rust_pct,Surface total rust (%),0.01,0.0
surface_total_rust_pct,Surface total rust (%),0.05,0.0
surface_total_rust_pct,Surface total rust (%),0.1,0.0
surface_total_rust_pct,Surface total rust (%),0.25,0.051
surface_total_rust_pct,Surface total rust (%),0.5,0.345
surface_total_rust_pct,Surface total rust (%),0.75,3.165
surface_total_rust_pct,Surface total rust (%),0.9,7.526
surface_total_rust_pct,Surface total rust (%),0.95,12.974499999999999
surface_total_rust_pct,Surface total rust (%),0.99,34.079100000000004
peak_rust_pct,Peak rust (%),0.01,0.0
peak_rust_pct,Peak rust (%),0.05,0.0
peak_rust_pct,Peak rust (%),0.1,0.002
peak_rust_pct,Peak rust (%),0.25,0.1935
peak_rust_pct,Peak rust (%),0.5,1.008
peak_rust_pct,Peak rust (%),0.75,9.7455
peak_rust_pct,Peak rust (%),0.9,18.882
peak_rust_pct,Peak rust (%),0.95,27.495
peak_rust_pct,Peak rust (%),0.99,57.307900000000004
peak_rust_location_cm,Peak rust location (cm),0.01,1.51
peak_rust_location_cm,Peak rust location (cm),0.05,1.51
peak_rust_location_cm,Peak rust location (cm),0.1,1.51
peak_rust_location_cm,Peak rust location (cm),0.25,1.51
peak_rust_location_cm,Peak rust location (cm),0.5,6.5
peak_rust_location_cm,Peak rust location (cm),0.75,16.49
peak_rust_location_cm,Peak rust location (cm),0.9,21.49
peak_rust_location_cm,Peak rust location (cm),0.95,21.49
peak_rust_location_cm,Peak rust location (cm),0.99,21.49
wire_area_loss_frac,Wire area loss (fraction),0.01,0.0015322
wire_area_loss_frac,Wire area loss (fraction),0.05,0.018475000000000002
wire_area_loss_frac,Wire area loss (fraction),0.1,0.026770000000000002
wire_area_loss_frac,Wire area loss (fraction),0.25,0.141325
wire_area_loss_frac,Wire area loss (fraction),0.5,0.21045
wire_area_loss_frac,Wire area loss (fraction),0.75,0.269775
wire_area_loss_frac,Wire area loss (fraction),0.9,0.42667000000000005
wire_area_loss_frac,Wire area loss (fraction),0.95,0.47502999999999995
wire_area_loss_frac,Wire area loss (fraction),0.99,0.5416470000000001
ultimate_load_kn,Ultimate load (kN),0.01,1.6
ultimate_load_kn,Ultimate load (kN),0.05,1.6205
ultimate_load_kn,Ultimate load (kN),0.1,1.654
ultimate_load_kn,Ultimate load (kN),0.25,1.87
ultimate_load_kn,Ultimate load (kN),0.5,2.25
ultimate_load_kn,Ultimate load (kN),0.75,2.4225
ultimate_load_kn,Ultimate load (kN),0.9,2.753
ultimate_load_kn,Ultimate load (kN),0.95,2.8225
ultimate_load_kn,Ultimate load (kN),0.99,2.8606000000000003
img_rust_area_ratio_pct,Image rust area ratio (%),0.01,0.0
img_rust_area_ratio_pct,Image rust area ratio (%),0.05,0.0
img_rust_area_ratio_pct,Image rust area ratio (%),0.1,0.0003256003256003
img_rust_area_ratio_pct,Image rust area ratio (%),0.25,0.05120065120065115
img_rust_area_ratio_pct,Image rust area ratio (%),0.5,0.3449192782526116
img_rust_area_ratio_pct,Image rust area ratio (%),0.75,3.1648080314746982
img_rust_area_ratio_pct,Image rust area ratio (%),0.9,7.526414326414327
img_rust_area_ratio_pct,Image rust area ratio (%),0.95,12.974358974358974
img_rust_area_ratio_pct,Image rust area ratio (%),0.99,34.07929995929996
img_strip_rust_max_pct,Image peak strip rust (%),0.01,0.0
img_strip_rust_max_pct,Image peak strip rust (%),0.05,0.0
img_strip_rust_max_pct,Image peak strip rust (%),0.1,0.0065189048239895
