target,feature_set_name,model_name,target_transform,n_features,mae_mean_group_shuffle,mae_mean_leave_one_campaign_out,mae_mean_leave_one_treatment_out,r2_mean_group_shuffle,r2_mean_leave_one_campaign_out,r2_mean_leave_one_treatment_out,rmse_mean_group_shuffle,rmse_mean_leave_one_campaign_out,rmse_mean_leave_one_treatment_out,spearman_mean_group_shuffle,spearman_mean_leave_one_campaign_out,spearman_mean_leave_one_treatment_out,mae_rank_group_shuffle,mae_rank_leave_one_treatment_out,mae_rank_leave_one_campaign_out,spearman_rank_group_shuffle,robustness_score,selected_for_deployment
wire_area_loss_frac,metadata_only,CatBoost,none,8,0.12379748384959213,0.12082805576868438,0.11606314689934814,-1.225127469744749,-0.32115395087452814,-1.7944401207046121,0.15000385790437779,0.15045532239788012,0.14118834853906895,0.2887911081296786,-0.26571195141037146,0.1856624538594292,20.0,1.0,2.0,3.0,5.45,True
wire_area_loss_frac,metadata_only,CatBoost,sqrt,8,0.12143833355485383,0.12076952697053447,0.12111841484099137,-1.1704774092892198,-0.3201838009514575,-1.7262840746493813,0.14663529894471963,0.15076720384817385,0.14576810222983427,0.2985913943333379,0.10332460242691822,0.23941976765599593,19.0,7.0,1.0,2.0,6.200000000000001,False
wire_area_loss_frac,metadata_only,RandomForest,none,8,0.1050374041836238,0.12401729863921959,0.1196248827830765,-0.497899283310651,-0.37300057728802816,-1.6058064922630173,0.12396894839738377,0.15249834077374963,0.14181655406300242,0.2800922468809729,-0.08932247857775145,0.27544317242029137,18.0,4.0,4.0,6.0,7.0,False
wire_area_loss_frac,metadata_only,RandomForest,sqrt,8,0.10488975825649742,0.1219778780890505,0.12045863633921251,-0.5489507012537089,-0.3659976269000569,-1.4402177217090564,0.12725943542621557,0.15312049133332367,0.1437633081491176,0.22910935846710365,-0.04523830236963501,0.215548586708754,17.0,6.0,3.0,9.0,7.15,False
wire_area_loss_frac,image_time_only,CatBoost,none,35,0.09209298112507466,0.14418621735253206,0.1198993721887274,-0.41125054117794474,-0.8696579583299117,-2.6414761029445843,0.12101947789330018,0.1799139885979536,0.1452894344532427,0.12484848484848483,-0.19804796932842575,0.0753968253968254,4.0,5.0,10.0,14.0,7.95,False
wire_area_loss_frac,all_cleaned,XGBoost,sqrt,42,0.09044145804281785,0.15687911655030187,0.11935941334183757,-0.3566143753554941,-1.1813978850165485,-1.8212340958325228,0.12113796032381438,0.1952921637226632,0.14142078096904895,0.28727272727272724,-0.003275288255792555,0.21031746031746035,1.0,2.0,18.0,5.0,9.299999999999999,False
wire_area_loss_frac,all_cleaned,CatBoost,sqrt,42,0.09285320385467968,0.14650276378480268,0.1195244955635227,-0.2895569106982966,-0.8742442332619766,-2.416386401383232,0.11940735263193665,0.18089556120844769,0.1436888366568828,0.04242424242424242,-0.2041521337300644,0.22617897340101806,5.0,3.0,12.0,22.0,9.350000000000001,False
wire_area_loss_frac,all_cleaned,CatBoost,none,42,0.0949872130150476,0.14206963749898704,0.12183010880756484,-0.3708562780720926,-0.7822130729018457,-2.879305983737991,0.1207576198134261,0.17587414652479003,0.1451301753796539,0.02303030303030303,-0.1552173913043478,0.17076821031058953,7.0,10.0,9.0,23.0,10.25,False
wire_area_loss_frac,image_time_only,CatBoost,sqrt,35,0.09176981993952482,0.14535663905109256,0.12587216137549512,-0.33100650972333096,-0.8942567003509885,-2.951935579876664,0.12257287604053893,0.18185774236485208,0.15123331219360725,0.08606060606060603,-0.30999999999999994,-0.09682539682539687,3.0,15.0,11.0,19.0,11.200000000000001,False
wire_area_loss_frac,metadata_only,XGBoost,none,8,0.13064711349568814,0.1311258813889573,0.1307690106844713,-1.6284810548714812,-0.5273108734046569,-1.9709520240651526,0.1611997132961317,0.1617106085330683,0.15248434497786792,0.3114780832425665,-0.15126588726651294,0.09605728613930588,22.0,19.0,6.0,1.0,11.950000000000001,False
