feature,importance
img_gray_hist_bin_0,18.604026974185572
img_black_mask_ratio_pct,12.15299731291869
img_b_std,6.625978333434213
img_rust_blob_largest_ratio_pct,5.725119642970269
img_rust_area_ratio_pct,5.290228875967765
img_rust_blob_eccentricity_mean,4.745421509633604
img_glcm_energy,3.869736743050685
img_gray_hist_bin_1,3.5989097984805345
img_gray_mask_ratio_pct,2.991399235094888
img_strip_peak_location_cm,2.5632349622047466
img_glcm_homogeneity,2.090767871917154
img_strip_rust_max_pct,2.0686932940613736
img_b_mean,2.0207730920837514
img_strip_rust_std_pct,1.990603598363555
img_gray_hist_bin_7,1.9772905379253343
img_rust_blob_mean_ratio_pct,1.967751239019407
img_brightness_std,1.7914560433287234
img_gray_hist_bin_3,1.7374157270191837
img_brightness_mean,1.7194991892605918
img_gray_hist_bin_4,1.473362636539971
img_r_mean,1.4476410753125062
img_rust_blob_count,1.4032446691852223
img_brightness_p90,1.4015566531444512
img_rust_center_of_mass_cm,1.2836102186921865
img_r_std,1.236471276070002
img_glcm_contrast,1.1738739378899226
img_lbp_std,1.098980939703664
img_brightness_p10,1.0424194792628214
img_gray_hist_bin_6,1.0193328595902533
img_gray_hist_bin_5,0.9466069147912352
img_lbp_mean,0.9419410035790046
img_gray_hist_bin_2,0.9157025420400936
img_strip_high_count,0.708171366223335
img_strip_rust_p90_pct,0.37578044705531427
