feature,importance
img_rust_blob_eccentricity_mean,0.1388085357421126
img_b_std,0.1073798858461717
img_strip_peak_location_cm,0.0896659528837621
img_lbp_std,0.07596851941167103
img_lbp_mean,0.06851411158572054
img_brightness_std,0.05328210266384509
img_gray_hist_bin_6,0.03916872681808396
img_rust_blob_count,0.038075967162185954
img_rust_blob_mean_ratio_pct,0.03243344505226672
img_rust_center_of_mass_cm,0.0316212452387596
img_gray_hist_bin_5,0.031023911578275994
img_gray_mask_ratio_pct,0.026213675881338605
img_gray_hist_bin_0,0.024936859721603755
img_brightness_p90,0.024035522563545297
img_gray_hist_bin_7,0.023464504582733817
img_b_mean,0.019730437308901776
img_glcm_homogeneity,0.017717698361402943
img_rust_blob_largest_ratio_pct,0.016870959052576708
img_glcm_contrast,0.014549571211421251
img_gray_hist_bin_2,0.013414125806661096
img_strip_rust_max_pct,0.013355286629082377
img_black_mask_ratio_pct,0.011472579392825942
img_r_std,0.01087614296335598
img_r_mean,0.01086828579494014
img_strip_rust_std_pct,0.009758905070104316
img_brightness_p10,0.008709031871256519
img_gray_hist_bin_4,0.008552942996392275
img_gray_hist_bin_3,0.007258730648178458
img_gray_hist_bin_1,0.006500853973444214
img_rust_area_ratio_pct,0.006221358592389383
img_glcm_energy,0.005660054067511999
img_strip_rust_p90_pct,0.005180857341947276
img_brightness_mean,0.004723396878769035
img_strip_high_count,0.003985815306761596
