feature,importance
img_strip_rust_std_pct,0.5073836625416341
img_strip_rust_p90_pct,0.3806319383302154
img_strip_rust_max_pct,0.03988042761003409
img_rust_blob_largest_ratio_pct,0.030670900543863327
img_gray_hist_bin_2,0.012372248794067203
img_strip_rust_mean_pct,0.005956731815687011
img_rust_area_ratio_pct,0.005518922456035447
img_b_mean,0.002665838502143987
img_g_mean,0.0019001110502206312
img_strip_high_count,0.001401123642488607
img_rust_center_of_mass_cm,0.0010801590390046452
img_strip_peak_location_cm,0.0006653357243387791
img_brightness_mean,0.0006050450374917
img_gray_hist_bin_0,0.0005965934110214019
img_brightness_p10,0.0005810491981547921
img_gray_hist_bin_6,0.0005269250141371932
cover_mm,0.00048461288543669574
img_gray_hist_bin_3,0.0004619355240455477
img_lbp_std,0.00044918749146700954
img_r_std,0.00043855291010755186
img_r_mean,0.0003913891660786635
img_gray_mask_ratio_pct,0.0003908379071541578
img_rust_blob_mean_ratio_pct,0.0003442447244564806
img_gray_hist_bin_1,0.00033471386914596016
img_brightness_p90,0.0003175841935478678
img_rust_blob_count,0.00029855852450086286
img_glcm_homogeneity,0.00029584623838861923
img_gray_hist_bin_5,0.00029045207215503533
img_rust_blob_eccentricity_mean,0.00027970967716925654
img_b_std,0.00027628521137187354
img_brightness_std,0.00023408765642554303
img_gray_hist_bin_7,0.00023079525467115168
img_lbp_mean,0.0002298241855091141
img_glcm_contrast,0.00020219085168907613
img_glcm_energy,0.00019743178809782057
img_g_std,0.00019330690817064618
img_black_mask_ratio_pct,0.00015002125895420402
img_gray_hist_bin_4,0.00014867916081177902
ageing_days,9.393431400256764e-05
series_id_D,9.160990739442125e-05
week,8.37673578849194e-05
campaign_id_campaign_2,7.801861877601331e-05
treatment_coarse_False,7.510436988143413e-05
treatment_protocol_mixed_in_inhibitor,6.645656652591543e-05
treatment_label_coarse_D,5.7501942121001605e-05
n_steel_mesh,5.4249441867172445e-05
treatment_protocol_no_treatment_control,4.3659585756154406e-05
split_group_treatment_D_NO,3.840555702410733e-05
series_id_F,3.776967213516006e-05
campaign_id_campaign_1,3.756974914499461e-05
nacl_pct,3.6766673452735256e-05
treatment_label_coarse_MI,1.7127579590507963e-05
treatment_coarse_SA,1.4580953318730176e-05
treatment_label_coarse_SA,1.3774641058842079e-05
treatment_protocol_surface_inhibitor_brush_campaign2,1.1834801516504879e-05
treatment_coarse_MI,9.268242756662843e-06
series_id_S5,9.057555538414973e-06
split_group_treatment_S2_SA,6.8643464205936565e-06
treatment_protocol_surface_inhibitor_spray_campaign2,4.8257840712073324e-06
series_id_E,4.708078829856632e-06
split_group_treatment_S4_SA_VF,4.21942720634796e-06
split_group_treatment_F_SA_BRUSH,3.872001355639474e-06
split_group_treatment_S1_MI,3.6120504659802673e-06
split_group_treatment_S5_VF,3.412064979409594e-06
split_group_treatment_E_SA_SPRAY,3.3076786331455804e-06
series_id_S1,3.0043905913633507e-06
series_id_S4,2.8743370444247915e-06
series_id_S2,2.6567159609995664e-06
split_group_treatment_G_PAINT,2.1476931452476854e-06
treatment_label_coarse_VF,1.5119932850950062e-06
treatment_coarse_PA,1.0773385228377044e-06
series_id_S3,1.0155330437944872e-06
split_group_treatment_S3_PA_SA,7.176103924382116e-07
treatment_label_coarse_G,6.314845114934639e-07
treatment_coarse_SA_PA,6.149184532682851e-07
treatment_protocol_paint_plus_surface_inhibitor,4.231614535464521e-07
series_id_G,2.820014042973232e-07
treatment_coarse_SA_VF,2.0308802246561907e-07
treatment_protocol_glass_based_compound,1.0944199414758239e-07
treatment_protocol_surface_applied_inhibitor_campaign1,1.0817392755838154e-07
treatment_protocol_paint_campaign2,7.495183052403386e-08
treatment_protocol_paint_only,5.037224825755565e-09
img_rust_blob_eccentricity_max,1.582070018059574e-09
treatment_protocol_surface_inhibitor_plus_glass_compound,1.4155198698383022e-09
treatment_coarse_VF,0.0
