feature,importance
img_rust_area_ratio_pct,0.5328082477327258
img_strip_rust_mean_pct,0.41767571073206233
img_gray_hist_bin_2,0.036184469330169465
img_g_mean,0.007009640328363522
img_strip_rust_p90_pct,0.0019280515974204918
img_brightness_mean,0.0014327149492398634
img_rust_blob_largest_ratio_pct,0.0006985374345962308
img_gray_hist_bin_4,0.0005440382996494221
img_brightness_p10,0.0005249148767196531
img_strip_rust_max_pct,0.00040333652955032564
img_gray_hist_bin_5,0.00032416119372966827
img_r_mean,0.00019244319334870826
img_b_mean,0.00012354335491228906
img_brightness_p90,8.182329875150564e-05
img_gray_hist_bin_1,5.94548184092639e-05
img_strip_high_count,2.122741390434137e-06
img_rust_blob_mean_ratio_pct,1.2042578398800373e-06
img_glcm_contrast,1.1178073679233047e-06
img_glcm_homogeneity,9.708916378008738e-07
img_gray_hist_bin_6,9.297362151959652e-07
img_g_std,5.975221699739346e-07
img_rust_blob_count,4.2484544220617484e-07
img_rust_blob_eccentricity_mean,3.950290113749385e-07
img_glcm_energy,3.1277623774992775e-07
img_rust_center_of_mass_cm,1.8445947886085879e-07
img_brightness_std,1.1666482985438102e-07
img_gray_hist_bin_3,1.1260207010628242e-07
img_b_std,9.260761532031005e-08
img_gray_mask_ratio_pct,5.595395921251241e-08
img_lbp_std,4.907465458510332e-08
img_strip_rust_std_pct,4.6283199721637904e-08
img_black_mask_ratio_pct,4.086650851785394e-08
ageing_days,3.2230301954484885e-08
img_strip_peak_location_cm,2.921888992214014e-08
cover_mm,1.9827259431085834e-08
week,1.6600619777307665e-08
img_r_std,1.2334478930531675e-08
img_gray_hist_bin_7,6.985779912469425e-09
treatment_protocol_no_treatment_control,3.453363859530696e-09
img_gray_hist_bin_0,3.1929183809956814e-09
treatment_protocol_paint_plus_surface_inhibitor,3.088043140475969e-09
campaign_id_campaign_1,2.8747697711014795e-09
img_lbp_mean,2.0056466114728046e-09
split_group_treatment_F_SA_BRUSH,1.4526074503457464e-09
split_group_treatment_E_SA_SPRAY,1.4009839201747441e-09
series_id_F,1.156909261862256e-09
nacl_pct,7.987437132172071e-10
treatment_protocol_surface_inhibitor_brush_campaign2,7.227260760877559e-10
series_id_E,4.832191812140859e-10
treatment_protocol_surface_inhibitor_spray_campaign2,3.5701073213379876e-10
treatment_label_coarse_SA,1.823367953232684e-11
treatment_label_coarse_MI,8.217061619054666e-12
treatment_label_coarse_D,0.0
treatment_coarse_VF,0.0
treatment_coarse_SA_VF,0.0
treatment_label_coarse_G,0.0
treatment_protocol_paint_campaign2,0.0
treatment_label_coarse_VF,0.0
treatment_protocol_glass_based_compound,0.0
treatment_protocol_mixed_in_inhibitor,0.0
treatment_coarse_SA,0.0
treatment_protocol_paint_only,0.0
treatment_protocol_surface_applied_inhibitor_campaign1,0.0
treatment_protocol_surface_inhibitor_plus_glass_compound,0.0
treatment_coarse_SA_PA,0.0
img_rust_blob_eccentricity_max,0.0
treatment_coarse_PA,0.0
series_id_S4,0.0
n_steel_mesh,0.0
campaign_id_campaign_2,0.0
series_id_D,0.0
series_id_G,0.0
series_id_S1,0.0
series_id_S2,0.0
series_id_S3,0.0
series_id_S5,0.0
treatment_coarse_MI,0.0
split_group_treatment_D_NO,0.0
split_group_treatment_G_PAINT,0.0
split_group_treatment_S1_MI,0.0
split_group_treatment_S2_SA,0.0
split_group_treatment_S4_SA_VF,0.0
split_group_treatment_S5_VF,0.0
treatment_coarse_False,0.0
split_group_treatment_S3_PA_SA,0.0
