source,split_id,train_n,test_n,overlap
main_4/outputs/splits/master_group_shuffle.csv,gss_0,38,10,0
main_4/outputs/splits/master_group_shuffle.csv,gss_1,38,10,0
main_4/outputs/splits/master_group_shuffle.csv,gss_2,38,10,0
main_4/outputs/splits/master_group_shuffle.csv,gss_3,38,10,0
main_4/outputs/splits/master_group_shuffle.csv,gss_4,38,10,0
main_4/outputs/splits/master_leave_one_campaign_out.csv,leave_one_campaign_out_0,24,24,0
main_4/outputs/splits/master_leave_one_campaign_out.csv,leave_one_campaign_out_1,24,24,0
main_4/outputs/splits/master_leave_one_treatment_out.csv,leave_one_treatment_out_0,42,6,0
main_4/outputs/splits/master_leave_one_treatment_out.csv,leave_one_treatment_out_1,42,6,0
main_4/outputs/splits/master_leave_one_treatment_out.csv,leave_one_treatment_out_2,42,6,0
main_4/outputs/splits/master_leave_one_treatment_out.csv,leave_one_treatment_out_3,42,6,0
main_4/outputs/splits/master_leave_one_treatment_out.csv,leave_one_treatment_out_4,41,7,0
main_4/outputs/splits/master_leave_one_treatment_out.csv,leave_one_treatment_out_5,41,7,0
main_4/outputs/splits/master_leave_one_treatment_out.csv,leave_one_treatment_out_6,44,4,0
main_4/outputs/splits/master_leave_one_treatment_out.csv,leave_one_treatment_out_7,45,3,0
main_4/outputs/splits/master_leave_one_treatment_out.csv,leave_one_treatment_out_8,45,3,0
main_4/outputs/ultimate_load_refocus/splits/grouped_cv_specimen_manifest.csv,grouped_cv_repeat0_fold0,38,10,0
main_4/outputs/ultimate_load_refocus/splits/grouped_cv_specimen_manifest.csv,grouped_cv_repeat0_fold1,38,10,0
main_4/outputs/ultimate_load_refocus/splits/grouped_cv_specimen_manifest.csv,grouped_cv_repeat0_fold2,38,10,0
main_4/outputs/ultimate_load_refocus/splits/grouped_cv_specimen_manifest.csv,grouped_cv_repeat0_fold3,39,9,0
main_4/outputs/ultimate_load_refocus/splits/grouped_cv_specimen_manifest.csv,grouped_cv_repeat0_fold4,39,9,0
main_4/outputs/ultimate_load_refocus/splits/grouped_cv_specimen_manifest.csv,grouped_cv_repeat1_fold0,38,10,0
main_4/outputs/ultimate_load_refocus/splits/grouped_cv_specimen_manifest.csv,grouped_cv_repeat1_fold1,38,10,0
main_4/outputs/ultimate_load_refocus/splits/grouped_cv_specimen_manifest.csv,grouped_cv_repeat1_fold2,38,10,0
main_4/outputs/ultimate_load_refocus/splits/grouped_cv_specimen_manifest.csv,grouped_cv_repeat1_fold3,39,9,0
main_4/outputs/ultimate_load_refocus/splits/grouped_cv_specimen_manifest.csv,grouped_cv_repeat1_fold4,39,9,0
main_4/outputs/ultimate_load_refocus/splits/leave_one_campaign_out_specimen_manifest.csv,leave_one_campaign_out_campaign_1,24,24,0
main_4/outputs/ultimate_load_refocus/splits/leave_one_campaign_out_specimen_manifest.csv,leave_one_campaign_out_campaign_2,24,24,0
main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_7/grouped_cv/specimen_manifest.csv,grouped_cv_repeat0_fold0,19,5,0
main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_7/grouped_cv/specimen_manifest.csv,grouped_cv_repeat0_fold1,19,5,0
main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_7/grouped_cv/specimen_manifest.csv,grouped_cv_repeat0_fold2,19,5,0
main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_7/grouped_cv/specimen_manifest.csv,grouped_cv_repeat0_fold3,19,5,0
main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_7/grouped_cv/specimen_manifest.csv,grouped_cv_repeat0_fold4,20,4,0
main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_7/grouped_cv/specimen_manifest.csv,grouped_cv_repeat1_fold0,19,5,0
main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_7/grouped_cv/specimen_manifest.csv,grouped_cv_repeat1_fold1,19,5,0
main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_7/grouped_cv/specimen_manifest.csv,grouped_cv_repeat1_fold2,19,5,0
main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_7/grouped_cv/specimen_manifest.csv,grouped_cv_repeat1_fold3,19,5,0
main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_7/grouped_cv/specimen_manifest.csv,grouped_cv_repeat1_fold4,20,4,0
main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_4/grouped_cv/specimen_manifest.csv,grouped_cv_repeat0_fold0,19,5,0
main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_4/grouped_cv/specimen_manifest.csv,grouped_cv_repeat0_fold1,19,5,0
main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_4/grouped_cv/specimen_manifest.csv,grouped_cv_repeat0_fold2,19,5,0
main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_4/grouped_cv/specimen_manifest.csv,grouped_cv_repeat0_fold3,19,5,0
main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_4/grouped_cv/specimen_manifest.csv,grouped_cv_repeat0_fold4,20,4,0
main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_4/grouped_cv/specimen_manifest.csv,grouped_cv_repeat1_fold0,19,5,0
main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_4/grouped_cv/specimen_manifest.csv,grouped_cv_repeat1_fold1,19,5,0
main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_4/grouped_cv/specimen_manifest.csv,grouped_cv_repeat1_fold2,19,5,0
main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_4/grouped_cv/specimen_manifest.csv,grouped_cv_repeat1_fold3,19,5,0
main_4/outputs/ultimate_load_refocus/mesh_stratified/mesh_4/grouped_cv/specimen_manifest.csv,grouped_cv_repeat1_fold4,20,4,0
main_4/outputs/ultimate_load_refocus/pooled_post_onset/leave_one_campaign_out/specimen_manifest.csv,leave_one_campaign_out_campaign_1,19,24,0
main_4/outputs/ultimate_load_refocus/pooled_post_onset/leave_one_campaign_out/specimen_manifest.csv,leave_one_campaign_out_campaign_2,24,19,0
main_4/outputs/ultimate_load_refocus/pooled_post_onset/grouped_cv/specimen_manifest.csv,grouped_cv_repeat0_fold0,34,9,0
main_4/outputs/ultimate_load_refocus/pooled_post_onset/grouped_cv/specimen_manifest.csv,grouped_cv_repeat0_fold1,34,9,0
main_4/outputs/ultimate_load_refocus/pooled_post_onset/grouped_cv/specimen_manifest.csv,grouped_cv_repeat0_fold2,34,9,0
main_4/outputs/ultimate_load_refocus/pooled_post_onset/grouped_cv/specimen_manifest.csv,grouped_cv_repeat0_fold3,35,8,0
main_4/outputs/ultimate_load_refocus/pooled_post_onset/grouped_cv/specimen_manifest.csv,grouped_cv_repeat0_fold4,35,8,0
main_4/outputs/ultimate_load_refocus/pooled_post_onset/grouped_cv/specimen_manifest.csv,grouped_cv_repeat1_fold0,34,9,0
main_4/outputs/ultimate_load_refocus/pooled_post_onset/grouped_cv/specimen_manifest.csv,grouped_cv_repeat1_fold1,34,9,0
