feature,importance
num__week,0.46810485135790814
num__Cover_(Faliure_Surface)_[mm],0.3556611150708748
cat__Treatment_PA,0.061447913413316006
cat__series_D,0.036932247791047146
cat__series_F,0.02980922339715009
cat__Treatment_SA,0.02008461682743976
num__Ageing_Days,0.007321091082189501
num__NaCl%,0.006799124637223905
cat__Treatment_NO,0.003537964315983272
cat__Treatment_SA_PA,0.0027052526417191375
cat__series_S,0.0019566236435023887
num__N_Steel_Mesh,0.0017656059908030034
cat__Treatment_VF,0.0015474166354432237
cat__series_E,0.0009858215114948554
cat__Treatment_SA_VF,0.0009182824647564955
cat__series_G,0.0004228492191483579
cat__Treatment_MI,0.0
