feature,importance
num__B_Peak_Rust_Percentage_[%],0.6551691618665864
num__week,0.18922875396165814
num__Cover_(Faliure_Surface)_[mm],0.05063555511260619
cat__series_F,0.016731465305191984
num__N_Steel_Mesh,0.01596219226407283
num__NaCl%,0.015238540698104637
cat__series_S,0.014628977676099688
num__Ageing_Days,0.014210582419700616
cat__series_E,0.013551246159346022
cat__series_D,0.005910068150088979
cat__Treatment_MI,0.004033989985997932
cat__Treatment_SA,0.001812043427408307
cat__Treatment_NO,0.0017393221897295695
cat__series_G,0.0002733308928395709
cat__Treatment_SA_PA,0.0002676459999045337
cat__Treatment_VF,0.0002531446879512598
cat__Treatment_PA,0.00022823475596308237
cat__Treatment_SA_VF,0.00012574444675046768
