record_id,n_steel_mesh,treatment_code,ageing_days,nacl_pct,surface_total_rust_pct,surface_total_rust_category,peak_rust_pct,peak_rust_category,peak_rust_location_cm,cover_failure_surface_mm,wire_area_loss_raw,ultimate_load_kn,specimen_id,capture_date,week,series_family,series_label,record_id_valid,image_path,image_filename,image_join_status,treatment_name,campaign_id,capture_year,wire_area_loss_pct,has_structural_labels,sequence_order,duplicate_record_id,duplicate_specimen_week,image_exists
S1MI01-20220518-0W,7,NO,201,0.035,0.112,1,0.391,1,20.49,3.74,,,S1MI01,2022-05-18,0,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI01-20220518-0W.png,S1MI01-20220518-0W.png,both,No treatment,campaign_2022_mesh7_nacl0.035_age201,2022,,False,0,False,False,True
S1MI01-20220603-2W,7,NO,201,0.035,0.117,1,0.566,1,20.49,3.74,,,S1MI01,2022-06-03,2,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI01-20220603-2W.png,S1MI01-20220603-2W.png,both,No treatment,campaign_2022_mesh7_nacl0.035_age201,2022,,False,1,False,False,True
S1MI01-20220609-3W,7,NO,201,0.035,0.28,1,0.84,1,20.49,3.74,,,S1MI01,2022-06-09,3,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI01-20220609-3W.png,S1MI01-20220609-3W.png,both,No treatment,campaign_2022_mesh7_nacl0.035_age201,2022,,False,2,False,False,True
S1MI01-20220616-4W,7,NO,201,0.035,0.083,1,0.419,1,20.49,3.74,,,S1MI01,2022-06-16,4,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI01-20220616-4W.png,S1MI01-20220616-4W.png,both,No treatment,campaign_2022_mesh7_nacl0.035_age201,2022,,False,3,False,False,True
S1MI01-20220623-5W,7,NO,201,0.035,0.26,1,0.827,1,20.49,3.74,,,S1MI01,2022-06-23,5,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI01-20220623-5W.png,S1MI01-20220623-5W.png,both,No treatment,campaign_2022_mesh7_nacl0.035_age201,2022,,False,4,False,False,True
S1MI01-20220630-6W,7,NO,201,0.035,0.47,1,1.138,2,15.49,3.74,,,S1MI01,2022-06-30,6,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI01-20220630-6W.png,S1MI01-20220630-6W.png,both,No treatment,campaign_2022_mesh7_nacl0.035_age201,2022,,False,5,False,False,True
S1MI01-20220708-7W,7,NO,201,0.035,0.392,1,0.934,1,2.01,3.74,,,S1MI01,2022-07-08,7,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI01-20220708-7W.png,S1MI01-20220708-7W.png,both,No treatment,campaign_2022_mesh7_nacl0.035_age201,2022,,False,6,False,False,True
S1MI01-20220714-8W,7,NO,201,0.035,0.635,1,1.549,2,14.99,3.74,,,S1MI01,2022-07-14,8,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI01-20220714-8W.png,S1MI01-20220714-8W.png,both,No treatment,campaign_2022_mesh7_nacl0.035_age201,2022,,False,7,False,False,True
S1MI01-20220721-9W,7,NO,201,0.035,0.626,1,2.09,2,2.01,3.74,,,S1MI01,2022-07-21,9,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI01-20220721-9W.png,S1MI01-20220721-9W.png,both,No treatment,campaign_2022_mesh7_nacl0.035_age201,2022,,False,8,False,False,True
S1MI01-20220802-10W,7,NO,201,0.035,0.448,1,1.78,2,2.01,3.74,,,S1MI01,2022-08-02,10,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI01-20220802-10W.png,S1MI01-20220802-10W.png,both,No treatment,campaign_2022_mesh7_nacl0.035_age201,2022,,False,9,False,False,True
