strategy,fold_id,holdout_group,model,target,task,n_train,n_test,accuracy,macro_f1
group_shuffle,fold_00,mixed_specimens,logistic_regression,surface_total_rust_category,classification,633,159,0.8301886792452831,0.5733751855366572
group_shuffle,fold_00,mixed_specimens,random_forest,surface_total_rust_category,classification,633,159,0.7861635220125787,0.41443898443898447
group_shuffle,fold_00,mixed_specimens,hist_gradient_boosting,surface_total_rust_category,classification,633,159,0.7987421383647799,0.47704147371375355
group_shuffle,fold_00,mixed_specimens,mlp_classifier,surface_total_rust_category,classification,633,159,0.7924528301886793,0.4299704950378018
leave_one_treatment_out,fold_00,MI,logistic_regression,surface_total_rust_category,classification,702,90,0.8444444444444444,0.5358868184955141
leave_one_treatment_out,fold_01,NO,logistic_regression,surface_total_rust_category,classification,624,168,0.7916666666666666,0.4818070480057518
leave_one_treatment_out,fold_02,PA,logistic_regression,surface_total_rust_category,classification,669,123,0.5447154471544715,0.2325490196078431
leave_one_treatment_out,fold_03,SA,logistic_regression,surface_total_rust_category,classification,486,306,0.6470588235294118,0.4211409111168787
leave_one_treatment_out,fold_04,SA_PA,logistic_regression,surface_total_rust_category,classification,747,45,0.8444444444444444,0.40347490347490356
leave_one_treatment_out,fold_05,SA_VF,logistic_regression,surface_total_rust_category,classification,762,30,0.8,0.508008658008658
leave_one_treatment_out,fold_06,VF,logistic_regression,surface_total_rust_category,classification,762,30,0.8333333333333334,0.466046511627907
leave_one_treatment_out,fold_00,MI,random_forest,surface_total_rust_category,classification,702,90,0.8333333333333334,0.4717879135789584
leave_one_treatment_out,fold_01,NO,random_forest,surface_total_rust_category,classification,624,168,0.8035714285714286,0.4318712948666629
leave_one_treatment_out,fold_02,PA,random_forest,surface_total_rust_category,classification,669,123,0.7560975609756098,0.28014473089099956
leave_one_treatment_out,fold_03,SA,random_forest,surface_total_rust_category,classification,486,306,0.6699346405228758,0.3741019360591977
leave_one_treatment_out,fold_04,SA_PA,random_forest,surface_total_rust_category,classification,747,45,0.8222222222222222,0.26461538461538464
leave_one_treatment_out,fold_05,SA_VF,random_forest,surface_total_rust_category,classification,762,30,0.9333333333333333,0.789204097714736
leave_one_treatment_out,fold_06,VF,random_forest,surface_total_rust_category,classification,762,30,0.8666666666666667,0.4709090909090909
leave_one_treatment_out,fold_00,MI,hist_gradient_boosting,surface_total_rust_category,classification,702,90,0.8555555555555555,0.5473193473193474
leave_one_treatment_out,fold_01,NO,hist_gradient_boosting,surface_total_rust_category,classification,624,168,0.8273809523809523,0.5427900670757814
leave_one_treatment_out,fold_02,PA,hist_gradient_boosting,surface_total_rust_category,classification,669,123,0.6747967479674797,0.3
leave_one_treatment_out,fold_03,SA,hist_gradient_boosting,surface_total_rust_category,classification,486,306,0.6470588235294118,0.3949734216052402
leave_one_treatment_out,fold_04,SA_PA,hist_gradient_boosting,surface_total_rust_category,classification,747,45,0.8666666666666667,0.43961904761904763
leave_one_treatment_out,fold_05,SA_VF,hist_gradient_boosting,surface_total_rust_category,classification,762,30,0.8666666666666667,0.43218085106382975
leave_one_treatment_out,fold_06,VF,hist_gradient_boosting,surface_total_rust_category,classification,762,30,0.9,0.5944444444444444
leave_one_treatment_out,fold_00,MI,mlp_classifier,surface_total_rust_category,classification,702,90,0.8333333333333334,0.49068727508701554
leave_one_treatment_out,fold_01,NO,mlp_classifier,surface_total_rust_category,classification,624,168,0.8095238095238095,0.4509051505300567
leave_one_treatment_out,fold_02,PA,mlp_classifier,surface_total_rust_category,classification,669,123,0.6341463414634146,0.17613053613053614
leave_one_treatment_out,fold_03,SA,mlp_classifier,surface_total_rust_category,classification,486,306,0.673202614379085,0.3693231794965898
leave_one_treatment_out,fold_04,SA_PA,mlp_classifier,surface_total_rust_category,classification,747,45,0.8444444444444444,0.3037593984962406
leave_one_treatment_out,fold_05,SA_VF,mlp_classifier,surface_total_rust_category,classification,762,30,0.9,0.49468085106382975
leave_one_treatment_out,fold_06,VF,mlp_classifier,surface_total_rust_category,classification,762,30,0.9,0.5944444444444444
leave_one_campaign_out,fold_00,campaign_2022_mesh7_nacl0.035_age201,logistic_regression,surface_total_rust_category,classification,432,360,0.6666666666666666,0.45147498923041834
leave_one_campaign_out,fold_01,campaign_2024_mesh4_nacl0.050_age260,logistic_regression,surface_total_rust_category,classification,360,432,0.5648148148148148,0.359485170476356
leave_one_campaign_out,fold_00,campaign_2022_mesh7_nacl0.035_age201,random_forest,surface_total_rust_category,classification,432,360,0.8333333333333334,0.45726607875332564
leave_one_campaign_out,fold_01,campaign_2024_mesh4_nacl0.050_age260,random_forest,surface_total_rust_category,classification,360,432,0.6990740740740741,0.3764596118840601
leave_one_campaign_out,fold_00,campaign_2022_mesh7_nacl0.035_age201,hist_gradient_boosting,surface_total_rust_category,classification,432,360,0.7972222222222223,0.4694247102904794
leave_one_campaign_out,fold_01,campaign_2024_mesh4_nacl0.050_age260,hist_gradient_boosting,surface_total_rust_category,classification,360,432,0.6689814814814815,0.41693172860652367
leave_one_campaign_out,fold_00,campaign_2022_mesh7_nacl0.035_age201,mlp_classifier,surface_total_rust_category,classification,432,360,0.8166666666666667,0.4258655714538067
leave_one_campaign_out,fold_01,campaign_2024_mesh4_nacl0.050_age260,mlp_classifier,surface_total_rust_category,classification,360,432,0.6782407407407407,0.3811684673869548
group_shuffle,fold_00,mixed_specimens,logistic_regression,peak_rust_category,classification,633,159,0.5786163522012578,0.5289608636977058
group_shuffle,fold_00,mixed_specimens,random_forest,peak_rust_category,classification,633,159,0.5974842767295597,0.47605203484902725
group_shuffle,fold_00,mixed_specimens,hist_gradient_boosting,peak_rust_category,classification,633,159,0.6226415094339622,0.5173180581535665
group_shuffle,fold_00,mixed_specimens,mlp_classifier,peak_rust_category,classification,633,159,0.5911949685534591,0.5313175288947971
leave_one_treatment_out,fold_00,MI,logistic_regression,peak_rust_category,classification,702,90,0.5111111111111111,0.46500989015981525
leave_one_treatment_out,fold_01,NO,logistic_regression,peak_rust_category,classification,624,168,0.6309523809523809,0.5689937105055807
leave_one_treatment_out,fold_02,PA,logistic_regression,peak_rust_category,classification,669,123,0.3333333333333333,0.21797235023041478
leave_one_treatment_out,fold_03,SA,logistic_regression,peak_rust_category,classification,486,306,0.5751633986928104,0.4921478112659866
leave_one_treatment_out,fold_04,SA_PA,logistic_regression,peak_rust_category,classification,747,45,0.7111111111111111,0.5144086021505376
leave_one_treatment_out,fold_05,SA_VF,logistic_regression,peak_rust_category,classification,762,30,0.3333333333333333,0.3288888888888889
