strategy,fold_id,holdout_group,model,target,task,n_train,n_test,mae,rmse,r2
group_shuffle,fold_00,mixed_specimens,linear_regression,surface_total_rust_pct,regression,633,159,2.521006973314398,4.055819310758546,0.4096506320662714
group_shuffle,fold_00,mixed_specimens,random_forest,surface_total_rust_pct,regression,633,159,1.381352855848717,3.1416748912566432,0.645778932568914
group_shuffle,fold_00,mixed_specimens,hist_gradient_boosting,surface_total_rust_pct,regression,633,159,1.540577092052468,2.8988044801363713,0.698428877193574
group_shuffle,fold_00,mixed_specimens,mlp_regressor,surface_total_rust_pct,regression,633,159,2.7625355865630072,4.8438892215480385,0.1579452888079761
leave_one_treatment_out,fold_00,MI,linear_regression,surface_total_rust_pct,regression,702,90,2.185691912429754,3.2464240649207468,0.7630463797358258
leave_one_treatment_out,fold_01,NO,linear_regression,surface_total_rust_pct,regression,624,168,2.6321768021504153,5.244996484141991,0.714117598176004
leave_one_treatment_out,fold_02,PA,linear_regression,surface_total_rust_pct,regression,669,123,6.1938573973537805,9.321975435175874,-50.74593490639064
leave_one_treatment_out,fold_03,SA,linear_regression,surface_total_rust_pct,regression,486,306,2.7761798262079083,12.695308139606324,-8.188636004004916
leave_one_treatment_out,fold_04,SA_PA,linear_regression,surface_total_rust_pct,regression,747,45,2.5240304093699533,3.170664859907902,-1.9173415204561293
leave_one_treatment_out,fold_05,SA_VF,linear_regression,surface_total_rust_pct,regression,762,30,2.5445831107229937,2.9932066126534327,0.7975640644894474
leave_one_treatment_out,fold_06,VF,linear_regression,surface_total_rust_pct,regression,762,30,1.7111478861036604,2.4018402985629357,0.7995265615768135
leave_one_treatment_out,fold_00,MI,random_forest,surface_total_rust_pct,regression,702,90,1.2779899489396132,2.9614440488964373,0.8028213385552879
leave_one_treatment_out,fold_01,NO,random_forest,surface_total_rust_pct,regression,624,168,2.0368248286873287,4.38038080245096,0.8006020205356554
leave_one_treatment_out,fold_02,PA,random_forest,surface_total_rust_pct,regression,669,123,4.413393264869954,6.573632518981239,-24.73185966915452
leave_one_treatment_out,fold_03,SA,random_forest,surface_total_rust_pct,regression,486,306,1.6474802675773212,3.018740145029724,0.48046355843183963
leave_one_treatment_out,fold_04,SA_PA,random_forest,surface_total_rust_pct,regression,747,45,0.5914639628304519,1.0846868030487584,0.6585750088419695
leave_one_treatment_out,fold_05,SA_VF,random_forest,surface_total_rust_pct,regression,762,30,0.7087234535371574,1.04362903119771,0.9753902886300319
leave_one_treatment_out,fold_06,VF,random_forest,surface_total_rust_pct,regression,762,30,0.8654813499309864,1.6160243198703792,0.909246293895892
leave_one_treatment_out,fold_00,MI,hist_gradient_boosting,surface_total_rust_pct,regression,702,90,1.25344485199063,2.631070433314608,0.8443612268197067
leave_one_treatment_out,fold_01,NO,hist_gradient_boosting,surface_total_rust_pct,regression,624,168,1.9731636581947445,4.321418432709257,0.8059339084146742
leave_one_treatment_out,fold_02,PA,hist_gradient_boosting,surface_total_rust_pct,regression,669,123,5.452846645864879,7.286009058186837,-30.61110979379828
leave_one_treatment_out,fold_03,SA,hist_gradient_boosting,surface_total_rust_pct,regression,486,306,1.8073366221659184,2.871848260618647,0.5297946852077408
leave_one_treatment_out,fold_04,SA_PA,hist_gradient_boosting,surface_total_rust_pct,regression,747,45,0.7060798776282647,1.024418804217753,0.6954618692070518
leave_one_treatment_out,fold_05,SA_VF,hist_gradient_boosting,surface_total_rust_pct,regression,762,30,1.775842268176336,2.601164221395947,0.8471203216061979
