record_id,specimen_id,week,preview_path
S1MI01-20220518-0W,S1MI01,0,/Users/parastoo/All_projects/Proj_corrosion/main_3/reports/figures/preprocessing/S1MI01-20220518-0W.png
S1MI03-20220623-5W,S1MI03,5,/Users/parastoo/All_projects/Proj_corrosion/main_3/reports/figures/preprocessing/S1MI03-20220623-5W.png
S1MI05-20220721-9W,S1MI05,9,/Users/parastoo/All_projects/Proj_corrosion/main_3/reports/figures/preprocessing/S1MI05-20220721-9W.png
S1MI07-20221110-25W,S1MI07,25,/Users/parastoo/All_projects/Proj_corrosion/main_3/reports/figures/preprocessing/S1MI07-20221110-25W.png
S2SA03-20220609-3W,S2SA03,3,/Users/parastoo/All_projects/Proj_corrosion/main_3/reports/figures/preprocessing/S2SA03-20220609-3W.png
S2SA05-20220708-7W,S2SA05,7,/Users/parastoo/All_projects/Proj_corrosion/main_3/reports/figures/preprocessing/S2SA05-20220708-7W.png
S2SA07-20220906-15W,S2SA07,15,/Users/parastoo/All_projects/Proj_corrosion/main_3/reports/figures/preprocessing/S2SA07-20220906-15W.png
S3PA03-20220518-0W,S3PA03,0,/Users/parastoo/All_projects/Proj_corrosion/main_3/reports/figures/preprocessing/S3PA03-20220518-0W.png
S4SAVF01-20220630-6W,S4SAVF01,6,/Users/parastoo/All_projects/Proj_corrosion/main_3/reports/figures/preprocessing/S4SAVF01-20220630-6W.png
S4SAVF03-20220802-10W,S4SAVF03,10,/Users/parastoo/All_projects/Proj_corrosion/main_3/reports/figures/preprocessing/S4SAVF03-20220802-10W.png
S5VF02-20221110-25W,S5VF02,25,/Users/parastoo/All_projects/Proj_corrosion/main_3/reports/figures/preprocessing/S5VF02-20221110-25W.png
D02-20240110-0W,D02,0,/Users/parastoo/All_projects/Proj_corrosion/main_3/reports/figures/preprocessing/D02-20240110-0W.png
D03-20240902-33W,D03,33,/Users/parastoo/All_projects/Proj_corrosion/main_3/reports/figures/preprocessing/D03-20240902-33W.png
D05-20240807-30W,D05,30,/Users/parastoo/All_projects/Proj_corrosion/main_3/reports/figures/preprocessing/D05-20240807-30W.png
E01-20240710-26W,E01,26,/Users/parastoo/All_projects/Proj_corrosion/main_3/reports/figures/preprocessing/E01-20240710-26W.png
E03-20240619-23W,E03,23,/Users/parastoo/All_projects/Proj_corrosion/main_3/reports/figures/preprocessing/E03-20240619-23W.png
E05-20240529-20W,E05,20,/Users/parastoo/All_projects/Proj_corrosion/main_3/reports/figures/preprocessing/E05-20240529-20W.png
F01-20240508-17W,F01,17,/Users/parastoo/All_projects/Proj_corrosion/main_3/reports/figures/preprocessing/F01-20240508-17W.png
F03-20240417-14W,F03,14,/Users/parastoo/All_projects/Proj_corrosion/main_3/reports/figures/preprocessing/F03-20240417-14W.png
F05-20240320-10W,F05,10,/Users/parastoo/All_projects/Proj_corrosion/main_3/reports/figures/preprocessing/F05-20240320-10W.png
G01-20240221-6W,G01,6,/Users/parastoo/All_projects/Proj_corrosion/main_3/reports/figures/preprocessing/G01-20240221-6W.png
G03-20240207-4W,G03,4,/Users/parastoo/All_projects/Proj_corrosion/main_3/reports/figures/preprocessing/G03-20240207-4W.png
G05-20240110-0W,G05,0,/Users/parastoo/All_projects/Proj_corrosion/main_3/reports/figures/preprocessing/G05-20240110-0W.png
G06-20240918-36W,G06,36,/Users/parastoo/All_projects/Proj_corrosion/main_3/reports/figures/preprocessing/G06-20240918-36W.png
