specimen_id,campaign_id,treatment_code,current_week,current_corrosion_level,current_surface_total_rust_pct,current_peak_rust_pct,predicted_internal_damage_pct,predicted_ultimate_load_kn,health_index,rul_wire_20_weeks,rul_wire_25_weeks,rul_wire_30_weeks,rul_load_threshold_weeks,rul_health_threshold_weeks,estimated_rul_weeks,failure_probability,failure_probability_proxy,risk_class,reference_load_kn,load_threshold_kn
D01,campaign_2024_mesh4_nacl0.050_age260,NO,36.0,Low,0.943,7.026,25.75473312500001,1.804743154761904,0.5934791152612614,0.0,,,0.0,,0.0,0.6313299404074675,0.6313299404074675,High,2.39,1.9120000000000001
D02,campaign_2024_mesh4_nacl0.050_age260,NO,36.0,Low,1.455,7.746,29.221273305555542,1.8668576686507954,0.526335367115194,0.0,0.0,0.5,0.0,,0.0,0.6580144364109517,0.6580144364109517,High,2.39,1.9120000000000001
D03,campaign_2024_mesh4_nacl0.050_age260,NO,36.0,Trace,0.044,0.359,21.674824605158744,1.7158132837301565,0.6201093215312652,0.0,,,0.0,,0.0,0.6094383070995192,0.6094383070995192,High,2.39,1.9120000000000001
D04,campaign_2024_mesh4_nacl0.050_age260,NO,36.0,Severe,31.395,61.488,18.708359117063495,1.8885724007936502,0.5544281537910499,,,,0.0,,0.0,0.5814430083235119,0.5814430083235119,Moderate,2.39,1.9120000000000001
D05,campaign_2024_mesh4_nacl0.050_age260,NO,36.0,High,10.999,34.918,24.949542988095242,1.9582945138888885,0.5227798366416252,0.0,0.0,,,,0.0,0.6253475626784297,0.6253475626784297,High,2.39,1.9120000000000001
D06,campaign_2024_mesh4_nacl0.050_age260,NO,36.0,High,8.499,26.7,24.57718376785716,1.7302281051587318,0.5487432771902152,0.0,6.0,31.0,0.0,,0.0,0.6379844483260674,0.6379844483260674,High,2.39,1.9120000000000001
E01,campaign_2024_mesh4_nacl0.050_age260,SA,36.0,Moderate,2.707,11.173,31.313419156746036,1.7355085714285698,0.5388325994518859,0.0,0.0,16.5,0.0,32.5,0.0,0.683826935884517,0.683826935884517,High,2.39,1.9120000000000001
E02,campaign_2024_mesh4_nacl0.050_age260,SA,36.0,Moderate,3.178,11.747,25.31815517857142,1.7999987500000025,0.565121584403094,0.0,0.0,,0.0,,0.0,0.6331693270420699,0.6331693270420699,High,2.39,1.9120000000000001
E03,campaign_2024_mesh4_nacl0.050_age260,SA,36.0,Moderate,7.367,18.346,30.71652180952383,1.884913214285713,0.5030096674470083,0.0,0.0,0.5,0.0,,0.0,0.6695929593198262,0.6695929593198262,High,2.39,1.9120000000000001
E04,campaign_2024_mesh4_nacl0.050_age260,SA,36.0,Moderate,3.274,11.737,39.36933261904764,1.7261512003968238,0.4883451802780384,0.0,0.0,0.0,0.0,29.5,0.0,0.7336227255501825,0.7336227255501825,High,2.39,1.9120000000000001
