figure_path,purpose,quality_assessment,action,reason,replacement_or_companion
outputs/diagnostics/figures/benchmarks/best_model_relative_mae_collapse_heatmap.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/feature_importance/hidden_damage/ultimate_load_kn/ultimate_load_kn_experiments_feature_importance_ranked.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/feature_importance/hidden_damage/ultimate_load_kn/ultimate_load_kn_group_shuffle_feature_importance_ranked.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/feature_importance/hidden_damage/ultimate_load_kn/ultimate_load_kn_leave_one_campaign_out_feature_importance_ranked.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/feature_importance/hidden_damage/ultimate_load_kn/ultimate_load_kn_leave_one_treatment_out_feature_importance_ranked.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/feature_importance/hidden_damage/wire_area_loss_frac/wire_area_loss_frac_experiments_feature_importance_ranked.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/feature_importance/hidden_damage/wire_area_loss_frac/wire_area_loss_frac_group_shuffle_feature_importance_ranked.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/feature_importance/hidden_damage/wire_area_loss_frac/wire_area_loss_frac_leave_one_campaign_out_feature_importance_ranked.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/feature_importance/hidden_damage/wire_area_loss_frac/wire_area_loss_frac_leave_one_treatment_out_feature_importance_ranked.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/feature_importance/surface/peak_rust_pct/peak_rust_pct_group_shuffle_feature_importance_ranked.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/feature_importance/surface/peak_rust_pct/peak_rust_pct_leave_one_campaign_out_feature_importance_ranked.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/feature_importance/surface/peak_rust_pct/peak_rust_pct_leave_one_treatment_out_feature_importance_ranked.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/feature_importance/surface/surface_total_rust_pct/surface_total_rust_pct_group_shuffle_feature_importance_ranked.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/feature_importance/surface/surface_total_rust_pct/surface_total_rust_pct_leave_one_campaign_out_feature_importance_ranked.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/feature_importance/surface/surface_total_rust_pct/surface_total_rust_pct_leave_one_treatment_out_feature_importance_ranked.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/group_shuffle_model_rank_heatmap.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/hidden_damage_best_model_fold_stability.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/hidden_damage_best_model_strategy_robustness.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/hidden_damage_group_shuffle_model_comparison_mae.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/hidden_damage_group_shuffle_model_comparison_spearman.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/predictions/hidden_damage/ultimate_load_kn/ultimate_load_kn_experiments_prediction_diagnostics.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/predictions/hidden_damage/ultimate_load_kn/ultimate_load_kn_group_shuffle_prediction_diagnostics.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/predictions/hidden_damage/ultimate_load_kn/ultimate_load_kn_leave_one_campaign_out_prediction_diagnostics.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/predictions/hidden_damage/ultimate_load_kn/ultimate_load_kn_leave_one_treatment_out_prediction_diagnostics.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/predictions/hidden_damage/wire_area_loss_frac/wire_area_loss_frac_experiments_prediction_diagnostics.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/predictions/hidden_damage/wire_area_loss_frac/wire_area_loss_frac_group_shuffle_prediction_diagnostics.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/predictions/hidden_damage/wire_area_loss_frac/wire_area_loss_frac_leave_one_campaign_out_prediction_diagnostics.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/predictions/hidden_damage/wire_area_loss_frac/wire_area_loss_frac_leave_one_treatment_out_prediction_diagnostics.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/predictions/surface/peak_rust_pct/peak_rust_pct_group_shuffle_prediction_diagnostics.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/predictions/surface/peak_rust_pct/peak_rust_pct_leave_one_campaign_out_prediction_diagnostics.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/predictions/surface/peak_rust_pct/peak_rust_pct_leave_one_treatment_out_prediction_diagnostics.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/predictions/surface/surface_total_rust_pct/surface_total_rust_pct_group_shuffle_prediction_diagnostics.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/predictions/surface/surface_total_rust_pct/surface_total_rust_pct_leave_one_campaign_out_prediction_diagnostics.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/predictions/surface/surface_total_rust_pct/surface_total_rust_pct_leave_one_treatment_out_prediction_diagnostics.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/split_strategy_overview.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/surface_best_model_fold_stability.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/surface_best_model_strategy_robustness.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/surface_group_shuffle_model_comparison_mae.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/benchmarks/surface_group_shuffle_model_comparison_spearman.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/degradation/degradation_best_family_counts.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/degradation/degradation_fit_rmse_by_family.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/degradation/degradation_grouped_by_campaign.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/degradation/degradation_grouped_by_treatment.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/degradation/degradation_observed_vs_fitted_scatter.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/degradation/degradation_raw_vs_monotone_representative.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/degradation/degradation_representative_specimens.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/degradation/degradation_residuals_by_family.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/distributions/campaign_violin_diagnostics.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/distributions/outlier_counts_by_variable.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/distributions/selected_variable_percentile_curves.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/distributions/skewed_variable_boxplots_trimmed_p99.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/distributions/skewed_variable_histograms_trimmed_p99.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/distributions/target_boxplots_full_range.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/distributions/target_histograms_full_range.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/features/feature_target_correlation_heatmap.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/features/full_feature_missingness_bar.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/features/full_feature_missingness_heatmap.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/features/high_collinearity_pairs.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/features/image_feature_correlation_heatmap.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/features/included_feature_variance_distribution.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/features/ranked_feature_target_correlations.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/features/tabular_feature_correlation_heatmap.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/inventory/feature_inventory_stage_summary.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/inventory/missingness_by_family_stage_heatmap.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/proxy/proxy_estimated_crossing_day_by_threshold.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/proxy/proxy_future_rul_nonnull_counts.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/proxy/proxy_threshold_status_counts.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/proxy/proxy_threshold_status_heatmap.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/temporal/campaign_faceted_specimen_spaghetti.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/temporal/campaign_surface_progression_median_iqr.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/temporal/exposure_band_target_boxplots.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/temporal/representative_specimen_surface_panels.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/temporal/surface_progression_scatter_trends.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/diagnostics/figures/temporal/treatment_surface_progression_median.png,New diagnostics figure.,new diagnostics figure,keep,Generated to add a direct visual companion to an important output table or benchmark summary.,
outputs/eda/figures/campaign_counts.png,Legacy campaign counts.,weak/redundant,discard,"Useful as a table, but low-value as a presentation figure.",
