stage,target,model_name,target_transform,split_id,fraction,n_train_rows,n_train_groups,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,train_spearman,test_spearman
surface,peak_rust_pct,RandomForest,none,gss_0,0.2,132,8,0.4866557819404561,0.7791162135360636,1.1004091024260947,1.4262678203001868,0.996615619767454,0.9821316437016394,0.99776938873871,0.9957314877030359
surface,peak_rust_pct,RandomForest,none,gss_0,0.4,252,15,0.3175141216457246,0.7235116311957317,1.6684635466457796,1.5846356662302028,0.9527444213373697,0.9779432617390701,0.99900362035851,0.9964099442992957
surface,peak_rust_pct,RandomForest,none,gss_0,0.6,378,23,0.37764788230335694,0.8659097759334593,0.8797442579472691,1.687480500685807,0.9948846311692972,0.9749873352220301,0.997246675044448,0.9962106597654614
surface,peak_rust_pct,RandomForest,none,gss_0,0.8,494,30,0.3778062271148562,0.6033753009659149,0.8653582007029893,1.1181055537855726,0.9948625355732666,0.9890188443910447,0.9974043697591207,0.9973242295740661
surface,peak_rust_pct,RandomForest,none,gss_0,1.0,632,38,0.31807957994014546,0.6109978454502044,0.7362765188537418,1.1492211585796779,0.9957718725573023,0.9883991539630943,0.9978456725357435,0.9975100315454414
surface,peak_rust_pct,RandomForest,none,gss_1,0.2,132,8,0.33150400767533006,0.6451954922831616,0.9695675836854716,1.52065863123756,0.9904847541996764,0.9324789938708539,0.9951245543459174,0.9856432337569326
surface,peak_rust_pct,RandomForest,none,gss_1,0.4,246,15,0.32500846058699473,0.7171575824265302,0.6444178803132132,1.8608901396624453,0.9967364051675849,0.8988846913703781,0.9982141127657423,0.9910474871650742
surface,peak_rust_pct,RandomForest,none,gss_1,0.6,381,23,0.2863655501758511,0.627746033057702,0.6913205458337297,1.7321101949656048,0.997255661974509,0.912395487298961,0.9988415288851143,0.990465034090968
surface,peak_rust_pct,RandomForest,none,gss_1,0.8,500,30,0.31086644286995896,0.6144660982390171,0.6744278421659143,1.5050219079917257,0.9971970653650298,0.9338604727959694,0.997764161304279,0.9923097893679619
surface,peak_rust_pct,RandomForest,none,gss_1,1.0,629,38,0.31647450732429705,0.6012356169264791,0.7159364367423631,1.5071532436160404,0.9964814452464282,0.9336730132727953,0.9980201165421406,0.9927854871410537
surface,peak_rust_pct,RandomForest,none,gss_2,0.2,134,8,0.3035039098372659,2.623616021220574,0.8641381859258953,7.813896874527463,0.9915636994299484,0.8073954763563647,0.9970359499368996,0.9846476411622496
surface,peak_rust_pct,RandomForest,none,gss_2,0.4,240,15,0.30829577244625217,2.7169273406106753,0.7966852687047289,8.264949195152592,0.990758703396385,0.784517746279032,0.9975828458122101,0.9837073343489068
surface,peak_rust_pct,RandomForest,none,gss_2,0.6,380,23,0.3338806315311223,2.6144979389058487,0.7478404834896809,7.8376621627334755,0.9921664993450136,0.8062221148900164,0.9976705757101261,0.9896326332720893
surface,peak_rust_pct,RandomForest,none,gss_2,0.8,488,30,0.25840127872572477,2.363588533924294,0.6048222344569756,7.140136903721211,0.9944519492454531,0.8391784622490703,0.9983596154328619,0.9904881425083785
surface,peak_rust_pct,RandomForest,none,gss_2,1.0,629,38,0.2739138550925444,2.2620635968165836,0.6098815172744649,6.952485585947949,0.9949437248850932,0.8475205464567406,0.9980524203762886,0.9909529444619266
surface,peak_rust_pct,RandomForest,none,gss_3,0.2,132,8,0.22779065357259937,1.0775836820773348,0.4538796825167251,2.5538255263479464,0.9979425125950585,0.9359659689195745,0.9990928250025326,0.9874960299396306
surface,peak_rust_pct,RandomForest,none,gss_3,0.4,245,15,0.2689542891363034,1.1533730156764006,0.6786294505251397,2.9032586496092994,0.9916465400212399,0.9172439311018372,0.9987074223818874,0.9841976896951866
surface,peak_rust_pct,RandomForest,none,gss_3,0.6,377,23,0.36012161130585696,0.954781349818586,0.863765395301779,2.415229631424813,0.9952815455035651,0.9427276172553829,0.9983885882806324,0.9882394987408917
surface,peak_rust_pct,RandomForest,none,gss_3,0.8,491,30,0.2845504553619321,0.9803538885645628,0.6789044575415751,2.465763706696689,0.9968441689601266,0.9403059139578727,0.9983974257256382,0.9867201924840016
surface,peak_rust_pct,RandomForest,none,gss_3,1.0,626,38,0.29260462515094915,0.9000393732025859,0.6592881882104138,2.183733317193955,0.9966934003834825,0.9531804111412099,0.9985966568683453,0.9878904094447406
surface,peak_rust_pct,RandomForest,none,gss_4,0.2,135,8,0.44710877641977775,1.2539688662920707,1.0582184481181158,2.2932458859992235,0.9966271908152029,0.9583495198347824,0.9986196068935669,0.99066666156679
surface,peak_rust_pct,RandomForest,none,gss_4,0.4,243,15,0.22515604038464904,1.5064173364336086,0.4654828649583126,3.923225366080918,0.9968022455406971,0.8780995582744398,0.998448201728962,0.9912052984696307
surface,peak_rust_pct,RandomForest,none,gss_4,0.6,381,23,0.2330082158631672,1.3488562308665835,0.5294138375844457,3.039532536274033,0.9963295578585036,0.9268301171743315,0.9985686957625965,0.99315356901069
surface,peak_rust_pct,RandomForest,none,gss_4,0.8,495,30,0.2923982772880575,1.1006237460442991,0.7168558144720819,2.329223552912544,0.9964883643323759,0.9570323984178503,0.9984783406613643,0.993109849365206
surface,peak_rust_pct,RandomForest,none,gss_4,1.0,624,38,0.26823997437623076,1.1095572602594803,0.6641932303013928,2.231299293107896,0.9964528700905116,0.960569305897933,0.9982005064992853,0.9925944761709471
