feature,importance
campaign_id_campaign_1,0.29916651368359404
ageing_days,0.22700287830520638
campaign_id_campaign_2,0.22640273589398036
cover_mm,0.11803374182591363
treatment_label_coarse_G,0.02193830948598694
split_group_treatment_S3_PA_SA,0.017637840557825846
series_id_S3,0.01555515622777934
treatment_coarse_PA,0.007296601682193534
treatment_protocol_paint_campaign2,0.006953503550753695
series_id_G,0.0059052616919554645
split_group_treatment_G_PAINT,0.004951170844459589
split_group_treatment_S1_MI,0.00432572867709808
series_id_S1,0.0034924855284632042
treatment_protocol_paint_plus_surface_inhibitor,0.0033636699198164345
treatment_coarse_SA,0.003064364506377874
split_group_treatment_E_SA_SPRAY,0.0029521915921924243
treatment_protocol_surface_applied_inhibitor_campaign1,0.0028612092166352757
treatment_label_coarse_SA,0.002821716804086987
treatment_protocol_surface_inhibitor_spray_campaign2,0.0027628985424906025
treatment_coarse_SA_PA,0.002394747221043588
series_id_S5,0.0020916336104569756
series_id_E,0.002069683519913056
series_id_F,0.0018855096948591599
treatment_label_coarse_VF,0.0017446549198554813
treatment_protocol_surface_inhibitor_brush_campaign2,0.0014950843372385362
split_group_treatment_S2_SA,0.0012253059068857441
split_group_treatment_S5_VF,0.0011854766333244664
split_group_treatment_F_SA_BRUSH,0.0011774874783080818
treatment_coarse_MI,0.001137740760578585
treatment_coarse_False,0.0009648625725285141
split_group_treatment_S4_SA_VF,0.0008877141125045355
treatment_label_coarse_D,0.0008136449179139065
series_id_S2,0.0008109160427480688
series_id_D,0.0008034220831084038
series_id_S4,0.000710367019353846
treatment_label_coarse_MI,0.0006104703180371484
treatment_protocol_mixed_in_inhibitor,0.0006014169828900246
treatment_protocol_no_treatment_control,0.0004501364315859238
split_group_treatment_D_NO,0.00015581970179973117
treatment_protocol_glass_based_compound,0.00010897427467485985
treatment_coarse_SA_VF,0.00010291853807605212
treatment_coarse_VF,8.24778227037965e-05
treatment_protocol_surface_inhibitor_plus_glass_compound,1.5565628018633941e-06
treatment_protocol_paint_only,0.0
