split_name,repeat_id,fold_id,split_id,train_specimens,test_specimens,train_rows,test_rows,test_terminal_rows,train_mesh_counts,test_mesh_counts,train_campaign_counts,test_campaign_counts,leakage_safe
grouped_cv,0,0,grouped_cv_repeat0_fold0,19,5,341,90,5,"{""4"": 19}","{""4"": 5}","{""campaign_2"": 19}","{""campaign_2"": 5}",True
grouped_cv,0,1,grouped_cv_repeat0_fold1,19,5,341,90,5,"{""4"": 19}","{""4"": 5}","{""campaign_2"": 19}","{""campaign_2"": 5}",True
grouped_cv,0,2,grouped_cv_repeat0_fold2,19,5,341,90,5,"{""4"": 19}","{""4"": 5}","{""campaign_2"": 19}","{""campaign_2"": 5}",True
grouped_cv,0,3,grouped_cv_repeat0_fold3,19,5,341,90,5,"{""4"": 19}","{""4"": 5}","{""campaign_2"": 19}","{""campaign_2"": 5}",True
grouped_cv,0,4,grouped_cv_repeat0_fold4,20,4,360,71,4,"{""4"": 20}","{""4"": 4}","{""campaign_2"": 20}","{""campaign_2"": 4}",True
grouped_cv,1,0,grouped_cv_repeat1_fold0,19,5,342,89,5,"{""4"": 19}","{""4"": 5}","{""campaign_2"": 19}","{""campaign_2"": 5}",True
grouped_cv,1,1,grouped_cv_repeat1_fold1,19,5,341,90,5,"{""4"": 19}","{""4"": 5}","{""campaign_2"": 19}","{""campaign_2"": 5}",True
grouped_cv,1,2,grouped_cv_repeat1_fold2,19,5,341,90,5,"{""4"": 19}","{""4"": 5}","{""campaign_2"": 19}","{""campaign_2"": 5}",True
grouped_cv,1,3,grouped_cv_repeat1_fold3,19,5,341,90,5,"{""4"": 19}","{""4"": 5}","{""campaign_2"": 19}","{""campaign_2"": 5}",True
grouped_cv,1,4,grouped_cv_repeat1_fold4,20,4,359,72,4,"{""4"": 20}","{""4"": 4}","{""campaign_2"": 20}","{""campaign_2"": 4}",True
