split_name,repeat_id,fold_id,split_id,n_train_rows,n_test_rows,n_train_terminal_rows,n_test_terminal_rows,train_specimens,test_specimens,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,train_spearman,test_spearman
grouped_cv,0,0,grouped_cv_repeat0_fold0,341,90,19,5,19,5,0.053268288542941425,0.14622286040386542,0.0688687720214702,0.1610423254849623,0.915706338985042,-0.8336135886315443,0.961825454593768,0.6668859288553503
grouped_cv,0,1,grouped_cv_repeat0_fold1,341,90,19,5,19,5,0.044133584061968205,0.22782597578608454,0.050372663389785556,0.26858920124710767,0.9454422211767992,-0.5555494011247051,0.9824268247682448,-0.7
grouped_cv,0,2,grouped_cv_repeat0_fold2,341,90,19,5,19,5,0.05448125199391099,0.22838862360159534,0.06973128684675244,0.23455473175482955,0.9110551043883635,-1.672751758092697,0.9631259199250245,-0.09999999999999999
grouped_cv,0,3,grouped_cv_repeat0_fold3,341,90,19,5,19,5,0.05087719232228269,0.15488897053355039,0.06269207820569125,0.24136249540092963,0.9202416579846642,-0.4208744923454575,0.9784813059984018,-0.09999999999999999
grouped_cv,0,4,grouped_cv_repeat0_fold4,360,71,20,4,20,4,0.051013916975207116,0.3154790538872594,0.05989346478526287,0.3764475509381383,0.8868239801872941,-0.30580749695758747,0.9657514624144863,-0.39999999999999997
grouped_cv,1,0,grouped_cv_repeat1_fold0,342,89,19,5,19,5,0.05988515875991172,0.19996828990765808,0.07817445985095771,0.20306752394075506,0.8762475392406531,-1.5354414215094163,0.9600359671959185,0.7999999999999999
grouped_cv,1,1,grouped_cv_repeat1_fold1,341,90,19,5,19,5,0.05844117808566971,0.09935262032706534,0.07462373896264574,0.11456437825696672,0.9052852525134655,-1.8433701831467477,0.9657598103167976,0.49999999999999994
grouped_cv,1,2,grouped_cv_repeat1_fold2,341,90,19,5,19,5,0.048317236371284544,0.17707216341161575,0.0581588434458982,0.19788503345028607,0.9363365570063512,-0.4409216390793642,0.9745394449560413,0.49999999999999994
grouped_cv,1,3,grouped_cv_repeat1_fold3,341,90,19,5,19,5,0.03374759206043889,0.3990834838322371,0.04225405563607389,0.42232864217800753,0.9256595982020288,-0.6313152301521869,0.9798072257395875,-0.9999999999999999
grouped_cv,1,4,grouped_cv_repeat1_fold4,359,72,20,4,20,4,0.06456247443920274,0.15298865513027532,0.07637278880547514,0.16046944772426175,0.8836232468091438,0.1753260639574188,0.9808060448371596,0.39999999999999997
