feature,importance,importance_abs,importance_kind,direction,split_name,repeat_id,fold_id,split_id
img_hsv_v_hist_bin_0,0.3075999656419891,0.3075999656419891,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_7,0.08735848455611928,0.08735848455611928,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_3,0.05733481643248106,0.05733481643248106,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_2,0.055277991707326925,0.055277991707326925,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_std,0.05411132105834817,0.05411132105834817,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_std,0.05028013013091759,0.05028013013091759,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_4,0.04562010832272216,0.04562010832272216,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_std,0.041867340505882075,0.041867340505882075,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_1,0.03804684420310102,0.03804684420310102,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_1,0.026992345204414122,0.026992345204414122,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_1,0.026848308695587117,0.026848308695587117,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_5,0.026738220410107587,0.026738220410107587,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_0,0.021227216766005894,0.021227216766005894,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_6,0.02061314722401064,0.02061314722401064,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_4,0.018790572341232298,0.018790572341232298,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_p10,0.016703526627008147,0.016703526627008147,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_2,0.014578785182133052,0.014578785182133052,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_5,0.010928706061850695,0.010928706061850695,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_p10,0.009112322329475585,0.009112322329475585,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_0,0.00899353869435024,0.00899353869435024,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_p10,0.008568314535984695,0.008568314535984695,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_mean,0.007503370531885956,0.007503370531885956,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_3,0.006994207895825679,0.006994207895825679,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_mean,0.006631607521064005,0.006631607521064005,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_mean,0.00597144901588984,0.00597144901588984,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_p90,0.004174168074404901,0.004174168074404901,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_4,0.003495005687380895,0.003495005687380895,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_p90,0.0032885617578030054,0.0032885617578030054,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_2,0.0030279940768371525,0.0030279940768371525,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_7,0.0028048016526090102,0.0028048016526090102,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_6,0.0025805610525000524,0.0025805610525000524,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_7,0.001970031334560431,0.001970031334560431,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_6,0.0014405045779345186,0.0014405045779345186,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_5,0.0012004200068482828,0.0012004200068482828,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_p90,0.001148106994921456,0.001148106994921456,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_3,0.00017720318848754815,0.00017720318848754815,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_0,0.22956876636944842,0.22956876636944842,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_v_std,0.09466247092421622,0.09466247092421622,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_v_hist_bin_3,0.08395048209496461,0.08395048209496461,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
