feature,importance,importance_abs,importance_kind,direction
img_hsv_v_hist_bin_0,0.26226637144051235,0.26226637144051235,feature_importance,positive
img_hsv_v_std,0.1196672470174522,0.1196672470174522,feature_importance,positive
img_hsv_v_hist_bin_2,0.07374722379710019,0.07374722379710019,feature_importance,positive
img_hsv_v_hist_bin_3,0.05295908916735973,0.05295908916735973,feature_importance,positive
img_hsv_h_std,0.04756624602219701,0.04756624602219701,feature_importance,positive
img_hsv_v_hist_bin_6,0.045899484595267596,0.045899484595267596,feature_importance,positive
img_hsv_v_hist_bin_5,0.04145416380256351,0.04145416380256351,feature_importance,positive
img_hsv_v_hist_bin_7,0.04075897212015051,0.04075897212015051,feature_importance,positive
img_hsv_s_std,0.034282614149553345,0.034282614149553345,feature_importance,positive
img_hsv_h_hist_bin_1,0.023442103890395475,0.023442103890395475,feature_importance,positive
img_hsv_v_hist_bin_1,0.023043260728628546,0.023043260728628546,feature_importance,positive
img_hsv_h_p10,0.021980182008334962,0.021980182008334962,feature_importance,positive
img_hsv_h_hist_bin_0,0.019580339695631135,0.019580339695631135,feature_importance,positive
img_hsv_v_mean,0.017092825059267423,0.017092825059267423,feature_importance,positive
img_hsv_v_p10,0.01597736470872707,0.01597736470872707,feature_importance,positive
img_hsv_s_hist_bin_2,0.015587785385154493,0.015587785385154493,feature_importance,positive
img_hsv_s_hist_bin_3,0.014522443653711394,0.014522443653711394,feature_importance,positive
img_hsv_s_hist_bin_0,0.013680602620630455,0.013680602620630455,feature_importance,positive
img_hsv_s_p90,0.013145505175415365,0.013145505175415365,feature_importance,positive
img_hsv_v_hist_bin_4,0.01250860699737655,0.01250860699737655,feature_importance,positive
img_hsv_s_hist_bin_4,0.00986668496760099,0.00986668496760099,feature_importance,positive
img_hsv_s_mean,0.009130261091571692,0.009130261091571692,feature_importance,positive
img_hsv_s_p10,0.008594978015599507,0.008594978015599507,feature_importance,positive
img_hsv_s_hist_bin_5,0.008511016616770275,0.008511016616770275,feature_importance,positive
img_hsv_s_hist_bin_1,0.008400484003988205,0.008400484003988205,feature_importance,positive
img_hsv_s_hist_bin_7,0.00681566477949169,0.00681566477949169,feature_importance,positive
img_hsv_h_mean,0.006643402586564795,0.006643402586564795,feature_importance,positive
img_hsv_h_p90,0.006227840280737748,0.006227840280737748,feature_importance,positive
img_hsv_h_hist_bin_2,0.005940726655871193,0.005940726655871193,feature_importance,positive
img_hsv_v_p90,0.0058483575606944425,0.0058483575606944425,feature_importance,positive
img_hsv_s_hist_bin_6,0.005394411124771315,0.005394411124771315,feature_importance,positive
img_hsv_h_hist_bin_7,0.003244349184284993,0.003244349184284993,feature_importance,positive
img_hsv_h_hist_bin_4,0.0021911488367922626,0.0021911488367922626,feature_importance,positive
img_hsv_h_hist_bin_5,0.0017605130841975522,0.0017605130841975522,feature_importance,positive
img_hsv_h_hist_bin_6,0.0013139611826930816,0.0013139611826930816,feature_importance,positive
img_hsv_h_hist_bin_3,0.0009537679929410184,0.0009537679929410184,feature_importance,positive
