feature,importance,importance_abs,importance_kind,direction,split_name,repeat_id,fold_id,split_id
img_hsv_v_hist_bin_0,0.3057088918529748,0.3057088918529748,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_std,0.06722171687825199,0.06722171687825199,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_2,0.06479880392670367,0.06479880392670367,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_std,0.057648278068073384,0.057648278068073384,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_7,0.0566087174027558,0.0566087174027558,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_3,0.049759540045003776,0.049759540045003776,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_6,0.03153200471621722,0.03153200471621722,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_1,0.03099555153127585,0.03099555153127585,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_5,0.029367380606269602,0.029367380606269602,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_std,0.02702876620752106,0.02702876620752106,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_4,0.026977907619197095,0.026977907619197095,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_0,0.022793900050259497,0.022793900050259497,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_1,0.02178405688528693,0.02178405688528693,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_p10,0.018822460273565787,0.018822460273565787,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_1,0.01787963241875153,0.01787963241875153,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
