split_name,repeat_id,fold_id,split_id,n_train_rows,n_test_rows,n_train_terminal_rows,n_test_terminal_rows,train_specimens,test_specimens,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,train_spearman,test_spearman
grouped_cv,0,0,grouped_cv_repeat0_fold0,626,165,38,10,38,10,0.034539575200331844,0.3337118592262268,0.046093897394159505,0.3886368315615837,0.9822269099040442,0.3424986207045798,0.9909151147200205,0.6747751534848716
grouped_cv,0,1,grouped_cv_repeat0_fold1,626,165,38,10,38,10,0.0367298416087502,0.2287513456344604,0.05527484645305805,0.2744306773789059,0.9802361002686001,0.254342069022632,0.9925569712008336,0.5288778230016562
grouped_cv,0,2,grouped_cv_repeat0_fold2,627,164,38,10,38,10,0.031241618708560365,0.257444529056549,0.04734992180499542,0.29205694411316063,0.983758901097722,0.4826738156323782,0.9877408588571155,0.6727272727272726
grouped_cv,0,3,grouped_cv_repeat0_fold3,641,150,39,9,39,9,0.036230018933614085,0.15098294258117678,0.05549653340897403,0.2057275158054994,0.9795480998764945,0.6171544601076919,0.9852182291049211,0.8666666666666667
grouped_cv,0,4,grouped_cv_repeat0_fold4,644,147,39,9,39,9,0.030844789529458065,0.17296762996249732,0.042019531812488874,0.23380123076670828,0.9885907161858608,0.42955187506116743,0.9895717779541157,0.6778302010921357
grouped_cv,1,0,grouped_cv_repeat1_fold0,626,165,38,10,38,10,0.038477148382287274,0.25672260284423826,0.049360301746602386,0.3426493925776822,0.9813688813072504,0.36990916283565956,0.9813366162715049,0.6606060606060605
grouped_cv,1,1,grouped_cv_repeat1_fold1,627,164,38,10,38,10,0.037658035127740165,0.27800830173492436,0.0528248269528482,0.3392457597037912,0.9816334276130638,-0.09415581720606192,0.9905325166963822,0.2500046476608327
grouped_cv,1,2,grouped_cv_repeat1_fold2,626,165,38,10,38,10,0.0385617084252207,0.15055331754684453,0.05804588057097619,0.20311902481932523,0.9765732646698314,0.7047585301124677,0.9852249333102892,0.8424242424242423
grouped_cv,1,3,grouped_cv_repeat1_fold3,641,150,39,9,39,9,0.03583332208486704,0.22972944206661644,0.0485884419678361,0.26412907957075826,0.983612034786263,0.5092406314881477,0.9870919070910453,0.6666666666666667
grouped_cv,1,4,grouped_cv_repeat1_fold4,644,147,39,9,39,9,0.037831749793810744,0.23187655184004038,0.053544990793486257,0.26644524011312626,0.980451559571662,0.4315501834426393,0.9854192788814856,0.7999999999999999
