feature,feature_value,feature_value_label,prediction_mean,feature_kind
campaign_id,campaign_1,campaign_1,2.2996856693925225,categorical
campaign_id,campaign_2,campaign_2,2.0042010589970567,categorical
cover_mm,2.343,2.343,2.1899312148867196,numeric
cover_mm,3.5439285714285713,3.544,2.232234156657522,numeric
cover_mm,3.766142857142857,3.766,2.2344290086575302,numeric
cover_mm,4.344785714285714,4.345,2.175591466792957,numeric
cover_mm,4.585214285714286,4.585,2.1454153909502773,numeric
cover_mm,5.694642857142857,5.695,2.077333031457581,numeric
cover_mm,6.394285714285714,6.394,1.9652159058820835,numeric
cover_mm,7.257499999999999,7.257,2.0749014190947057,numeric
nacl_pct,3.5,3.5,2.214907426965829,numeric
nacl_pct,5.0,5,2.0942388844048696,numeric
treatment_label_coarse,D,D,2.1352250126642733,categorical
treatment_label_coarse,G,G,2.196829078943052,categorical
treatment_label_coarse,MI,MI,2.137278408405504,categorical
treatment_label_coarse,SA,SA,2.1454069519958203,categorical
treatment_label_coarse,VF,VF,2.1341373673047177,categorical
n_steel_mesh,4.0,4,2.1228203437245683,numeric
n_steel_mesh,7.0,7,2.1756766510976293,numeric
