feature,importance,importance_abs,importance_kind,direction
n_steel_mesh,0.5487388968467712,0.5487388968467712,feature_importance,positive
nacl_pct,0.19632670283317566,0.19632670283317566,feature_importance,positive
series_id,0.10474203480407596,0.10474203480407596,feature_importance,positive
split_group_treatment,0.045136761298635975,0.045136761298635975,feature_importance,positive
img_hsv_v_hist_bin_7,0.027039384469389915,0.027039384469389915,feature_importance,positive
treatment_protocol,0.013805514114210382,0.013805514114210382,feature_importance,positive
img_hsv_s_std,0.007204186636954546,0.007204186636954546,feature_importance,positive
img_hsv_v_p10,0.006761338096112013,0.006761338096112013,feature_importance,positive
cover_mm,0.0062934947200119495,0.0062934947200119495,feature_importance,positive
img_hsv_v_hist_bin_3,0.006035760510712862,0.006035760510712862,feature_importance,positive
treatment_label_coarse,0.00458448872086592,0.00458448872086592,feature_importance,positive
img_hsv_v_hist_bin_2,0.0038616659585386515,0.0038616659585386515,feature_importance,positive
img_hsv_s_hist_bin_5,0.003522576065734029,0.003522576065734029,feature_importance,positive
treatment_coarse,0.003398483011551434,0.003398483011551434,feature_importance,positive
img_hsv_v_hist_bin_1,0.002358487108722329,0.002358487108722329,feature_importance,positive
img_hsv_s_hist_bin_4,0.0018738418584689498,0.0018738418584689498,feature_importance,positive
img_hsv_v_mean,0.0016690276097506285,0.0016690276097506285,feature_importance,positive
img_hsv_h_hist_bin_3,0.001664146315306425,0.001664146315306425,feature_importance,positive
img_hsv_s_hist_bin_3,0.0014870604500174522,0.0014870604500174522,feature_importance,positive
img_hsv_v_hist_bin_5,0.001434381352737546,0.001434381352737546,feature_importance,positive
img_hsv_h_p10,0.0013903104700148106,0.0013903104700148106,feature_importance,positive
img_hsv_v_std,0.0010841909097507596,0.0010841909097507596,feature_importance,positive
img_hsv_v_hist_bin_4,0.0009802704444155097,0.0009802704444155097,feature_importance,positive
img_hsv_v_hist_bin_6,0.0008715582080185413,0.0008715582080185413,feature_importance,positive
img_hsv_h_hist_bin_7,0.0007184441201388836,0.0007184441201388836,feature_importance,positive
img_hsv_h_hist_bin_6,0.0006515721906907856,0.0006515721906907856,feature_importance,positive
img_hsv_s_hist_bin_2,0.0006241680821403861,0.0006241680821403861,feature_importance,positive
img_hsv_h_p90,0.0005522049614228308,0.0005522049614228308,feature_importance,positive
img_hsv_s_p90,0.00043832531082443893,0.00043832531082443893,feature_importance,positive
img_hsv_s_hist_bin_7,0.00043688539881259203,0.00043688539881259203,feature_importance,positive
img_hsv_s_p10,0.00042736713658086956,0.00042736713658086956,feature_importance,positive
img_hsv_v_hist_bin_0,0.0004018665349576622,0.0004018665349576622,feature_importance,positive
img_hsv_h_hist_bin_4,0.0003646788536570966,0.0003646788536570966,feature_importance,positive
img_hsv_h_hist_bin_0,0.0003617417241912335,0.0003617417241912335,feature_importance,positive
img_hsv_s_mean,0.00034915111609734595,0.00034915111609734595,feature_importance,positive
img_hsv_h_hist_bin_2,0.0003209036367479712,0.0003209036367479712,feature_importance,positive
img_hsv_s_hist_bin_1,0.00032035604817792773,0.00032035604817792773,feature_importance,positive
img_hsv_h_hist_bin_5,0.000293274613795802,0.000293274613795802,feature_importance,positive
img_hsv_h_hist_bin_1,0.0002541179128456861,0.0002541179128456861,feature_importance,positive
img_hsv_s_hist_bin_0,0.00022340149735100567,0.00022340149735100567,feature_importance,positive
img_hsv_h_std,0.00022259194520302117,0.00022259194520302117,feature_importance,positive
img_hsv_v_p90,0.00019502460781950504,0.00019502460781950504,feature_importance,positive
img_hsv_h_mean,0.0001899725029943511,0.0001899725029943511,feature_importance,positive
img_hsv_s_hist_bin_6,0.00014859138173051178,0.00014859138173051178,feature_importance,positive
week,0.00013379837037064135,0.00013379837037064135,feature_importance,positive
ageing_days,0.00010691599163692445,0.00010691599163692445,feature_importance,positive
campaign_id,0.0,0.0,feature_importance,positive
