feature,importance_kind,importance,importance_abs
cover_mm,feature_importance,31.14484073990733,31.14484073990733
campaign_id,feature_importance,21.774060749090758,21.774060749090758
n_steel_mesh,feature_importance,13.84407333668313,13.84407333668313
nacl_pct,feature_importance,10.078602456350769,10.078602456350769
treatment_label_coarse,feature_importance,9.07579630643378,9.07579630643378
series_id,feature_importance,4.04385059707316,4.04385059707316
split_group_treatment,feature_importance,3.956772542742437,3.956772542742437
treatment_protocol,feature_importance,3.111608290961511,3.111608290961511
treatment_coarse,feature_importance,2.8449355436782158,2.8449355436782158
week,feature_importance,0.06477345862270109,0.06477345862270109
ageing_days,feature_importance,0.060685978456209176,0.060685978456209176
