feature,importance_kind,importance,importance_abs
campaign_id,feature_importance,0.31595526183516165,0.31595526183516165
cover_mm,feature_importance,0.22156094169013407,0.22156094169013407
nacl_pct,feature_importance,0.18477077464139852,0.18477077464139852
n_steel_mesh,feature_importance,0.16126851627602143,0.16126851627602143
series_id,feature_importance,0.031161946476962177,0.031161946476962177
split_group_treatment,feature_importance,0.03098304093010439,0.03098304093010439
treatment_label_coarse,feature_importance,0.025842162357862408,0.025842162357862408
treatment_protocol,feature_importance,0.01975880687759166,0.01975880687759166
treatment_coarse,feature_importance,0.008698548914763621,0.008698548914763621
ageing_days,feature_importance,5.0797586169063116e-17,5.0797586169063116e-17
week,feature_importance,3.5661829259199003e-17,3.5661829259199003e-17
