feature,importance,importance_abs,importance_kind,direction,split_name,repeat_id,fold_id,split_id
n_steel_mesh,0.321832808887844,0.321832808887844,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
campaign_id,0.23102495790817582,0.23102495790817582,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
cover_mm,0.20850013746224283,0.20850013746224283,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
nacl_pct,0.1203384084299308,0.1203384084299308,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_protocol,0.036277429770686806,0.036277429770686806,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_coarse,0.02277323808695704,0.02277323808695704,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
series_id,0.02166384457542395,0.02166384457542395,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_label_coarse,0.01907402752153694,0.01907402752153694,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
split_group_treatment,0.018515147357201847,0.018515147357201847,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
ageing_days,0.0,0.0,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
week,0.0,0.0,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
campaign_id,0.30044451658245475,0.30044451658245475,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
cover_mm,0.2048112805518189,0.2048112805518189,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
nacl_pct,0.19164469812256088,0.19164469812256088,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
n_steel_mesh,0.17164322275007152,0.17164322275007152,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
series_id,0.050963991217414586,0.050963991217414586,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
split_group_treatment,0.03037607611197716,0.03037607611197716,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
treatment_label_coarse,0.025281027641030535,0.025281027641030535,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
treatment_protocol,0.01884625149115275,0.01884625149115275,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
treatment_coarse,0.00598893553151869,0.00598893553151869,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
ageing_days,4.81084073992654e-17,4.81084073992654e-17,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
week,4.5740494261095303e-17,4.5740494261095303e-17,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
campaign_id,0.36920259245637943,0.36920259245637943,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
n_steel_mesh,0.2383280383214644,0.2383280383214644,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
cover_mm,0.22032645798977807,0.22032645798977807,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
nacl_pct,0.07677434024950415,0.07677434024950415,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
split_group_treatment,0.022490918366216826,0.022490918366216826,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
series_id,0.021437082994418998,0.021437082994418998,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
treatment_protocol,0.020295507685526133,0.020295507685526133,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
treatment_label_coarse,0.01656161126493283,0.01656161126493283,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
treatment_coarse,0.014583450671779314,0.014583450671779314,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
ageing_days,1.498331516411973e-16,1.498331516411973e-16,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
week,5.1098906725986024e-17,5.1098906725986024e-17,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
campaign_id,0.31485236456501464,0.31485236456501464,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
nacl_pct,0.24465333359511696,0.24465333359511696,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
cover_mm,0.2438950112916239,0.2438950112916239,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
n_steel_mesh,0.08856232502299205,0.08856232502299205,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
series_id,0.03596332391446811,0.03596332391446811,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
treatment_label_coarse,0.03134053880156706,0.03134053880156706,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
split_group_treatment,0.03016405936690626,0.03016405936690626,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
treatment_protocol,0.006564845861017129,0.006564845861017129,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
treatment_coarse,0.00400419758129372,0.00400419758129372,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
ageing_days,1.229550943641289e-16,1.229550943641289e-16,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
week,6.674246209819997e-17,6.674246209819997e-17,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
campaign_id,0.33459050267646606,0.33459050267646606,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
cover_mm,0.23210180821616516,0.23210180821616516,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
nacl_pct,0.16538646828202963,0.16538646828202963,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
n_steel_mesh,0.1382016476244008,0.1382016476244008,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
treatment_label_coarse,0.0417455974697941,0.0417455974697941,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
series_id,0.03260396202811218,0.03260396202811218,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
treatment_protocol,0.026524898173694716,0.026524898173694716,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
split_group_treatment,0.022773509814617027,0.022773509814617027,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
treatment_coarse,0.006071605714720227,0.006071605714720227,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
ageing_days,1.2300443429891754e-17,1.2300443429891754e-17,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
week,0.0,0.0,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
campaign_id,0.4364116993853606,0.4364116993853606,feature_importance,positive,grouped_cv,1,0,grouped_cv_repeat1_fold0
cover_mm,0.26718110404042017,0.26718110404042017,feature_importance,positive,grouped_cv,1,0,grouped_cv_repeat1_fold0
n_steel_mesh,0.11715671811492527,0.11715671811492527,feature_importance,positive,grouped_cv,1,0,grouped_cv_repeat1_fold0
nacl_pct,0.09638171418921049,0.09638171418921049,feature_importance,positive,grouped_cv,1,0,grouped_cv_repeat1_fold0
split_group_treatment,0.022769669319634946,0.022769669319634946,feature_importance,positive,grouped_cv,1,0,grouped_cv_repeat1_fold0
treatment_label_coarse,0.018826797193571363,0.018826797193571363,feature_importance,positive,grouped_cv,1,0,grouped_cv_repeat1_fold0
series_id,0.017462050052314992,0.017462050052314992,feature_importance,positive,grouped_cv,1,0,grouped_cv_repeat1_fold0
treatment_protocol,0.015854155697594345,0.015854155697594345,feature_importance,positive,grouped_cv,1,0,grouped_cv_repeat1_fold0
treatment_coarse,0.007956092006967569,0.007956092006967569,feature_importance,positive,grouped_cv,1,0,grouped_cv_repeat1_fold0
ageing_days,3.7543146383108047e-17,3.7543146383108047e-17,feature_importance,positive,grouped_cv,1,0,grouped_cv_repeat1_fold0
week,6.2300232558374634e-18,6.2300232558374634e-18,feature_importance,positive,grouped_cv,1,0,grouped_cv_repeat1_fold0
campaign_id,0.27589793511453437,0.27589793511453437,feature_importance,positive,grouped_cv,1,1,grouped_cv_repeat1_fold1
nacl_pct,0.21421226307537353,0.21421226307537353,feature_importance,positive,grouped_cv,1,1,grouped_cv_repeat1_fold1
n_steel_mesh,0.21209202921737888,0.21209202921737888,feature_importance,positive,grouped_cv,1,1,grouped_cv_repeat1_fold1
cover_mm,0.16602040378524635,0.16602040378524635,feature_importance,positive,grouped_cv,1,1,grouped_cv_repeat1_fold1
treatment_label_coarse,0.044080653434595427,0.044080653434595427,feature_importance,positive,grouped_cv,1,1,grouped_cv_repeat1_fold1
split_group_treatment,0.03302026431484835,0.03302026431484835,feature_importance,positive,grouped_cv,1,1,grouped_cv_repeat1_fold1
series_id,0.029575788883952906,0.029575788883952906,feature_importance,positive,grouped_cv,1,1,grouped_cv_repeat1_fold1
treatment_protocol,0.018588802176984515,0.018588802176984515,feature_importance,positive,grouped_cv,1,1,grouped_cv_repeat1_fold1
treatment_coarse,0.0065118599970856806,0.0065118599970856806,feature_importance,positive,grouped_cv,1,1,grouped_cv_repeat1_fold1
ageing_days,5.068739890789475e-17,5.068739890789475e-17,feature_importance,positive,grouped_cv,1,1,grouped_cv_repeat1_fold1
week,3.099181298041413e-17,3.099181298041413e-17,feature_importance,positive,grouped_cv,1,1,grouped_cv_repeat1_fold1
nacl_pct,0.3075486216891462,0.3075486216891462,feature_importance,positive,grouped_cv,1,2,grouped_cv_repeat1_fold2
campaign_id,0.2612545158362891,0.2612545158362891,feature_importance,positive,grouped_cv,1,2,grouped_cv_repeat1_fold2
cover_mm,0.24288453078608516,0.24288453078608516,feature_importance,positive,grouped_cv,1,2,grouped_cv_repeat1_fold2
split_group_treatment,0.06010187756320849,0.06010187756320849,feature_importance,positive,grouped_cv,1,2,grouped_cv_repeat1_fold2
n_steel_mesh,0.05346542868331832,0.05346542868331832,feature_importance,positive,grouped_cv,1,2,grouped_cv_repeat1_fold2
series_id,0.03902368934432192,0.03902368934432192,feature_importance,positive,grouped_cv,1,2,grouped_cv_repeat1_fold2
treatment_protocol,0.01677096171434006,0.01677096171434006,feature_importance,positive,grouped_cv,1,2,grouped_cv_repeat1_fold2
treatment_label_coarse,0.013440551404041984,0.013440551404041984,feature_importance,positive,grouped_cv,1,2,grouped_cv_repeat1_fold2
treatment_coarse,0.0055098229792485635,0.0055098229792485635,feature_importance,positive,grouped_cv,1,2,grouped_cv_repeat1_fold2
week,5.6676108896707294e-18,5.6676108896707294e-18,feature_importance,positive,grouped_cv,1,2,grouped_cv_repeat1_fold2
ageing_days,4.4544704762025935e-18,4.4544704762025935e-18,feature_importance,positive,grouped_cv,1,2,grouped_cv_repeat1_fold2
nacl_pct,0.30547715731063074,0.30547715731063074,feature_importance,positive,grouped_cv,1,3,grouped_cv_repeat1_fold3
campaign_id,0.3052381805457019,0.3052381805457019,feature_importance,positive,grouped_cv,1,3,grouped_cv_repeat1_fold3
cover_mm,0.1955386438195327,0.1955386438195327,feature_importance,positive,grouped_cv,1,3,grouped_cv_repeat1_fold3
n_steel_mesh,0.07202136712822957,0.07202136712822957,feature_importance,positive,grouped_cv,1,3,grouped_cv_repeat1_fold3
split_group_treatment,0.03994740607503218,0.03994740607503218,feature_importance,positive,grouped_cv,1,3,grouped_cv_repeat1_fold3
series_id,0.037407295876087515,0.037407295876087515,feature_importance,positive,grouped_cv,1,3,grouped_cv_repeat1_fold3
treatment_label_coarse,0.02822634295167349,0.02822634295167349,feature_importance,positive,grouped_cv,1,3,grouped_cv_repeat1_fold3
treatment_protocol,0.011843927457338851,0.011843927457338851,feature_importance,positive,grouped_cv,1,3,grouped_cv_repeat1_fold3
treatment_coarse,0.004299678835772846,0.004299678835772846,feature_importance,positive,grouped_cv,1,3,grouped_cv_repeat1_fold3
week,1.0630008627754137e-16,1.0630008627754137e-16,feature_importance,positive,grouped_cv,1,3,grouped_cv_repeat1_fold3
ageing_days,6.397776934072666e-17,6.397776934072666e-17,feature_importance,positive,grouped_cv,1,3,grouped_cv_repeat1_fold3
campaign_id,0.33063535328123944,0.33063535328123944,feature_importance,positive,grouped_cv,1,4,grouped_cv_repeat1_fold4
cover_mm,0.23435003895842746,0.23435003895842746,feature_importance,positive,grouped_cv,1,4,grouped_cv_repeat1_fold4
n_steel_mesh,0.1993815770095896,0.1993815770095896,feature_importance,positive,grouped_cv,1,4,grouped_cv_repeat1_fold4
nacl_pct,0.12529074147048191,0.12529074147048191,feature_importance,positive,grouped_cv,1,4,grouped_cv_repeat1_fold4
split_group_treatment,0.02967148101140077,0.02967148101140077,feature_importance,positive,grouped_cv,1,4,grouped_cv_repeat1_fold4
treatment_protocol,0.026021288747581292,0.026021288747581292,feature_importance,positive,grouped_cv,1,4,grouped_cv_repeat1_fold4
series_id,0.0255184358831066,0.0255184358831066,feature_importance,positive,grouped_cv,1,4,grouped_cv_repeat1_fold4
treatment_label_coarse,0.019844475895880356,0.019844475895880356,feature_importance,positive,grouped_cv,1,4,grouped_cv_repeat1_fold4
treatment_coarse,0.009286607742292554,0.009286607742292554,feature_importance,positive,grouped_cv,1,4,grouped_cv_repeat1_fold4
week,4.3846896103245036e-17,4.3846896103245036e-17,feature_importance,positive,grouped_cv,1,4,grouped_cv_repeat1_fold4
ageing_days,1.8115979748215763e-17,1.8115979748215763e-17,feature_importance,positive,grouped_cv,1,4,grouped_cv_repeat1_fold4
