feature,importance,importance_abs,importance_kind,direction,split_name,repeat_id,fold_id,split_id
campaign_id,0.3426723736557776,0.3426723736557776,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
n_steel_mesh,0.32354031943145145,0.32354031943145145,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
cover_mm,0.176687653931733,0.176687653931733,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
series_id,0.03524303737311457,0.03524303737311457,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
split_group_treatment,0.03063226419032673,0.03063226419032673,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_coarse,0.027382852866877184,0.027382852866877184,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_protocol,0.025187502563406284,0.025187502563406284,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_label_coarse,0.02305821738773595,0.02305821738773595,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
nacl_pct,0.015592715474133672,0.015592715474133672,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
ageing_days,3.063125436320097e-06,3.063125436320097e-06,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
week,7.28274933507679e-15,7.28274933507679e-15,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
campaign_id,0.3625809587356406,0.3625809587356406,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
nacl_pct,0.2508629007063959,0.2508629007063959,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
cover_mm,0.19847170760395833,0.19847170760395833,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
n_steel_mesh,0.06345258275927759,0.06345258275927759,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
split_group_treatment,0.033301684204407586,0.033301684204407586,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
series_id,0.03319022686939304,0.03319022686939304,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
treatment_label_coarse,0.029371087211326818,0.029371087211326818,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
treatment_protocol,0.015846914184114724,0.015846914184114724,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
treatment_coarse,0.012916598535869609,0.012916598535869609,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
ageing_days,3.607634109051377e-06,3.607634109051377e-06,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
week,1.7315555068534317e-06,1.7315555068534317e-06,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
campaign_id,0.34644236435842646,0.34644236435842646,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
n_steel_mesh,0.2760166870161138,0.2760166870161138,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
cover_mm,0.20136790394072682,0.20136790394072682,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
nacl_pct,0.08186104846551685,0.08186104846551685,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
split_group_treatment,0.023344700508577867,0.023344700508577867,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
series_id,0.023258369769338004,0.023258369769338004,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
treatment_label_coarse,0.01889182662243802,0.01889182662243802,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
treatment_coarse,0.014935924163539732,0.014935924163539732,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
treatment_protocol,0.013879202261335101,0.013879202261335101,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
ageing_days,1.8369900449247588e-06,1.8369900449247588e-06,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
week,1.3590394237406987e-07,1.3590394237406987e-07,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
campaign_id,0.3429715739733782,0.3429715739733782,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
cover_mm,0.2087659656002698,0.2087659656002698,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
n_steel_mesh,0.19444382770290758,0.19444382770290758,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
nacl_pct,0.13127962482900907,0.13127962482900907,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
split_group_treatment,0.03580183964315749,0.03580183964315749,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
series_id,0.033554982692932264,0.033554982692932264,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
treatment_label_coarse,0.029847692998665316,0.029847692998665316,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
treatment_protocol,0.014233707021577814,0.014233707021577814,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
treatment_coarse,0.009100785538089708,0.009100785538089708,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
ageing_days,6.5173610477054794e-15,6.5173610477054794e-15,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
week,6.347552637550717e-15,6.347552637550717e-15,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
campaign_id,0.34302377762584346,0.34302377762584346,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
n_steel_mesh,0.1999138282631032,0.1999138282631032,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
cover_mm,0.1990182704947936,0.1990182704947936,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
nacl_pct,0.1305702516795764,0.1305702516795764,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
series_id,0.036943517420359444,0.036943517420359444,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
treatment_label_coarse,0.03290382227478982,0.03290382227478982,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
split_group_treatment,0.03137789134296582,0.03137789134296582,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
treatment_coarse,0.013346762144096124,0.013346762144096124,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
treatment_protocol,0.012858851162489712,0.012858851162489712,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
ageing_days,4.2671336061414596e-05,4.2671336061414596e-05,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
week,3.562559209952186e-07,3.562559209952186e-07,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
campaign_id,0.33109960368531777,0.33109960368531777,feature_importance,positive,grouped_cv,1,0,grouped_cv_repeat1_fold0
cover_mm,0.2467525971152186,0.2467525971152186,feature_importance,positive,grouped_cv,1,0,grouped_cv_repeat1_fold0
n_steel_mesh,0.22324736907328888,0.22324736907328888,feature_importance,positive,grouped_cv,1,0,grouped_cv_repeat1_fold0
nacl_pct,0.10842860433767335,0.10842860433767335,feature_importance,positive,grouped_cv,1,0,grouped_cv_repeat1_fold0
split_group_treatment,0.025062289375727145,0.025062289375727145,feature_importance,positive,grouped_cv,1,0,grouped_cv_repeat1_fold0
series_id,0.02228065776092546,0.02228065776092546,feature_importance,positive,grouped_cv,1,0,grouped_cv_repeat1_fold0
treatment_label_coarse,0.01741708913866471,0.01741708913866471,feature_importance,positive,grouped_cv,1,0,grouped_cv_repeat1_fold0
treatment_protocol,0.015849995891249108,0.015849995891249108,feature_importance,positive,grouped_cv,1,0,grouped_cv_repeat1_fold0
treatment_coarse,0.009861793621921338,0.009861793621921338,feature_importance,positive,grouped_cv,1,0,grouped_cv_repeat1_fold0
ageing_days,6.834888774304731e-15,6.834888774304731e-15,feature_importance,positive,grouped_cv,1,0,grouped_cv_repeat1_fold0
week,6.820111757307937e-15,6.820111757307937e-15,feature_importance,positive,grouped_cv,1,0,grouped_cv_repeat1_fold0
campaign_id,0.35106820233111435,0.35106820233111435,feature_importance,positive,grouped_cv,1,1,grouped_cv_repeat1_fold1
nacl_pct,0.19020392465311015,0.19020392465311015,feature_importance,positive,grouped_cv,1,1,grouped_cv_repeat1_fold1
n_steel_mesh,0.17108408167839423,0.17108408167839423,feature_importance,positive,grouped_cv,1,1,grouped_cv_repeat1_fold1
cover_mm,0.16330262065294007,0.16330262065294007,feature_importance,positive,grouped_cv,1,1,grouped_cv_repeat1_fold1
treatment_label_coarse,0.03718302846652061,0.03718302846652061,feature_importance,positive,grouped_cv,1,1,grouped_cv_repeat1_fold1
split_group_treatment,0.02911281087366147,0.02911281087366147,feature_importance,positive,grouped_cv,1,1,grouped_cv_repeat1_fold1
series_id,0.02803701609280546,0.02803701609280546,feature_importance,positive,grouped_cv,1,1,grouped_cv_repeat1_fold1
treatment_protocol,0.016444542703594113,0.016444542703594113,feature_importance,positive,grouped_cv,1,1,grouped_cv_repeat1_fold1
treatment_coarse,0.013562435935225749,0.013562435935225749,feature_importance,positive,grouped_cv,1,1,grouped_cv_repeat1_fold1
ageing_days,1.33661262517371e-06,1.33661262517371e-06,feature_importance,positive,grouped_cv,1,1,grouped_cv_repeat1_fold1
week,8.718978066090718e-15,8.718978066090718e-15,feature_importance,positive,grouped_cv,1,1,grouped_cv_repeat1_fold1
campaign_id,0.3497915491840753,0.3497915491840753,feature_importance,positive,grouped_cv,1,2,grouped_cv_repeat1_fold2
n_steel_mesh,0.2529017719977267,0.2529017719977267,feature_importance,positive,grouped_cv,1,2,grouped_cv_repeat1_fold2
cover_mm,0.2033360458700278,0.2033360458700278,feature_importance,positive,grouped_cv,1,2,grouped_cv_repeat1_fold2
nacl_pct,0.04978682342920894,0.04978682342920894,feature_importance,positive,grouped_cv,1,2,grouped_cv_repeat1_fold2
split_group_treatment,0.04540637080514546,0.04540637080514546,feature_importance,positive,grouped_cv,1,2,grouped_cv_repeat1_fold2
series_id,0.04374948795542575,0.04374948795542575,feature_importance,positive,grouped_cv,1,2,grouped_cv_repeat1_fold2
treatment_label_coarse,0.029774246853027493,0.029774246853027493,feature_importance,positive,grouped_cv,1,2,grouped_cv_repeat1_fold2
treatment_protocol,0.017422354005570444,0.017422354005570444,feature_importance,positive,grouped_cv,1,2,grouped_cv_repeat1_fold2
treatment_coarse,0.007825558846553922,0.007825558846553922,feature_importance,positive,grouped_cv,1,2,grouped_cv_repeat1_fold2
ageing_days,4.216892863667146e-06,4.216892863667146e-06,feature_importance,positive,grouped_cv,1,2,grouped_cv_repeat1_fold2
week,1.5741603743654218e-06,1.5741603743654218e-06,feature_importance,positive,grouped_cv,1,2,grouped_cv_repeat1_fold2
campaign_id,0.3471034474747445,0.3471034474747445,feature_importance,positive,grouped_cv,1,3,grouped_cv_repeat1_fold3
nacl_pct,0.18714691424140664,0.18714691424140664,feature_importance,positive,grouped_cv,1,3,grouped_cv_repeat1_fold3
cover_mm,0.1798282104251299,0.1798282104251299,feature_importance,positive,grouped_cv,1,3,grouped_cv_repeat1_fold3
n_steel_mesh,0.16437889012968404,0.16437889012968404,feature_importance,positive,grouped_cv,1,3,grouped_cv_repeat1_fold3
series_id,0.039464670794376724,0.039464670794376724,feature_importance,positive,grouped_cv,1,3,grouped_cv_repeat1_fold3
split_group_treatment,0.03439144625965262,0.03439144625965262,feature_importance,positive,grouped_cv,1,3,grouped_cv_repeat1_fold3
treatment_label_coarse,0.030072106624752737,0.030072106624752737,feature_importance,positive,grouped_cv,1,3,grouped_cv_repeat1_fold3
treatment_protocol,0.01072993133633414,0.01072993133633414,feature_importance,positive,grouped_cv,1,3,grouped_cv_repeat1_fold3
treatment_coarse,0.006880842982201009,0.006880842982201009,feature_importance,positive,grouped_cv,1,3,grouped_cv_repeat1_fold3
ageing_days,3.53973171002835e-06,3.53973171002835e-06,feature_importance,positive,grouped_cv,1,3,grouped_cv_repeat1_fold3
week,7.583780419806714e-15,7.583780419806714e-15,feature_importance,positive,grouped_cv,1,3,grouped_cv_repeat1_fold3
campaign_id,0.3322925591675333,0.3322925591675333,feature_importance,positive,grouped_cv,1,4,grouped_cv_repeat1_fold4
n_steel_mesh,0.2671090976992304,0.2671090976992304,feature_importance,positive,grouped_cv,1,4,grouped_cv_repeat1_fold4
cover_mm,0.21283030367860623,0.21283030367860623,feature_importance,positive,grouped_cv,1,4,grouped_cv_repeat1_fold4
nacl_pct,0.07369078938727895,0.07369078938727895,feature_importance,positive,grouped_cv,1,4,grouped_cv_repeat1_fold4
treatment_protocol,0.024041055194199377,0.024041055194199377,feature_importance,positive,grouped_cv,1,4,grouped_cv_repeat1_fold4
treatment_coarse,0.02326679292861899,0.02326679292861899,feature_importance,positive,grouped_cv,1,4,grouped_cv_repeat1_fold4
split_group_treatment,0.023025471202611607,0.023025471202611607,feature_importance,positive,grouped_cv,1,4,grouped_cv_repeat1_fold4
series_id,0.02250061889500558,0.02250061889500558,feature_importance,positive,grouped_cv,1,4,grouped_cv_repeat1_fold4
treatment_label_coarse,0.021216128403452446,0.021216128403452446,feature_importance,positive,grouped_cv,1,4,grouped_cv_repeat1_fold4
week,2.7183443457172724e-05,2.7183443457172724e-05,feature_importance,positive,grouped_cv,1,4,grouped_cv_repeat1_fold4
ageing_days,5.615129641689647e-15,5.615129641689647e-15,feature_importance,positive,grouped_cv,1,4,grouped_cv_repeat1_fold4
