feature,importance,importance_abs,importance_kind,direction,split_name,repeat_id,fold_id,split_id
series_id,0.017214851216260093,0.13441734766630953,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
split_group_treatment,0.017214851216255732,0.13441734766627583,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_protocol,-0.0014124874102298436,0.10274343648248677,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
campaign_id,-5.967448757360216e-16,0.0769406978636146,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_coarse,0.002030946603470654,0.07303012841442097,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
cover_mm,-0.04982107964977714,0.04982107964977714,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_label_coarse,-0.0037603981086502605,0.04436201510026819,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
nacl_pct,-0.03847034893137229,0.03847034893137229,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
n_steel_mesh,0.03847034893136413,0.03847034893136413,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
week,-1.374716381094379e-05,1.374716381094379e-05,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
ageing_days,-1.3747163797039018e-05,1.3747163797039018e-05,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_protocol,0.014240004905698423,0.15350264330866634,coefficient,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
series_id,0.017040504277162333,0.1485898094342268,coefficient,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
split_group_treatment,0.017040504277152077,0.14858980943421127,coefficient,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
campaign_id,7.216449660063518e-16,0.08779982864987208,coefficient,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
treatment_coarse,-0.0049116860416397075,0.05350430862175542,coefficient,negative,grouped_cv,0,1,grouped_cv_repeat0_fold1
n_steel_mesh,0.04389991432419995,0.04389991432419995,coefficient,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
nacl_pct,-0.04389991432419755,0.04389991432419755,coefficient,negative,grouped_cv,0,1,grouped_cv_repeat0_fold1
