feature,importance,importance_abs,importance_kind,direction,split_name,repeat_id,fold_id,split_id
campaign_id,0.5807157158851624,0.5807157158851624,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
nacl_pct,0.21936923265457153,0.21936923265457153,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
n_steel_mesh,0.09980401396751404,0.09980401396751404,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
split_group_treatment,0.04951172506844159,0.04951172506844159,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
series_id,0.04062892091315007,0.04062892091315007,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_protocol,0.005233488496742211,0.005233488496742211,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
cover_mm,0.003221409860998392,0.003221409860998392,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_label_coarse,0.0010439847828820348,0.0010439847828820348,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_coarse,0.00043463894917294965,0.00043463894917294965,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
week,2.297970604558941e-05,2.297970604558941e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
ageing_days,1.4031799764779862e-05,1.4031799764779862e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
nacl_pct,0.4167545437812805,0.4167545437812805,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
n_steel_mesh,0.3015064597129822,0.3015064597129822,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
series_id,0.15431739226914942,0.15431739226914942,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
split_group_treatment,0.07634616688301321,0.07634616688301321,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
treatment_coarse,0.0246614720672369,0.0246614720672369,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
treatment_protocol,0.017516426964903076,0.017516426964903076,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
cover_mm,0.008400297723710537,0.008400297723710537,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
treatment_label_coarse,0.0004672305949497968,0.0004672305949497968,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
week,2.4531689632567577e-05,2.4531689632567577e-05,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
ageing_days,5.483574113895884e-06,5.483574113895884e-06,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
campaign_id,0.0,0.0,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
nacl_pct,0.4129168689250946,0.4129168689250946,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
n_steel_mesh,0.3092353343963623,0.3092353343963623,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
series_id,0.1576539153829799,0.1576539153829799,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
split_group_treatment,0.0674821685288407,0.0674821685288407,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
treatment_coarse,0.021679006964404834,0.021679006964404834,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
treatment_protocol,0.01764171663671732,0.01764171663671732,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
cover_mm,0.009441305883228779,0.009441305883228779,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
campaign_id,0.002813860075548291,0.002813860075548291,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
treatment_label_coarse,0.001095634390367195,0.001095634390367195,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
week,3.6452045605983585e-05,3.6452045605983585e-05,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
ageing_days,3.6117744457442313e-06,3.6117744457442313e-06,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
nacl_pct,0.3577955663204193,0.3577955663204193,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
n_steel_mesh,0.2945389449596405,0.2945389449596405,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
series_id,0.18819057603832334,0.18819057603832334,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
split_group_treatment,0.12040908327617217,0.12040908327617217,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
treatment_protocol,0.013049568889982766,0.013049568889982766,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
treatment_coarse,0.011850377544760704,0.011850377544760704,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
cover_mm,0.010397246107459068,0.010397246107459068,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
treatment_label_coarse,0.003726169875335472,0.003726169875335472,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
week,4.2011499317595735e-05,4.2011499317595735e-05,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
ageing_days,4.3196149590585264e-07,4.3196149590585264e-07,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
campaign_id,0.0,0.0,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
nacl_pct,0.5005569458007812,0.5005569458007812,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
n_steel_mesh,0.2940269410610199,0.2940269410610199,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
series_id,0.11308538586308714,0.11308538586308714,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
split_group_treatment,0.0694730203031213,0.0694730203031213,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
treatment_label_coarse,0.009435451953322627,0.009435451953322627,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
cover_mm,0.006003945134580135,0.006003945134580135,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
treatment_protocol,0.004159031506787869,0.004159031506787869,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
treatment_coarse,0.003216909686670988,0.003216909686670988,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
week,2.358849269512575e-05,2.358849269512575e-05,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
ageing_days,1.8815844669006765e-05,1.8815844669006765e-05,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
campaign_id,0.0,0.0,feature_importance,positive,grouped_cv,0,4,grouped_cv_repeat0_fold4
nacl_pct,0.4080827534198761,0.4080827534198761,feature_importance,positive,grouped_cv,1,0,grouped_cv_repeat1_fold0
