feature,importance,importance_abs,importance_kind,direction
campaign_id,34.06349923053836,34.06349923053836,feature_importance,positive
cover_mm,17.961677347922592,17.961677347922592,feature_importance,positive
n_steel_mesh,13.003594557963867,13.003594557963867,feature_importance,positive
nacl_pct,6.090472716633349,6.090472716633349,feature_importance,positive
treatment_label_coarse,3.023742905225892,3.023742905225892,feature_importance,positive
treatment_protocol,2.3084406042073047,2.3084406042073047,feature_importance,positive
split_group_treatment,1.918454914564263,1.918454914564263,feature_importance,positive
series_id,1.7132144674722458,1.7132144674722458,feature_importance,positive
img_edge_to_center_rust_ratio,1.5770118247984115,1.5770118247984115,feature_importance,positive
img_glcm_homogeneity,1.520875547731904,1.520875547731904,feature_importance,positive
img_glcm_energy,1.4670043950067562,1.4670043950067562,feature_importance,positive
img_strip_peak_location_cm,1.1634401309926867,1.1634401309926867,feature_importance,positive
img_rust_center_of_mass_cm,1.0847171584667887,1.0847171584667887,feature_importance,positive
img_lbp_mean,1.0259539465981324,1.0259539465981324,feature_importance,positive
treatment_coarse,0.9580517922728037,0.9580517922728037,feature_importance,positive
img_gray_hist_bin_2,0.9074502170398582,0.9074502170398582,feature_importance,positive
img_gray_hist_bin_7,0.8452406776640394,0.8452406776640394,feature_importance,positive
img_gray_mask_ratio_pct,0.770230058795988,0.770230058795988,feature_importance,positive
img_rust_blob_largest_ratio_pct,0.7091284651322021,0.7091284651322021,feature_importance,positive
img_r_mean,0.6891855681765755,0.6891855681765755,feature_importance,positive
img_rust_blob_mean_ratio_pct,0.5928821969872179,0.5928821969872179,feature_importance,positive
img_b_std,0.4976963831364944,0.4976963831364944,feature_importance,positive
img_gray_hist_bin_0,0.46354237978265256,0.46354237978265256,feature_importance,positive
img_gray_hist_bin_4,0.4452398544120057,0.4452398544120057,feature_importance,positive
img_glcm_contrast,0.3540256859609927,0.3540256859609927,feature_importance,positive
img_gray_hist_bin_1,0.3475602328825258,0.3475602328825258,feature_importance,positive
img_gray_hist_bin_6,0.3253305334369402,0.3253305334369402,feature_importance,positive
img_contrast,0.2986940252230126,0.2986940252230126,feature_importance,positive
img_strip_rust_mean_pct,0.29839352579605316,0.29839352579605316,feature_importance,positive
img_gray_hist_bin_3,0.28781575651260277,0.28781575651260277,feature_importance,positive
img_strip_rust_p90_pct,0.28747275960243884,0.28747275960243884,feature_importance,positive
img_brightness_p10,0.2773303785622155,0.2773303785622155,feature_importance,positive
img_rust_blob_eccentricity_mean,0.274213520722861,0.274213520722861,feature_importance,positive
img_strip_rust_max_pct,0.2670894155670498,0.2670894155670498,feature_importance,positive
img_strip_high_count,0.21431633922571075,0.21431633922571075,feature_importance,positive
img_b_mean,0.211476102719377,0.211476102719377,feature_importance,positive
img_rust_blob_count,0.2032158520345052,0.2032158520345052,feature_importance,positive
img_brightness_std,0.18439983382931335,0.18439983382931335,feature_importance,positive
img_black_mask_ratio_pct,0.18163662173013806,0.18163662173013806,feature_importance,positive
img_lbp_std,0.15499241373324554,0.15499241373324554,feature_importance,positive
img_r_std,0.15362097329268187,0.15362097329268187,feature_importance,positive
img_gray_hist_bin_5,0.15312095191741096,0.15312095191741096,feature_importance,positive
week,0.13966927501882107,0.13966927501882107,feature_importance,positive
img_strip_rust_std_pct,0.12557859426345166,0.12557859426345166,feature_importance,positive
img_g_mean,0.10478509993798477,0.10478509993798477,feature_importance,positive
img_rust_area_ratio_pct,0.09754976621102673,0.09754976621102673,feature_importance,positive
img_brightness_p90,0.06921470055123359,0.06921470055123359,feature_importance,positive
img_brightness_mean,0.06109368418233259,0.06109368418233259,feature_importance,positive
img_rust_blob_eccentricity_max,0.058158203555448915,0.058158203555448915,feature_importance,positive
ageing_days,0.039328128008060896,0.039328128008060896,feature_importance,positive
img_g_std,0.02917028400022767,0.02917028400022767,feature_importance,positive
img_strip_count,0.0,0.0,feature_importance,positive
