feature,importance,importance_abs,importance_kind,direction,split_name,repeat_id,fold_id,split_id
campaign_id,25.212320299780643,25.212320299780643,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
cover_mm,21.64186736460687,21.64186736460687,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
nacl_pct,13.78876415394584,13.78876415394584,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
n_steel_mesh,10.751098627768926,10.751098627768926,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
split_group_treatment,3.3754285979540186,3.3754285979540186,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_label_coarse,2.3650170319521813,2.3650170319521813,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
series_id,2.18086081908716,2.18086081908716,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_glcm_energy,2.1090250987088948,2.1090250987088948,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_glcm_homogeneity,1.5265944392449127,1.5265944392449127,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_center_of_mass_cm,1.5197434055957695,1.5197434055957695,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_5,1.4116647922245649,1.4116647922245649,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_protocol,1.2075736440690394,1.2075736440690394,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_r_mean,0.9978633972749844,0.9978633972749844,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_peak_location_cm,0.8927265824674093,0.8927265824674093,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_coarse,0.8218119077351915,0.8218119077351915,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_edge_to_center_rust_ratio,0.8183439182779974,0.8183439182779974,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_lbp_mean,0.7943935421329793,0.7943935421329793,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_g_std,0.7497655371957564,0.7497655371957564,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_7,0.6189369443656311,0.6189369443656311,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_mask_ratio_pct,0.49538434843089413,0.49538434843089413,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_blob_mean_ratio_pct,0.49297990672287906,0.49297990672287906,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_2,0.46841263566244934,0.46841263566244934,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_b_std,0.44375415424763653,0.44375415424763653,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_1,0.41544809758214574,0.41544809758214574,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_g_mean,0.38688217929309576,0.38688217929309576,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
