feature,importance,importance_abs,importance_kind,direction
campaign_id,0.37918469518598197,0.37918469518598197,feature_importance,positive
nacl_pct,0.1854609268671029,0.1854609268671029,feature_importance,positive
cover_mm,0.13499841635117668,0.13499841635117668,feature_importance,positive
n_steel_mesh,0.12099792610935958,0.12099792610935958,feature_importance,positive
img_glcm_homogeneity,0.02537366207126923,0.02537366207126923,feature_importance,positive
split_group_treatment,0.020191116582365227,0.020191116582365227,feature_importance,positive
series_id,0.019160526578381763,0.019160526578381763,feature_importance,positive
treatment_label_coarse,0.017360485677023994,0.017360485677023994,feature_importance,positive
img_lbp_mean,0.007719581580044746,0.007719581580044746,feature_importance,positive
img_r_mean,0.007305725194948826,0.007305725194948826,feature_importance,positive
img_b_std,0.00678130493460301,0.00678130493460301,feature_importance,positive
img_rust_blob_largest_ratio_pct,0.006722361547364973,0.006722361547364973,feature_importance,positive
img_rust_center_of_mass_cm,0.006438366155095553,0.006438366155095553,feature_importance,positive
img_edge_to_center_rust_ratio,0.0053735917473928365,0.0053735917473928365,feature_importance,positive
img_strip_rust_max_pct,0.005351523670430623,0.005351523670430623,feature_importance,positive
treatment_protocol,0.00481265532639337,0.00481265532639337,feature_importance,positive
img_strip_peak_location_cm,0.004744191322625905,0.004744191322625905,feature_importance,positive
img_gray_mask_ratio_pct,0.0046501516854922835,0.0046501516854922835,feature_importance,positive
img_glcm_contrast,0.004196291272165729,0.004196291272165729,feature_importance,positive
treatment_coarse,0.004005018860779657,0.004005018860779657,feature_importance,positive
img_glcm_energy,0.0035418164328241243,0.0035418164328241243,feature_importance,positive
img_gray_hist_bin_4,0.0027150473018320346,0.0027150473018320346,feature_importance,positive
img_gray_hist_bin_2,0.0026116997578958952,0.0026116997578958952,feature_importance,positive
img_gray_hist_bin_7,0.0018334020993380155,0.0018334020993380155,feature_importance,positive
img_rust_blob_mean_ratio_pct,0.0015963213446040254,0.0015963213446040254,feature_importance,positive
img_rust_blob_eccentricity_mean,0.0015045842102135477,0.0015045842102135477,feature_importance,positive
img_strip_rust_p90_pct,0.0014161232245896366,0.0014161232245896366,feature_importance,positive
img_gray_hist_bin_0,0.001336249959781839,0.001336249959781839,feature_importance,positive
img_gray_hist_bin_1,0.0012919381346271916,0.0012919381346271916,feature_importance,positive
img_strip_high_count,0.001231660974926115,0.001231660974926115,feature_importance,positive
img_gray_hist_bin_5,0.0011341495011229596,0.0011341495011229596,feature_importance,positive
img_strip_rust_std_pct,0.0009720782077006208,0.0009720782077006208,feature_importance,positive
img_g_std,0.0008852249210623258,0.0008852249210623258,feature_importance,positive
img_gray_hist_bin_3,0.0008484597127589743,0.0008484597127589743,feature_importance,positive
img_lbp_std,0.0006284595348775867,0.0006284595348775867,feature_importance,positive
img_r_std,0.0006061757964397819,0.0006061757964397819,feature_importance,positive
img_rust_area_ratio_pct,0.0005963780935468794,0.0005963780935468794,feature_importance,positive
img_contrast,0.0005960090956037855,0.0005960090956037855,feature_importance,positive
img_brightness_std,0.0005918358001691669,0.0005918358001691669,feature_importance,positive
img_strip_rust_mean_pct,0.0005732654314489159,0.0005732654314489159,feature_importance,positive
img_black_mask_ratio_pct,0.0004405961746614423,0.0004405961746614423,feature_importance,positive
img_rust_blob_count,0.00042195128096248976,0.00042195128096248976,feature_importance,positive
img_gray_hist_bin_6,0.0003970000360683183,0.0003970000360683183,feature_importance,positive
img_g_mean,0.0002745094025432663,0.0002745094025432663,feature_importance,positive
img_brightness_p90,0.00027260918459004636,0.00027260918459004636,feature_importance,positive
img_brightness_p10,0.00024688087889047943,0.00024688087889047943,feature_importance,positive
img_brightness_mean,0.0001981791418386633,0.0001981791418386633,feature_importance,positive
img_b_mean,0.00017761258101960722,0.00017761258101960722,feature_importance,positive
ageing_days,0.00011476778826091958,0.00011476778826091958,feature_importance,positive
week,7.985895184944291e-05,7.985895184944291e-05,feature_importance,positive
img_rust_blob_eccentricity_max,3.66363239530766e-05,3.66363239530766e-05,feature_importance,positive
img_strip_count,0.0,0.0,feature_importance,positive
