feature,importance,importance_abs,importance_kind,direction,split_name,repeat_id,fold_id,split_id
n_steel_mesh,0.5682669878005981,0.5682669878005981,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
nacl_pct,0.12772174179553986,0.12772174179553986,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
series_id,0.12327341052150587,0.12327341052150587,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
split_group_treatment,0.07703938777194708,0.07703938777194708,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_protocol,0.02467029308900237,0.02467029308900237,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_2,0.011832436546683311,0.011832436546683311,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
cover_mm,0.010126149281859398,0.010126149281859398,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_glcm_homogeneity,0.007063780911266804,0.007063780911266804,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_r_mean,0.006557278800755739,0.006557278800755739,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_center_of_mass_cm,0.006089495960623026,0.006089495960623026,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_max_pct,0.004117890726774931,0.004117890726774931,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_brightness_std,0.0035842363722622395,0.0035842363722622395,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_4,0.002153255045413971,0.002153255045413971,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_lbp_mean,0.0020680399611592293,0.0020680399611592293,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_edge_to_center_rust_ratio,0.0018336951034143567,0.0018336951034143567,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_mean_pct,0.0017554995138198137,0.0017554995138198137,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_peak_location_cm,0.0017022796673700213,0.0017022796673700213,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_label_coarse,0.0015872318181209266,0.0015872318181209266,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_b_std,0.001462527085095644,0.001462527085095644,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_mask_ratio_pct,0.0014514600625261664,0.0014514600625261664,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_glcm_contrast,0.0014315384905785322,0.0014315384905785322,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_g_mean,0.0013504563830792904,0.0013504563830792904,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_6,0.0011493362253531814,0.0011493362253531814,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_0,0.0010156867792829871,0.0010156867792829871,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_5,0.000991945038549602,0.000991945038549602,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_3,0.0009502149187028408,0.0009502149187028408,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_blob_mean_ratio_pct,0.0009371095802634954,0.0009371095802634954,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_blob_count,0.0008949434850364923,0.0008949434850364923,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_coarse,0.0008086776942946017,0.0008086776942946017,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_blob_eccentricity_mean,0.000691382447257638,0.000691382447257638,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_g_std,0.0005748270195908844,0.0005748270195908844,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_brightness_mean,0.00050404854118824,0.00050404854118824,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_r_std,0.00048585841432213783,0.00048585841432213783,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_lbp_std,0.00047487093252129853,0.00047487093252129853,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_area_ratio_pct,0.00044640054693445563,0.00044640054693445563,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_1,0.00041847731336019933,0.00041847731336019933,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_blob_largest_ratio_pct,0.000377419259166345,0.000377419259166345,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_p90_pct,0.0003498147416394204,0.0003498147416394204,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_b_mean,0.00033949868520721793,0.00033949868520721793,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_glcm_energy,0.0002741949865594506,0.0002741949865594506,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_brightness_p10,0.000244617200223729,0.000244617200223729,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_blob_eccentricity_max,0.00016632801271043718,0.00016632801271043718,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_7,0.00015392542991321534,0.00015392542991321534,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
week,0.00014842741074971855,0.00014842741074971855,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_brightness_p90,0.00013882368511985987,0.00013882368511985987,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_std_pct,0.00013216305524110794,0.00013216305524110794,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_black_mask_ratio_pct,6.129904795670882e-05,6.129904795670882e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_contrast,5.064220749773085e-05,5.064220749773085e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
ageing_days,4.0458467992721125e-05,4.0458467992721125e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_high_count,3.970853867940605e-05,3.970853867940605e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_count,0.0,0.0,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
campaign_id,0.0,0.0,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
n_steel_mesh,0.5064586400985718,0.5064586400985718,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
series_id,0.18424942926503718,0.18424942926503718,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
split_group_treatment,0.1027462502970593,0.1027462502970593,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
treatment_label_coarse,0.05145689379423857,0.05145689379423857,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
nacl_pct,0.03768516704440117,0.03768516704440117,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
treatment_protocol,0.015517998494033236,0.015517998494033236,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
cover_mm,0.009711148217320442,0.009711148217320442,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_r_mean,0.009257585741579533,0.009257585741579533,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_strip_rust_std_pct,0.00615040585398674,0.00615040585398674,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_strip_high_count,0.00600206945091486,0.00600206945091486,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_rust_blob_largest_ratio_pct,0.005912483669817448,0.005912483669817448,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_lbp_mean,0.005646917968988419,0.005646917968988419,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_strip_rust_max_pct,0.005598319228738546,0.005598319228738546,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_glcm_energy,0.005556148011237383,0.005556148011237383,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_g_std,0.005434530321508646,0.005434530321508646,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_gray_hist_bin_2,0.004795617423951626,0.004795617423951626,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_brightness_p90,0.004462721757590771,0.004462721757590771,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_glcm_homogeneity,0.004253457300364971,0.004253457300364971,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
treatment_coarse,0.004023396410048008,0.004023396410048008,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_b_std,0.003028326202183962,0.003028326202183962,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_rust_center_of_mass_cm,0.0029724312480539083,0.0029724312480539083,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_gray_mask_ratio_pct,0.0027763452380895615,0.0027763452380895615,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_edge_to_center_rust_ratio,0.002685207175090909,0.002685207175090909,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_strip_peak_location_cm,0.002133108675479889,0.002133108675479889,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_rust_blob_eccentricity_mean,0.0015426705358549953,0.0015426705358549953,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_gray_hist_bin_1,0.0012010587379336357,0.0012010587379336357,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_gray_hist_bin_7,0.0009235581965185702,0.0009235581965185702,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_brightness_std,0.00079062842996791,0.00079062842996791,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_gray_hist_bin_4,0.0007713640807196498,0.0007713640807196498,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_gray_hist_bin_3,0.0006949281669221818,0.0006949281669221818,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_rust_blob_count,0.0006795294466428459,0.0006795294466428459,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_gray_hist_bin_5,0.0005067132296971977,0.0005067132296971977,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_lbp_std,0.00045197264989838004,0.00045197264989838004,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_rust_area_ratio_pct,0.0004421647172421217,0.0004421647172421217,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_contrast,0.0004407359811011702,0.0004407359811011702,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_glcm_contrast,0.0003948667726945132,0.0003948667726945132,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_strip_rust_p90_pct,0.00038782693445682526,0.00038782693445682526,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_brightness_p10,0.00033933043596334755,0.00033933043596334755,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_rust_blob_mean_ratio_pct,0.00027718485216610134,0.00027718485216610134,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_gray_hist_bin_6,0.000229352037422359,0.000229352037422359,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
week,0.00019526443793438375,0.00019526443793438375,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_gray_hist_bin_0,0.000178249814780429,0.000178249814780429,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_r_std,0.0001773567928466946,0.0001773567928466946,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_black_mask_ratio_pct,0.00017549771291669458,0.00017549771291669458,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_strip_rust_mean_pct,0.00015806553710717708,0.00015806553710717708,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_b_mean,0.0001538037322461605,0.0001538037322461605,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_g_mean,0.00012484735634643584,0.00012484735634643584,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
ageing_days,0.00010645011207088828,0.00010645011207088828,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_brightness_mean,8.439522207481787e-05,8.439522207481787e-05,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_rust_blob_eccentricity_max,5.7612585806054994e-05,5.7612585806054994e-05,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_strip_count,0.0,0.0,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
campaign_id,0.0,0.0,feature_importance,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
n_steel_mesh,0.6648138165473938,0.6648138165473938,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
series_id,0.11833467082760762,0.11833467082760762,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_glcm_homogeneity,0.03370639309287071,0.03370639309287071,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
treatment_protocol,0.03271050319017377,0.03271050319017377,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
split_group_treatment,0.029008173652982805,0.029008173652982805,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
nacl_pct,0.027905775234103203,0.027905775234103203,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
cover_mm,0.01148135308176279,0.01148135308176279,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
treatment_label_coarse,0.010672992502804846,0.010672992502804846,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
treatment_coarse,0.010183089827478398,0.010183089827478398,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_glcm_contrast,0.006193902809172869,0.006193902809172869,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_strip_high_count,0.005993291735649109,0.005993291735649109,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_lbp_mean,0.005737680941820145,0.005737680941820145,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_gray_hist_bin_2,0.004914021119475365,0.004914021119475365,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_strip_rust_max_pct,0.003584573045372963,0.003584573045372963,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_strip_rust_std_pct,0.003506795968860388,0.003506795968860388,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_rust_blob_largest_ratio_pct,0.0034244961570948362,0.0034244961570948362,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_strip_peak_location_cm,0.003414395498111844,0.003414395498111844,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_b_std,0.003293254179880023,0.003293254179880023,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_edge_to_center_rust_ratio,0.002890228061005473,0.002890228061005473,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_gray_mask_ratio_pct,0.002658143173903227,0.002658143173903227,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_glcm_energy,0.0017629142384976149,0.0017629142384976149,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_strip_rust_mean_pct,0.0014676114078611135,0.0014676114078611135,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_rust_center_of_mass_cm,0.0013568283757194877,0.0013568283757194877,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_lbp_std,0.0012156006414443254,0.0012156006414443254,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_rust_blob_count,0.001166030764579773,0.001166030764579773,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_rust_blob_eccentricity_mean,0.0011352680157870054,0.0011352680157870054,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_gray_hist_bin_1,0.0009252448217011988,0.0009252448217011988,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_gray_hist_bin_4,0.0008556999382562935,0.0008556999382562935,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_r_std,0.0007206260343082249,0.0007206260343082249,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_gray_hist_bin_5,0.0005662554758600891,0.0005662554758600891,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_rust_blob_mean_ratio_pct,0.0005357476184144616,0.0005357476184144616,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_gray_hist_bin_3,0.0003812198410741985,0.0003812198410741985,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_gray_hist_bin_6,0.0003573447174858302,0.0003573447174858302,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_r_mean,0.0003160566557198763,0.0003160566557198763,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_g_std,0.0002968919579870999,0.0002968919579870999,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_strip_rust_p90_pct,0.00029435456963256,0.00029435456963256,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_black_mask_ratio_pct,0.0002887451555579901,0.0002887451555579901,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_rust_area_ratio_pct,0.0002728203544393182,0.0002728203544393182,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_gray_hist_bin_7,0.00024180383479688317,0.00024180383479688317,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_brightness_p90,0.00023636355763301253,0.00023636355763301253,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_g_mean,0.00022880296455696225,0.00022880296455696225,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_brightness_p10,0.0001497334596933797,0.0001497334596933797,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_brightness_std,0.00014109822222962976,0.00014109822222962976,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_brightness_mean,0.00012614252045750618,0.00012614252045750618,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
campaign_id,0.00012372052879072726,0.00012372052879072726,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_gray_hist_bin_0,0.00010989349539158866,0.00010989349539158866,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_b_mean,9.067193605005741e-05,9.067193605005741e-05,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_contrast,6.971175025682896e-05,6.971175025682896e-05,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
week,6.651398871326819e-05,6.651398871326819e-05,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
ageing_days,4.881894710706547e-05,4.881894710706547e-05,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_rust_blob_eccentricity_max,2.378299723204691e-05,2.378299723204691e-05,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_strip_count,0.0,0.0,feature_importance,positive,grouped_cv,0,2,grouped_cv_repeat0_fold2
n_steel_mesh,0.610521137714386,0.610521137714386,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
split_group_treatment,0.08074951772869099,0.08074951772869099,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
series_id,0.06986814015544951,0.06986814015544951,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_r_mean,0.06728379428386688,0.06728379428386688,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
nacl_pct,0.01588408462703228,0.01588408462703228,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_glcm_homogeneity,0.01531445886939764,0.01531445886939764,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
treatment_protocol,0.013045224215602502,0.013045224215602502,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_gray_hist_bin_7,0.01268001925200224,0.01268001925200224,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
treatment_label_coarse,0.011844440188724548,0.011844440188724548,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
cover_mm,0.010370819829404354,0.010370819829404354,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_edge_to_center_rust_ratio,0.010316086001694202,0.010316086001694202,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_gray_hist_bin_2,0.009874695912003517,0.009874695912003517,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_b_std,0.008396304212510586,0.008396304212510586,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_brightness_p90,0.008273126557469368,0.008273126557469368,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_rust_blob_largest_ratio_pct,0.006889292970299721,0.006889292970299721,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_strip_rust_max_pct,0.006181266624480486,0.006181266624480486,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_g_mean,0.006137441843748093,0.006137441843748093,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_gray_hist_bin_3,0.005180241074413061,0.005180241074413061,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_glcm_energy,0.0032947680447250605,0.0032947680447250605,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_lbp_mean,0.003257672768086195,0.003257672768086195,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_rust_center_of_mass_cm,0.0031231746543198824,0.0031231746543198824,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
treatment_coarse,0.0021908674243604764,0.0021908674243604764,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_glcm_contrast,0.001724342117086053,0.001724342117086053,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_strip_rust_std_pct,0.0015405019512400031,0.0015405019512400031,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_gray_hist_bin_5,0.0013033704599365592,0.0013033704599365592,feature_importance,positive,grouped_cv,0,3,grouped_cv_repeat0_fold3
