split_name,repeat_id,fold_id,split_id,n_train_rows,n_test_rows,n_train_terminal_rows,n_test_terminal_rows,train_specimens,test_specimens,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,train_spearman,test_spearman
grouped_cv,0,0,grouped_cv_repeat0_fold0,626,165,38,10,38,10,0.005165930170761911,0.27110413026809693,0.006995248769956237,0.3315188471516652,0.9995906616746,0.5215625118983043,0.9990149400253648,0.6322217654272672
grouped_cv,0,1,grouped_cv_repeat0_fold1,626,165,38,10,38,10,0.007812722482179317,0.1384376606941223,0.010915130134668686,0.22408918434334651,0.999229317694214,0.5028171746847423,0.9986865687292023,0.8632258720256917
grouped_cv,0,2,grouped_cv_repeat0_fold2,627,164,38,10,38,10,0.007794557998054917,0.2142369217872619,0.010105025198504543,0.2766334442796941,0.9992603067076744,0.5358709463549672,0.9983581974330396,0.8060606060606059
grouped_cv,0,3,grouped_cv_repeat0_fold3,641,150,39,9,39,9,0.009641169645847426,0.1036605193879869,0.013723908567048122,0.13199618757428705,0.9987492872313077,0.8423980438807032,0.9976714037200589,0.9333333333333332
grouped_cv,0,4,grouped_cv_repeat0_fold4,644,147,39,9,39,9,0.008665009278517507,0.2599290376239353,0.011046855422413366,0.3007950067208517,0.9992114426107572,0.055800391465385735,0.9992913288732475,0.6945667492672501
grouped_cv,1,0,grouped_cv_repeat1_fold0,626,165,38,10,38,10,0.009510128498077407,0.13822390604019164,0.012749098787126106,0.1684220239095012,0.9987570825272758,0.8477697377974595,0.9993980263869313,0.9757575757575757
grouped_cv,1,1,grouped_cv_repeat1_fold1,627,164,38,10,38,10,0.0068697327061703175,0.3115083618164063,0.00887608664817522,0.3684876434016662,0.9994814447744718,-0.29091062651841937,0.9995075074553992,0.4573255749893281
grouped_cv,1,2,grouped_cv_repeat1_fold2,626,165,38,10,38,10,0.0078387707158139,0.15337077331542964,0.011104030995874975,0.20793758014110283,0.9991427049937861,0.6905844581408638,0.9981394569862073,0.7696969696969697
grouped_cv,1,3,grouped_cv_repeat1_fold3,641,150,39,9,39,9,0.008733825316795936,0.18378465069664845,0.011487876242008012,0.21525405915673868,0.9990839090695295,0.6740590981310965,0.9982283286069443,0.7999999999999999
grouped_cv,1,4,grouped_cv_repeat1_fold4,644,147,39,9,39,9,0.00666836481827955,0.16623564031389018,0.008899764427683834,0.18462144115999612,0.9994599531451175,0.7270767893025399,0.9984812483611107,0.8499999999999999
