feature,feature_value,feature_value_label,prediction_mean,feature_kind
n_steel_mesh,4.0,4,1.9016900371510521,numeric
n_steel_mesh,7.0,7,2.3727320093572066,numeric
treatment_label_coarse,D,D,2.146962477494733,categorical
treatment_label_coarse,G,G,2.1689098826250444,categorical
treatment_label_coarse,MI,MI,2.146962477494733,categorical
treatment_label_coarse,SA,SA,2.147151879655426,categorical
treatment_label_coarse,VF,VF,2.1461332664176274,categorical
nacl_pct,3.5,3.5,2.152542838706681,numeric
nacl_pct,5.0,5,2.151103465204444,numeric
img_glcm_homogeneity,0.36362532927367375,0.3636,2.1287577584781476,numeric
img_glcm_homogeneity,0.41574293131292456,0.4157,2.128740684271763,numeric
img_glcm_homogeneity,0.4520989685255147,0.4521,2.1300011365362423,numeric
img_glcm_homogeneity,0.49034988491778764,0.4903,2.1336938721491623,numeric
img_glcm_homogeneity,0.5312206109757422,0.5312,2.1335216784748505,numeric
img_glcm_homogeneity,0.5910961054464148,0.5911,2.1353902150647226,numeric
img_glcm_homogeneity,0.7427860702347068,0.7428,2.183251241365667,numeric
img_glcm_homogeneity,0.9663967144858705,0.9664,2.2055149611872156,numeric
