feature,importance_kind,importance,importance_abs
campaign_id,feature_importance,28.712827194080894,28.712827194080894
cover_mm,feature_importance,16.551661530578023,16.551661530578023
nacl_pct,feature_importance,13.636361028119518,13.636361028119518
n_steel_mesh,feature_importance,11.221770564086658,11.221770564086658
treatment_label_coarse,feature_importance,2.718783686045561,2.718783686045561
treatment_protocol,feature_importance,1.8742437253140891,1.8742437253140891
split_group_treatment,feature_importance,1.7986406063567153,1.7986406063567153
series_id,feature_importance,1.4623584629620807,1.4623584629620807
img_edge_to_center_rust_ratio,feature_importance,1.2976175660918452,1.2976175660918452
img_rust_center_of_mass_cm,feature_importance,1.1658924739223666,1.1658924739223666
treatment_coarse,feature_importance,1.1249151172532668,1.1249151172532668
img_hsv_s_std,feature_importance,1.0455414664633356,1.0455414664633356
img_strip_peak_location_cm,feature_importance,0.9828150324864998,0.9828150324864998
img_glcm_homogeneity,feature_importance,0.8862503876145642,0.8862503876145642
img_lbp_mean,feature_importance,0.753251227549019,0.753251227549019
img_hsv_v_hist_bin_7,feature_importance,0.647692209358729,0.647692209358729
img_gray_hist_bin_7,feature_importance,0.6226387802208352,0.6226387802208352
img_strip_high_count,feature_importance,0.5344709361236806,0.5344709361236806
img_glcm_energy,feature_importance,0.5344706012393613,0.5344706012393613
img_gray_hist_bin_5,feature_importance,0.4795132444472747,0.4795132444472747
img_hsv_v_hist_bin_3,feature_importance,0.44387538579418767,0.44387538579418767
img_glcm_contrast,feature_importance,0.4121437513963221,0.4121437513963221
img_hsv_v_hist_bin_1,feature_importance,0.40273167117324943,0.40273167117324943
img_hsv_v_mean,feature_importance,0.4022291091878548,0.4022291091878548
img_hsv_s_hist_bin_7,feature_importance,0.39367296364842935,0.39367296364842935
img_rust_blob_largest_ratio_pct,feature_importance,0.3810062852346883,0.3810062852346883
img_gray_mask_ratio_pct,feature_importance,0.35656913758039654,0.35656913758039654
img_hsv_v_p10,feature_importance,0.35496395336682013,0.35496395336682013
img_b_std,feature_importance,0.3481828072852175,0.3481828072852175
img_hsv_v_hist_bin_2,feature_importance,0.3422515678038501,0.3422515678038501
img_hsv_v_hist_bin_5,feature_importance,0.34184177719431796,0.34184177719431796
img_gray_hist_bin_2,feature_importance,0.30328266972348833,0.30328266972348833
img_rust_blob_eccentricity_mean,feature_importance,0.2963692451976514,0.2963692451976514
img_hsv_v_hist_bin_0,feature_importance,0.2903658949868844,0.2903658949868844
img_gray_hist_bin_0,feature_importance,0.2885442591974294,0.2885442591974294
img_gray_hist_bin_1,feature_importance,0.2770305954570783,0.2770305954570783
img_hsv_v_hist_bin_6,feature_importance,0.2715023249996289,0.2715023249996289
img_r_mean,feature_importance,0.26657009276786015,0.26657009276786015
img_hsv_s_hist_bin_5,feature_importance,0.2627661963260196,0.2627661963260196
img_g_mean,feature_importance,0.2624550454756974,0.2624550454756974
img_rust_blob_mean_ratio_pct,feature_importance,0.23023179661202747,0.23023179661202747
img_hsv_v_hist_bin_4,feature_importance,0.2233257294638174,0.2233257294638174
img_gray_hist_bin_6,feature_importance,0.20642486827295606,0.20642486827295606
img_contrast,feature_importance,0.18704368520987816,0.18704368520987816
img_gray_hist_bin_4,feature_importance,0.18687314225237048,0.18687314225237048
img_hsv_s_p90,feature_importance,0.1859504220732221,0.1859504220732221
img_hsv_s_hist_bin_4,feature_importance,0.1706935480685959,0.1706935480685959
img_brightness_mean,feature_importance,0.16749181091032733,0.16749181091032733
img_hsv_s_hist_bin_2,feature_importance,0.14883302776401294,0.14883302776401294
img_strip_rust_mean_pct,feature_importance,0.14880249181909605,0.14880249181909605
img_brightness_p10,feature_importance,0.1454114305382229,0.1454114305382229
img_hsv_h_p10,feature_importance,0.1449281537143588,0.1449281537143588
img_strip_rust_max_pct,feature_importance,0.14265217180177914,0.14265217180177914
img_hsv_h_p90,feature_importance,0.1420670691146272,0.1420670691146272
img_strip_rust_p90_pct,feature_importance,0.14157705389332956,0.14157705389332956
img_hsv_h_hist_bin_7,feature_importance,0.1372007926371578,0.1372007926371578
img_rust_area_ratio_pct,feature_importance,0.13241621403617562,0.13241621403617562
img_lbp_std,feature_importance,0.13090635019639166,0.13090635019639166
img_hsv_h_hist_bin_0,feature_importance,0.12161392621827431,0.12161392621827431
img_rust_blob_count,feature_importance,0.12047437988860285,0.12047437988860285
img_brightness_std,feature_importance,0.11795959320691221,0.11795959320691221
img_black_mask_ratio_pct,feature_importance,0.11672585564815581,0.11672585564815581
img_strip_rust_std_pct,feature_importance,0.11546393235310329,0.11546393235310329
img_hsv_s_hist_bin_1,feature_importance,0.11248236162977499,0.11248236162977499
ageing_days,feature_importance,0.11147678677107062,0.11147678677107062
img_hsv_s_p10,feature_importance,0.10877291177918746,0.10877291177918746
img_hsv_s_mean,feature_importance,0.10504918563756331,0.10504918563756331
img_hsv_s_hist_bin_6,feature_importance,0.10161037487651903,0.10161037487651903
img_hsv_s_hist_bin_0,feature_importance,0.09495855627134256,0.09495855627134256
img_g_std,feature_importance,0.09433367349872081,0.09433367349872081
img_hsv_h_hist_bin_2,feature_importance,0.08903932972986932,0.08903932972986932
img_hsv_h_std,feature_importance,0.08896119775719522,0.08896119775719522
img_hsv_v_std,feature_importance,0.0855703977954658,0.0855703977954658
img_r_std,feature_importance,0.08475201508785188,0.08475201508785188
img_gray_hist_bin_3,feature_importance,0.08083584879172967,0.08083584879172967
img_hsv_s_hist_bin_3,feature_importance,0.07560619019317709,0.07560619019317709
img_b_mean,feature_importance,0.07366186960267372,0.07366186960267372
img_hsv_h_mean,feature_importance,0.07107983986117658,0.07107983986117658
img_hsv_v_p90,feature_importance,0.06754968077665416,0.06754968077665416
img_brightness_p90,feature_importance,0.05652055344552422,0.05652055344552422
img_hsv_h_hist_bin_1,feature_importance,0.05262724988050629,0.05262724988050629
img_rust_blob_eccentricity_max,feature_importance,0.03899296103260887,0.03899296103260887
week,feature_importance,0.03495101238676732,0.03495101238676732
img_hsv_h_hist_bin_3,feature_importance,0.01945371474657149,0.01945371474657149
img_hsv_h_hist_bin_6,feature_importance,0.016444385393351375,0.016444385393351375
img_hsv_h_hist_bin_5,feature_importance,0.014333612307547806,0.014333612307547806
img_hsv_h_hist_bin_4,feature_importance,0.005798270942352553,0.005798270942352553
img_strip_count,feature_importance,0.0,0.0
