feature,importance,importance_abs,importance_kind,direction,split_name,repeat_id,fold_id,split_id
campaign_id,24.43793243984708,24.43793243984708,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
cover_mm,20.4340611145164,20.4340611145164,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
n_steel_mesh,16.234652809182222,16.234652809182222,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
nacl_pct,10.68930284815123,10.68930284815123,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
split_group_treatment,1.925472704459707,1.925472704459707,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
series_id,1.7625090473589768,1.7625090473589768,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_7,1.7576716098259317,1.7576716098259317,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_label_coarse,1.6136014138566863,1.6136014138566863,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_5,1.1424199459862505,1.1424199459862505,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_p10,1.114216066369429,1.114216066369429,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_protocol,1.0892154118792883,1.0892154118792883,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_peak_location_cm,1.067908877033731,1.067908877033731,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_6,1.060161792001216,1.060161792001216,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_coarse,0.8923986532412899,0.8923986532412899,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_center_of_mass_cm,0.8651541476773101,0.8651541476773101,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_mean,0.846582614784371,0.846582614784371,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_7,0.8169582678974411,0.8169582678974411,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_edge_to_center_rust_ratio,0.7310571000183141,0.7310571000183141,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_b_std,0.6373692968815068,0.6373692968815068,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_glcm_homogeneity,0.5528486358097748,0.5528486358097748,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_std,0.46510634710296245,0.46510634710296245,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
