feature,importance,importance_abs,importance_kind,direction,split_name,repeat_id,fold_id,split_id
campaign_id,0.2850056052608064,0.2850056052608064,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
nacl_pct,0.21819945451053668,0.21819945451053668,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
n_steel_mesh,0.1670217735234755,0.1670217735234755,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
cover_mm,0.15642407111241244,0.15642407111241244,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_7,0.028465323478576485,0.028465323478576485,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_glcm_homogeneity,0.023455453768180055,0.023455453768180055,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_protocol,0.021764751459689435,0.021764751459689435,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
series_id,0.020092047904071215,0.020092047904071215,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_label_coarse,0.01420101811241885,0.01420101811241885,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
split_group_treatment,0.011404261032338743,0.011404261032338743,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_center_of_mass_cm,0.010716859919014037,0.010716859919014037,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_coarse,0.007400740099279368,0.007400740099279368,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_std,0.007035909765698004,0.007035909765698004,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_peak_location_cm,0.003502043618589455,0.003502043618589455,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_edge_to_center_rust_ratio,0.0033419616376659527,0.0033419616376659527,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_6,0.002409961357056775,0.002409961357056775,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_2,0.0020418638483246784,0.0020418638483246784,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_mask_ratio_pct,0.001969907686291546,0.001969907686291546,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_3,0.0016025589963321377,0.0016025589963321377,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_4,0.0012228879606276872,0.0012228879606276872,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_contrast,0.0011926131251349312,0.0011926131251349312,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_6,0.0011390242178057352,0.0011390242178057352,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_4,0.0011082945507376067,0.0011082945507376067,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_g_std,0.001055557919712323,0.001055557919712323,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_brightness_std,0.0008284480439417166,0.0008284480439417166,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_p10,0.0008215502097735871,0.0008215502097735871,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_2,0.0007010950867839114,0.0007010950867839114,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_blob_eccentricity_mean,0.0006590009926401837,0.0006590009926401837,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_5,0.0004997621769201933,0.0004997621769201933,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_max_pct,0.0004069022186797672,0.0004069022186797672,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_p10,0.0003500390855366985,0.0003500390855366985,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_b_std,0.0003262392960337264,0.0003262392960337264,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_5,0.0002941355529953813,0.0002941355529953813,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_lbp_std,0.0002656008569377603,0.0002656008569377603,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_glcm_energy,0.00024630767714471717,0.00024630767714471717,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_lbp_mean,0.00023626749649283298,0.00023626749649283298,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_p90_pct,0.00021078464902663492,0.00021078464902663492,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_0,0.00019697150767167574,0.00019697150767167574,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_7,0.00018896852751607035,0.00018896852751607035,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_4,0.00015624477981292297,0.00015624477981292297,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_3,0.0001471205892456593,0.0001471205892456593,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_mean,0.00014048744732899607,0.00014048744732899607,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_p10,0.00013477823230515472,0.00013477823230515472,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_7,0.00012724518286690492,0.00012724518286690492,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_5,0.00012275291716094854,0.00012275291716094854,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_blob_mean_ratio_pct,9.546487666593821e-05,9.546487666593821e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_glcm_contrast,9.266345261775102e-05,9.266345261775102e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_std_pct,8.811046466228923e-05,8.811046466228923e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_blob_count,7.769702922418983e-05,7.769702922418983e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_2,6.603939769956524e-05,6.603939769956524e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_1,6.318943451364991e-05,6.318943451364991e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_0,5.9746507451835604e-05,5.9746507451835604e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_mean,5.902049256255132e-05,5.902049256255132e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_area_ratio_pct,5.2672017639775586e-05,5.2672017639775586e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_0,5.153108820245021e-05,5.153108820245021e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_6,4.914867329846133e-05,4.914867329846133e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_7,4.8846769474416394e-05,4.8846769474416394e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_2,4.761259345228571e-05,4.761259345228571e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_6,3.444897658562706e-05,3.444897658562706e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_brightness_p10,3.0148393326374963e-05,3.0148393326374963e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_r_mean,3.010235222728099e-05,3.010235222728099e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_blob_eccentricity_max,2.5974636105388638e-05,2.5974636105388638e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_3,2.5158399179173486e-05,2.5158399179173486e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_1,2.3843601105110174e-05,2.3843601105110174e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
week,2.085994454845925e-05,2.085994454845925e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_p90,2.0589899196217677e-05,2.0589899196217677e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_std,2.0005271321795413e-05,2.0005271321795413e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_std,1.9591246444959915e-05,1.9591246444959915e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_b_mean,1.4508138014732723e-05,1.4508138014732723e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
ageing_days,1.0653257091259302e-05,1.0653257091259302e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_g_mean,1.0033523402053503e-05,1.0033523402053503e-05,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_mean,8.800828365238944e-06,8.800828365238944e-06,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_1,8.679574305102624e-06,8.679574305102624e-06,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_p90,5.7083153092578415e-06,5.7083153092578415e-06,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_high_count,2.621530831170837e-06,2.621530831170837e-06,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_blob_largest_ratio_pct,1.6785154851911928e-06,1.6785154851911928e-06,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_r_std,1.257281244739157e-07,1.257281244739157e-07,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_brightness_mean,7.755227497117676e-08,7.755227497117676e-08,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_0,1.2769937646654156e-10,1.2769937646654156e-10,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_mean_pct,0.0,0.0,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_3,0.0,0.0,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_5,0.0,0.0,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_1,0.0,0.0,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
