feature,feature_value,feature_value_label,prediction_mean,feature_kind
campaign_id,campaign_1,campaign_1,2.2558329790571943,categorical
campaign_id,campaign_2,campaign_2,2.043880593926326,categorical
nacl_pct,3.5,3.5,2.2296675274408377,numeric
nacl_pct,5.0,5,2.070911232649855,numeric
n_steel_mesh,4.0,4,2.0941386814458864,numeric
n_steel_mesh,7.0,7,2.2078704860825975,numeric
cover_mm,2.343,2.343,2.1897301897118315,numeric
cover_mm,3.5439285714285713,3.544,2.2049474293871847,numeric
cover_mm,3.766142857142857,3.766,2.2072589456682365,numeric
cover_mm,4.344785714285714,4.345,2.1453409250376043,numeric
cover_mm,4.585214285714286,4.585,2.1504650094963123,numeric
cover_mm,5.694642857142857,5.695,2.0617533242355868,numeric
cover_mm,6.394285714285714,6.394,1.9443005563270377,numeric
cover_mm,7.257499999999999,7.257,2.0990618377392947,numeric
img_hsv_s_std,0.018109871353954077,0.01811,2.1384762119246705,numeric
img_hsv_s_std,0.0332222543656826,0.03322,2.1374564200828168,numeric
img_hsv_s_std,0.04393086233841521,0.04393,2.139978706539329,numeric
img_hsv_s_std,0.058564581988113255,0.05856,2.139978706539329,numeric
img_hsv_s_std,0.07988096704440459,0.07988,2.139978706539329,numeric
img_hsv_s_std,0.10377469664173467,0.1038,2.139917586531296,numeric
img_hsv_s_std,0.14047441578337122,0.1405,2.139917586531296,numeric
img_hsv_s_std,0.19303168877959248,0.193,2.2178359220902357,numeric
img_hsv_v_hist_bin_7,0.03208812915479584,0.03209,2.142119677745906,numeric
img_hsv_v_hist_bin_7,0.3232984863461049,0.3233,2.142119677745906,numeric
img_hsv_v_hist_bin_7,1.0309475667189945,1.031,2.142119677745906,numeric
img_hsv_v_hist_bin_7,2.201577114948542,2.202,2.142119677745906,numeric
img_hsv_v_hist_bin_7,3.5187423764947567,3.519,2.142119677745906,numeric
img_hsv_v_hist_bin_7,5.206014489214489,5.206,2.142119677745906,numeric
img_hsv_v_hist_bin_7,7.163626412388316,7.164,2.1993406358610748,numeric
img_hsv_v_hist_bin_7,7.987224311490978,7.987,2.193706706012427,numeric
