split_name,repeat_id,fold_id,split_id,n_train_rows,n_test_rows,n_train_terminal_rows,n_test_terminal_rows,train_specimens,test_specimens,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,train_spearman,test_spearman
grouped_cv,0,0,grouped_cv_repeat0_fold0,626,165,38,10,38,10,0.051032267723779126,0.3375468676442363,0.06251092676834633,0.3868370060177184,0.9673120295788911,0.3485744605306017,0.9777802628735164,0.7112494861056755
grouped_cv,0,1,grouped_cv_repeat0_fold1,626,165,38,10,38,10,0.055786577872026004,0.23396081082693257,0.07053127318366996,0.27770867714489766,0.9678203734848494,0.2364223189714061,0.9795315764530502,0.49848254581765294
grouped_cv,0,2,grouped_cv_repeat0_fold2,627,164,38,10,38,10,0.047315535839146654,0.256500445697899,0.05943570940290454,0.2868142523961382,0.9744099119565447,0.5010800797086645,0.9765762347875869,0.709090909090909
grouped_cv,0,3,grouped_cv_repeat0_fold3,641,150,39,9,39,9,0.0597867006840991,0.12939343824539062,0.0710002748537736,0.14049704969452068,0.9665248900949204,0.8214444979337957,0.9708413933703719,0.9
grouped_cv,0,4,grouped_cv_repeat0_fold4,644,147,39,9,39,9,0.05439486249894234,0.20549216333395484,0.06490416323100892,0.26429990801097736,0.9727791880195799,0.2710183525286022,0.9835983039517325,0.6025157343041205
grouped_cv,1,0,grouped_cv_repeat1_fold0,626,165,38,10,38,10,0.06953483814886707,0.2506566867558911,0.08154190803450956,0.31719044721389394,0.9491553737008713,0.46006257618629764,0.9650266156218168,0.6727272727272726
grouped_cv,1,1,grouped_cv_repeat1_fold1,627,164,38,10,38,10,0.055440487484800696,0.2745536513669529,0.06817026544676048,0.3436643600212527,0.969412645328384,-0.12284370578051007,0.9886718478804885,0.2500046476608327
grouped_cv,1,2,grouped_cv_repeat1_fold2,626,165,38,10,38,10,0.05929066805898797,0.1858348036924128,0.07041944599735747,0.23509572310306148,0.9655210389124996,0.6044825854877856,0.9708876231277023,0.8666666666666665
grouped_cv,1,3,grouped_cv_repeat1_fold3,641,150,39,9,39,9,0.04378605345939213,0.2528577636993653,0.055539390863866805,0.27681023416173145,0.9785877990042527,0.4609854997420245,0.9847633825922665,0.7
grouped_cv,1,4,grouped_cv_repeat1_fold4,644,147,39,9,39,9,0.061569254422764105,0.21170882018191184,0.07363775848133618,0.24196491181344587,0.9630277791068077,0.5312071468505359,0.9615229626241869,0.7666666666666667
