feature,importance_kind,importance,importance_abs
img_hsv_v_hist_bin_0,feature_importance,0.1700502684544149,0.1700502684544149
img_glcm_energy,feature_importance,0.07110665181802654,0.07110665181802654
img_glcm_homogeneity,feature_importance,0.06235438514451615,0.06235438514451615
img_black_mask_ratio_pct,feature_importance,0.05848562973437367,0.05848562973437367
img_gray_mask_ratio_pct,feature_importance,0.05131292521552774,0.05131292521552774
img_hsv_v_hist_bin_2,feature_importance,0.039847428341283485,0.039847428341283485
img_hsv_h_std,feature_importance,0.03493788607182176,0.03493788607182176
img_hsv_v_hist_bin_1,feature_importance,0.031248493524000432,0.031248493524000432
img_hsv_v_hist_bin_3,feature_importance,0.03044512145028796,0.03044512145028796
img_hsv_s_std,feature_importance,0.025988310588018048,0.025988310588018048
img_glcm_contrast,feature_importance,0.024563332417425053,0.024563332417425053
img_hsv_h_hist_bin_0,feature_importance,0.023470572299985316,0.023470572299985316
img_hsv_v_std,feature_importance,0.022404694954710123,0.022404694954710123
img_edge_to_center_rust_ratio,feature_importance,0.021496038228174065,0.021496038228174065
img_hsv_v_hist_bin_7,feature_importance,0.02124007393713693,0.02124007393713693
img_hsv_v_hist_bin_6,feature_importance,0.017876904156310866,0.017876904156310866
img_hsv_h_hist_bin_1,feature_importance,0.016876286050193708,0.016876286050193708
img_lbp_mean,feature_importance,0.016720473553390687,0.016720473553390687
img_rust_blob_mean_ratio_pct,feature_importance,0.014483671790606445,0.014483671790606445
img_hsv_s_hist_bin_2,feature_importance,0.014456535659422435,0.014456535659422435
img_rust_center_of_mass_cm,feature_importance,0.014113511493418034,0.014113511493418034
img_r_std,feature_importance,0.013973440057016293,0.013973440057016293
img_strip_peak_location_cm,feature_importance,0.013803867005704042,0.013803867005704042
img_gray_hist_bin_2,feature_importance,0.01088252503831543,0.01088252503831543
img_hsv_s_hist_bin_1,feature_importance,0.010683499487010025,0.010683499487010025
img_hsv_v_hist_bin_5,feature_importance,0.009887664860516357,0.009887664860516357
img_hsv_h_p10,feature_importance,0.008830457975150374,0.008830457975150374
img_rust_blob_largest_ratio_pct,feature_importance,0.008734020796768074,0.008734020796768074
img_gray_hist_bin_5,feature_importance,0.008670268458861177,0.008670268458861177
img_hsv_v_hist_bin_4,feature_importance,0.007230081929754867,0.007230081929754867
img_brightness_p10,feature_importance,0.006614942235626568,0.006614942235626568
img_hsv_s_hist_bin_0,feature_importance,0.006405387932628626,0.006405387932628626
img_hsv_s_hist_bin_3,feature_importance,0.006399033731645433,0.006399033731645433
img_gray_hist_bin_3,feature_importance,0.005744427192805682,0.005744427192805682
img_rust_blob_count,feature_importance,0.005296825438140437,0.005296825438140437
img_lbp_std,feature_importance,0.005098927297988448,0.005098927297988448
img_hsv_v_p10,feature_importance,0.0049474516220141445,0.0049474516220141445
img_strip_rust_max_pct,feature_importance,0.0046932877692060365,0.0046932877692060365
img_gray_hist_bin_6,feature_importance,0.004372751352700306,0.004372751352700306
img_hsv_h_p90,feature_importance,0.004327741069334803,0.004327741069334803
img_hsv_h_mean,feature_importance,0.0042809885083735155,0.0042809885083735155
img_hsv_s_p90,feature_importance,0.004143786563773901,0.004143786563773901
img_hsv_s_hist_bin_6,feature_importance,0.0038998801092535703,0.0038998801092535703
img_g_std,feature_importance,0.00383295648163543,0.00383295648163543
img_b_std,feature_importance,0.00378457965296551,0.00378457965296551
img_strip_rust_p90_pct,feature_importance,0.003777139906203425,0.003777139906203425
img_r_mean,feature_importance,0.0036641709980167183,0.0036641709980167183
img_rust_blob_eccentricity_mean,feature_importance,0.003559908234119249,0.003559908234119249
img_hsv_s_hist_bin_4,feature_importance,0.0033476921478166237,0.0033476921478166237
img_hsv_s_mean,feature_importance,0.00300210964310339,0.00300210964310339
img_hsv_s_p10,feature_importance,0.002685510080669965,0.002685510080669965
img_hsv_s_hist_bin_5,feature_importance,0.0026232832448638364,0.0026232832448638364
img_hsv_h_hist_bin_2,feature_importance,0.0025250036801951954,0.0025250036801951954
img_gray_hist_bin_0,feature_importance,0.0023982737603690917,0.0023982737603690917
img_hsv_s_hist_bin_7,feature_importance,0.0021779052414656573,0.0021779052414656573
img_gray_hist_bin_4,feature_importance,0.002129397992288904,0.002129397992288904
img_gray_hist_bin_7,feature_importance,0.0018839381852979362,0.0018839381852979362
img_hsv_h_hist_bin_4,feature_importance,0.0017402951342619644,0.0017402951342619644
img_gray_hist_bin_1,feature_importance,0.001430990093340289,0.001430990093340289
img_hsv_h_hist_bin_7,feature_importance,0.001381881037030473,0.001381881037030473
img_brightness_mean,feature_importance,0.0012308911436558854,0.0012308911436558854
img_strip_high_count,feature_importance,0.0011810860927936014,0.0011810860927936014
img_hsv_v_p90,feature_importance,0.0010717215913475357,0.0010717215913475357
img_brightness_std,feature_importance,0.0010553551118743934,0.0010553551118743934
