feature,importance,importance_abs,importance_kind,direction,split_name,repeat_id,fold_id,split_id
img_hsv_v_p10,0.5332259206603767,0.5332259206603767,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_std,0.29738929052758356,0.29738929052758356,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_glcm_homogeneity,0.28410965006344163,0.28410965006344163,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_brightness_p10,-0.2399626993336444,0.2399626993336444,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_mean,-0.1474048126533405,0.1474048126533405,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_p90,-0.14690416878399523,0.14690416878399523,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_r_std,0.13652920166514812,0.13652920166514812,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_brightness_std,-0.1264869426464551,0.1264869426464551,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_contrast,-0.12648694264642618,0.12648694264642618,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_blob_eccentricity_max,0.12087613143758462,0.12087613143758462,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_blob_largest_ratio_pct,-0.09953256562025792,0.09953256562025792,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_high_count,-0.09888756614343633,0.09888756614343633,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_mean,0.09596056964445902,0.09596056964445902,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_area_ratio_pct,0.09193347862260445,0.09193347862260445,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_mean,-0.0918897809173689,0.0918897809173689,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_blob_mean_ratio_pct,-0.09178760682421891,0.09178760682421891,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_std_pct,0.08920398048747541,0.08920398048747541,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_0,0.08519509197355034,0.08519509197355034,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
