split_name,repeat_id,fold_id,split_id,fraction,n_train_specimens,n_train_rows,train_mae,test_mae,train_rmse,test_rmse,train_spearman,test_spearman
grouped_cv,0,0,grouped_cv_repeat0_fold0,0.2,8,132,0.00035987794399267026,0.44956180286407477,0.0004729736258243598,0.49155062055213217,1.0,0.03647433262080388
grouped_cv,0,0,grouped_cv_repeat0_fold0,0.4,15,249,0.0031398684183756723,0.3520338864326477,0.0039808052326698,0.4092668105469093,1.0,0.43769199144964654
grouped_cv,0,0,grouped_cv_repeat0_fold0,0.6,23,378,0.010501091376594858,0.370487503528595,0.013696209203871785,0.4124646661718995,0.9995058067402659,0.7173285415424762
grouped_cv,0,0,grouped_cv_repeat0_fold0,0.8,30,491,0.01403868357340497,0.35679369878768924,0.019354036888931867,0.4075084379167168,0.9971067090694392,0.5106406566912542
grouped_cv,0,0,grouped_cv_repeat0_fold0,1.0,38,626,0.02865207634474103,0.38523124170303347,0.03553639543582641,0.42307184581020785,0.9949650273726927,0.5471149893120582
grouped_cv,0,1,grouped_cv_repeat0_fold1,0.2,8,132,0.001766019463539159,0.2889236559867859,0.0024216224365283777,0.3426893867925668,1.0,0.29179466096643103
grouped_cv,0,1,grouped_cv_repeat0_fold1,0.4,15,246,0.008293740590413427,0.24113251781463624,0.01009911233442006,0.27130431551713907,1.0,0.4255338805760452
grouped_cv,0,1,grouped_cv_repeat0_fold1,0.6,23,378,0.0151001246079155,0.24453955793380736,0.018003227816975866,0.30659714467970695,0.9992586184573365,0.36474332620803873
grouped_cv,0,1,grouped_cv_repeat0_fold1,0.8,30,497,0.017781415780385345,0.1936175136566162,0.02211928316809056,0.24075178353917043,0.9977744144549768,0.6990913752320743
grouped_cv,0,1,grouped_cv_repeat0_fold1,1.0,38,626,0.026171534563365757,0.2480281195640564,0.03176797459841793,0.28636880144478655,0.9955123128662972,0.49848254581765294
