feature,importance_kind,importance,importance_abs
img_gray_hist_bin_0,feature_importance,12.484752201265916,12.484752201265916
img_gray_mask_ratio_pct,feature_importance,9.429397158109662,9.429397158109662
img_black_mask_ratio_pct,feature_importance,8.728277484757752,8.728277484757752
img_glcm_homogeneity,feature_importance,4.458094104702195,4.458094104702195
img_edge_to_center_rust_ratio,feature_importance,4.3922329680478995,4.3922329680478995
img_r_std,feature_importance,4.305895278814107,4.305895278814107
img_glcm_energy,feature_importance,3.6357771761708273,3.6357771761708273
img_strip_peak_location_cm,feature_importance,3.442864717828313,3.442864717828313
img_rust_center_of_mass_cm,feature_importance,3.3955952873900537,3.3955952873900537
img_rust_blob_mean_ratio_pct,feature_importance,3.2688029224547654,3.2688029224547654
img_lbp_mean,feature_importance,3.081606315400758,3.081606315400758
img_glcm_contrast,feature_importance,2.777301368124195,2.777301368124195
img_gray_hist_bin_2,feature_importance,2.578383663920488,2.578383663920488
img_gray_hist_bin_1,feature_importance,2.5136290845849913,2.5136290845849913
img_rust_blob_largest_ratio_pct,feature_importance,2.3906453279972153,2.3906453279972153
img_strip_rust_p90_pct,feature_importance,2.0454724388533494,2.0454724388533494
img_gray_hist_bin_3,feature_importance,1.7193809899968602,1.7193809899968602
img_gray_hist_bin_5,feature_importance,1.6082225077069494,1.6082225077069494
img_b_std,feature_importance,1.5382353201344041,1.5382353201344041
img_g_std,feature_importance,1.5055442361852094,1.5055442361852094
img_strip_rust_max_pct,feature_importance,1.4959687885240138,1.4959687885240138
img_r_mean,feature_importance,1.4809018624440173,1.4809018624440173
img_b_mean,feature_importance,1.391851560475224,1.391851560475224
img_rust_blob_count,feature_importance,1.3876119117644696,1.3876119117644696
img_strip_rust_mean_pct,feature_importance,1.3094022303567305,1.3094022303567305
img_strip_rust_std_pct,feature_importance,1.2616491862300545,1.2616491862300545
img_gray_hist_bin_6,feature_importance,1.2200391388775067,1.2200391388775067
img_strip_high_count,feature_importance,1.1643281035020394,1.1643281035020394
img_gray_hist_bin_7,feature_importance,1.1238035404824438,1.1238035404824438
img_lbp_std,feature_importance,1.0817074467458283,1.0817074467458283
img_brightness_std,feature_importance,1.0749765990210889,1.0749765990210889
img_rust_blob_eccentricity_mean,feature_importance,1.0664359513217931,1.0664359513217931
img_gray_hist_bin_4,feature_importance,1.0100611886547768,1.0100611886547768
img_contrast,feature_importance,1.0081608829336544,1.0081608829336544
img_brightness_mean,feature_importance,0.992774128469861,0.992774128469861
img_rust_area_ratio_pct,feature_importance,0.8796651411661687,0.8796651411661687
img_brightness_p10,feature_importance,0.6959995110167069,0.6959995110167069
img_g_mean,feature_importance,0.5217494463567779,0.5217494463567779
img_brightness_p90,feature_importance,0.44242240190943727,0.44242240190943727
img_rust_blob_eccentricity_max,feature_importance,0.09038042730149944,0.09038042730149944
img_strip_count,feature_importance,0.0,0.0
