feature,importance,importance_abs,importance_kind,direction,split_name,repeat_id,fold_id,split_id
img_gray_mask_ratio_pct,0.173295565577832,0.173295565577832,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_black_mask_ratio_pct,0.11658248277711379,0.11658248277711379,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_0,0.08801965375353257,0.08801965375353257,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_p90_pct,0.07272462994879457,0.07272462994879457,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_glcm_homogeneity,0.06697905023445334,0.06697905023445334,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_glcm_energy,0.05755536509798308,0.05755536509798308,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_5,0.04705980171652622,0.04705980171652622,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_3,0.03737016801185604,0.03737016801185604,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_center_of_mass_cm,0.037334653209849654,0.037334653209849654,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_blob_largest_ratio_pct,0.03294128270184452,0.03294128270184452,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_glcm_contrast,0.027979267002684112,0.027979267002684112,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_blob_mean_ratio_pct,0.02452315719020195,0.02452315719020195,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_1,0.020572678471743436,0.020572678471743436,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_6,0.0188635989649576,0.0188635989649576,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_edge_to_center_rust_ratio,0.018573858597402328,0.018573858597402328,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_r_std,0.018167064293606667,0.018167064293606667,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_lbp_mean,0.01750157422692448,0.01750157422692448,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_b_std,0.016731057719719604,0.016731057719719604,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_4,0.013689554504368538,0.013689554504368538,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_g_std,0.013114344796474903,0.013114344796474903,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_peak_location_cm,0.010799691855918331,0.010799691855918331,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_lbp_std,0.009173757698982698,0.009173757698982698,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_r_mean,0.00805889998410225,0.00805889998410225,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_2,0.007103527248359356,0.007103527248359356,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_blob_eccentricity_mean,0.006215850940195032,0.006215850940195032,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_max_pct,0.0058963286993019845,0.0058963286993019845,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_7,0.0044328501532748055,0.0044328501532748055,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_b_mean,0.004211898527714102,0.004211898527714102,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_high_count,0.0037544912225391117,0.0037544912225391117,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_brightness_p10,0.003515998373483499,0.003515998373483499,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_brightness_p90,0.0029743304160280088,0.0029743304160280088,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_brightness_mean,0.0026031654945579243,0.0026031654945579243,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_brightness_std,0.002424634586086754,0.002424634586086754,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_blob_count,0.0022819671162072836,0.0022819671162072836,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_std_pct,0.0018724280184427551,0.0018724280184427551,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_contrast,0.001518041107597021,0.001518041107597021,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
