feature,importance,importance_abs,importance_kind,direction,split_name,repeat_id,fold_id,split_id
img_gray_mask_ratio_pct,0.14253604441165474,0.14253604441165474,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_0,0.10918930236285998,0.10918930236285998,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_black_mask_ratio_pct,0.10324263198437106,0.10324263198437106,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_glcm_energy,0.06772681052225026,0.06772681052225026,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_blob_mean_ratio_pct,0.05068975169955633,0.05068975169955633,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_blob_largest_ratio_pct,0.04483215516234803,0.04483215516234803,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_5,0.04094809558444237,0.04094809558444237,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_glcm_homogeneity,0.03697084265632018,0.03697084265632018,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_p90_pct,0.0323487784613958,0.0323487784613958,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_center_of_mass_cm,0.03171425978626235,0.03171425978626235,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_r_std,0.028583510522227237,0.028583510522227237,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_edge_to_center_rust_ratio,0.02504337097527682,0.02504337097527682,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_3,0.024967203315235355,0.024967203315235355,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_1,0.0238298144442552,0.0238298144442552,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_glcm_contrast,0.021154537095914475,0.021154537095914475,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_r_mean,0.02072270016029771,0.02072270016029771,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_b_std,0.016486106436805648,0.016486106436805648,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_g_std,0.016126852016905526,0.016126852016905526,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_std_pct,0.015269937669300846,0.015269937669300846,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_6,0.014047553606316592,0.014047553606316592,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_7,0.012708559079984421,0.012708559079984421,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
