feature,importance_kind,importance,importance_abs
img_g_mean,coefficient,-0.6213424416239127,0.6213424416239127
img_brightness_p90,coefficient,-0.5316174463782294,0.5316174463782294
img_b_mean,coefficient,0.45362893434360013,0.45362893434360013
img_glcm_homogeneity,coefficient,0.3741930415290344,0.3741930415290344
img_r_mean,coefficient,0.3545852499509116,0.3545852499509116
img_rust_area_ratio_pct,coefficient,0.23132066621673625,0.23132066621673625
img_b_std,coefficient,0.22631263886998748,0.22631263886998748
img_brightness_mean,coefficient,-0.21514105652409105,0.21514105652409105
img_strip_rust_std_pct,coefficient,0.21421355950515789,0.21421355950515789
img_glcm_energy,coefficient,-0.20255486101202122,0.20255486101202122
img_gray_hist_bin_4,coefficient,-0.16801205679891903,0.16801205679891903
img_brightness_p10,coefficient,0.16038806078511378,0.16038806078511378
img_r_std,coefficient,0.15057603779112166,0.15057603779112166
img_rust_blob_eccentricity_max,coefficient,0.1457925858711217,0.1457925858711217
img_gray_hist_bin_3,coefficient,-0.14241027021525288,0.14241027021525288
img_strip_rust_p90_pct,coefficient,-0.13239561872220923,0.13239561872220923
img_gray_hist_bin_7,coefficient,0.12793615916122264,0.12793615916122264
img_gray_hist_bin_2,coefficient,-0.12021648003587133,0.12021648003587133
img_brightness_std,coefficient,-0.11048505530454111,0.11048505530454111
img_contrast,coefficient,-0.11048505530453975,0.11048505530453975
img_glcm_contrast,coefficient,0.10979486872853741,0.10979486872853741
img_rust_blob_mean_ratio_pct,coefficient,-0.10869569381110589,0.10869569381110589
img_strip_rust_max_pct,coefficient,-0.10011746427886006,0.10011746427886006
img_lbp_mean,coefficient,0.09968098407043888,0.09968098407043888
img_g_std,coefficient,0.07446801190182159,0.0794257819130076
img_rust_blob_eccentricity_mean,coefficient,-0.07843852728664721,0.07843852728664721
img_gray_hist_bin_1,coefficient,-0.07627616906251339,0.07627616906251339
img_gray_hist_bin_5,coefficient,-0.07454631417585547,0.07454631417585547
img_lbp_std,coefficient,0.07333456517800527,0.07333456517800527
img_strip_rust_mean_pct,coefficient,0.013618098111947991,0.05956631491788178
img_rust_blob_largest_ratio_pct,coefficient,-0.05555963572777147,0.05555963572777147
img_gray_hist_bin_0,coefficient,0.04836968968693932,0.04836968968693932
img_strip_high_count,coefficient,-0.032980056741225304,0.044619467769567225
img_rust_blob_count,coefficient,-0.029705637086979146,0.03762466145102874
img_rust_center_of_mass_cm,coefficient,0.015418153186875214,0.025167470163044093
img_gray_hist_bin_6,coefficient,0.023051360246290762,0.023051360246290762
img_gray_mask_ratio_pct,coefficient,0.015738083516576434,0.02232505653434949
img_strip_peak_location_cm,coefficient,-0.020352776007630354,0.021151574617051236
img_black_mask_ratio_pct,coefficient,-0.0011509121135402217,0.0049405211633580795
img_edge_to_center_rust_ratio,coefficient,0.0008745876605089251,0.0039904999536192086
img_strip_count,coefficient,0.0,0.0
