feature,feature_value,feature_value_label,prediction_mean,feature_kind
img_g_mean,142.85932153032152,142.9,3.3254041726467753,numeric
img_g_mean,169.11087216311026,169.1,2.7701392500650357,numeric
img_g_mean,181.30676186212378,181.3,2.5121754503541007,numeric
img_g_mean,192.4399934724887,192.4,2.276688675698872,numeric
img_g_mean,201.98855238482858,202,2.074720422493848,numeric
img_g_mean,215.40334613252708,215.4,1.7909747300598877,numeric
img_g_mean,232.754936159079,232.8,1.4239591039151431,numeric
img_g_mean,253.69360105820107,253.7,0.981070746316402,numeric
img_brightness_p90,155.0,155,3.6980975248389134,numeric
img_brightness_p90,169.71428571428572,169.7,3.374631058383862,numeric
img_brightness_p90,185.42857142857142,185.4,3.02918143401439,numeric
img_brightness_p90,198.57142857142856,198.6,2.740259929996286,numeric
img_brightness_p90,211.42857142857144,211.4,2.4576193282394447,numeric
img_brightness_p90,224.28571428571428,224.3,2.174978726482604,numeric
img_brightness_p90,237.14285714285714,237.1,1.8923381247257631,numeric
img_brightness_p90,250.0,250,1.6096975229689219,numeric
img_b_mean,102.8848091982092,102.9,1.3706747915892974,numeric
img_b_mean,131.9956148225672,132,1.7038289377100377,numeric
img_b_mean,149.25484317305268,149.3,1.9013495270748906,numeric
img_b_mean,163.71255430354478,163.7,2.0668085826810043,numeric
img_b_mean,177.16238452623216,177.2,2.220733099959188,numeric
img_b_mean,190.40220717871193,190.4,2.372254217838736,numeric
img_b_mean,211.76366817838243,211.8,2.616722179016765,numeric
img_b_mean,244.82135303215304,244.8,2.995045778586655,numeric
img_r_mean,163.3546507936508,163.4,1.4734026573555552,numeric
img_r_mean,185.27609126499604,185.3,1.7850014967673957,numeric
img_r_mean,197.5397214760548,197.5,1.959320923710939,numeric
img_r_mean,206.24584000232574,206.2,2.083072664939533,numeric
img_r_mean,215.066928619881,215.1,2.2084586302994333,numeric
img_r_mean,227.50182179971702,227.5,2.3852124475548258,numeric
img_r_mean,241.19359144911527,241.2,2.5798319360790196,numeric
img_r_mean,254.43993827160494,254.4,2.7681200324625506,numeric
img_glcm_homogeneity,0.36362532927367375,0.3636,1.7238788150008204,numeric
img_glcm_homogeneity,0.41574293131292456,0.4157,1.8351129587728174,numeric
img_glcm_homogeneity,0.4520989685255147,0.4521,1.9127073321140866,numeric
img_glcm_homogeneity,0.49034988491778764,0.4903,1.9943459295726635,numeric
img_glcm_homogeneity,0.5312206109757422,0.5312,2.081575963966275,numeric
img_glcm_homogeneity,0.5910961054464148,0.5911,2.2093677099363656,numeric
img_glcm_homogeneity,0.7427860702347068,0.7428,2.5331182796445146,numeric
img_glcm_homogeneity,0.9663967144858705,0.9664,3.010368528664995,numeric
img_rust_area_ratio_pct,0.0059096459096459105,0.00591,2.031524831049649,numeric
img_rust_area_ratio_pct,0.0624125433649243,0.06241,2.0339194016351856,numeric
img_rust_area_ratio_pct,0.16339399577494812,0.1634,2.0381989558972875,numeric
img_rust_area_ratio_pct,0.35027191503381977,0.3503,2.0461187686626032,numeric
img_rust_area_ratio_pct,0.9558385177432798,0.9558,2.0717824432658274,numeric
img_rust_area_ratio_pct,2.8787084520417854,2.879,2.1532729152921326,numeric
img_rust_area_ratio_pct,5.219605791034362,5.22,2.252479224422563,numeric
img_rust_area_ratio_pct,14.02086012752679,14.02,2.6254729238461216,numeric
