feature,importance,importance_abs,importance_kind,direction
campaign_id,0.4028192373630738,0.4028192373630738,feature_importance,positive
cover_mm,0.1746913985311837,0.1746913985311837,feature_importance,positive
nacl_pct,0.16150374711675916,0.16150374711675916,feature_importance,positive
n_steel_mesh,0.10573032882466837,0.10573032882466837,feature_importance,positive
img_hsv_v_hist_bin_7,0.025213087151403264,0.025213087151403264,feature_importance,positive
series_id,0.02481090444439072,0.02481090444439072,feature_importance,positive
img_hsv_s_std,0.023267179455763464,0.023267179455763464,feature_importance,positive
treatment_label_coarse,0.020064601620797134,0.020064601620797134,feature_importance,positive
split_group_treatment,0.016052855086881614,0.016052855086881614,feature_importance,positive
treatment_protocol,0.013697434166712824,0.013697434166712824,feature_importance,positive
img_hsv_v_mean,0.008629017513328438,0.008629017513328438,feature_importance,positive
img_hsv_v_hist_bin_2,0.005319348331847902,0.005319348331847902,feature_importance,positive
img_hsv_v_hist_bin_5,0.0025411904793562765,0.0025411904793562765,feature_importance,positive
img_hsv_v_hist_bin_3,0.0024118530129222265,0.0024118530129222265,feature_importance,positive
img_hsv_v_hist_bin_6,0.0019624957252981855,0.0019624957252981855,feature_importance,positive
treatment_coarse,0.0018185694116541196,0.0018185694116541196,feature_importance,positive
img_hsv_v_hist_bin_4,0.0011736769672613064,0.0011736769672613064,feature_importance,positive
img_hsv_h_hist_bin_2,0.001117454894469073,0.001117454894469073,feature_importance,positive
img_hsv_h_p10,0.0008637596608855844,0.0008637596608855844,feature_importance,positive
img_hsv_v_std,0.0007554858377041755,0.0007554858377041755,feature_importance,positive
img_hsv_v_hist_bin_1,0.0006081567012520121,0.0006081567012520121,feature_importance,positive
img_hsv_s_hist_bin_5,0.0005373920171717587,0.0005373920171717587,feature_importance,positive
img_hsv_s_hist_bin_4,0.000474868020027978,0.000474868020027978,feature_importance,positive
img_hsv_s_p90,0.0004615515061681822,0.0004615515061681822,feature_importance,positive
img_hsv_v_hist_bin_0,0.00039152509242955814,0.00039152509242955814,feature_importance,positive
img_hsv_s_hist_bin_2,0.00038667178922826716,0.00038667178922826716,feature_importance,positive
img_hsv_s_hist_bin_7,0.00026454130408317365,0.00026454130408317365,feature_importance,positive
week,0.00022868763471358143,0.00022868763471358143,feature_importance,positive
img_hsv_h_std,0.0002042621623933582,0.0002042621623933582,feature_importance,positive
img_hsv_h_p90,0.00020361475302764644,0.00020361475302764644,feature_importance,positive
img_hsv_h_hist_bin_7,0.0002006323849330551,0.0002006323849330551,feature_importance,positive
img_hsv_s_hist_bin_1,0.00019734492186163275,0.00019734492186163275,feature_importance,positive
img_hsv_s_hist_bin_6,0.0001770635299441817,0.0001770635299441817,feature_importance,positive
img_hsv_h_mean,0.00016814344988133807,0.00016814344988133807,feature_importance,positive
img_hsv_h_hist_bin_6,0.00016221543039392564,0.00016221543039392564,feature_importance,positive
img_hsv_h_hist_bin_1,0.00015496892764775664,0.00015496892764775664,feature_importance,positive
img_hsv_h_hist_bin_0,0.00014549057379223496,0.00014549057379223496,feature_importance,positive
ageing_days,0.00013309004779158055,0.00013309004779158055,feature_importance,positive
img_hsv_s_hist_bin_0,0.00012870998000869658,0.00012870998000869658,feature_importance,positive
img_hsv_s_mean,0.00010498045189444079,0.00010498045189444079,feature_importance,positive
img_hsv_s_hist_bin_3,9.67644683651946e-05,9.67644683651946e-05,feature_importance,positive
img_hsv_v_p10,4.926710886923053e-05,4.926710886923053e-05,feature_importance,positive
img_hsv_s_p10,3.4113827149293845e-05,3.4113827149293845e-05,feature_importance,positive
img_hsv_v_p90,3.334831026942786e-05,3.334831026942786e-05,feature_importance,positive
img_hsv_h_hist_bin_4,8.916136435722865e-06,8.916136435722865e-06,feature_importance,positive
img_hsv_h_hist_bin_5,5.387390558640118e-08,5.387390558640118e-08,feature_importance,positive
img_hsv_h_hist_bin_3,0.0,0.0,feature_importance,positive
