feature,importance,importance_abs,importance_kind,direction
split_group_treatment,0.024249600150734203,0.15527736385292737,coefficient,positive
series_id,0.024249600150772092,0.15527736385290264,coefficient,positive
treatment_protocol,0.008900667266151317,0.15498037386934682,coefficient,positive
img_hsv_v_p10,0.1260860636912454,0.1260860636912454,coefficient,positive
img_hsv_s_mean,-0.12551313027963626,0.12551313027963626,coefficient,negative
img_hsv_v_p90,-0.10610631765992208,0.10610631765992208,coefficient,negative
img_hsv_s_p90,0.09882754375131342,0.09882754375131342,coefficient,positive
campaign_id,-4.023170685485411e-14,0.09021947851209945,coefficient,negative
img_hsv_v_std,0.07239589375256705,0.07239589375256705,coefficient,positive
img_hsv_s_p10,0.06236197732549556,0.06236197732549556,coefficient,positive
treatment_coarse,-0.007435419921296638,0.06119444884814251,coefficient,negative
img_hsv_h_p10,-0.051752708191922854,0.051752708191922854,coefficient,negative
img_hsv_h_std,-0.04913063400963157,0.04913063400963157,coefficient,negative
n_steel_mesh,0.045109739256554475,0.045109739256554475,coefficient,positive
nacl_pct,-0.045109739256396095,0.045109739256396095,coefficient,negative
img_hsv_v_hist_bin_5,-0.038635805156271796,0.038635805156271796,coefficient,negative
img_hsv_v_mean,-0.03774543421737174,0.03774543421737174,coefficient,negative
treatment_label_coarse,-0.007684044903197384,0.037648910013183025,coefficient,negative
img_hsv_s_hist_bin_3,-0.03457211862268392,0.03457211862268392,coefficient,negative
img_hsv_v_hist_bin_7,0.027401777649178158,0.027401777649178158,coefficient,positive
img_hsv_v_hist_bin_3,-0.02426258632132178,0.02426258632132178,coefficient,negative
img_hsv_v_hist_bin_4,-0.02400644284600694,0.02400644284600694,coefficient,negative
img_hsv_s_hist_bin_4,0.022594699767156712,0.022594699767156712,coefficient,positive
img_hsv_h_p90,0.019903660349602666,0.019903660349602666,coefficient,positive
img_hsv_s_hist_bin_5,0.018695203788093438,0.018695203788093438,coefficient,positive
img_hsv_s_std,0.018054778357032314,0.018054778357032314,coefficient,positive
img_hsv_h_hist_bin_7,0.017591432586675653,0.017591432586675653,coefficient,positive
cover_mm,-0.013334244894826238,0.013334244894826238,coefficient,negative
img_hsv_s_hist_bin_2,-0.01183273042600837,0.01183273042600837,coefficient,negative
img_hsv_h_hist_bin_0,-0.011292314965493348,0.011292314965493348,coefficient,negative
img_hsv_v_hist_bin_0,0.010813146874600348,0.010813146874600348,coefficient,positive
img_hsv_h_hist_bin_1,0.010711830635684148,0.010711830635684148,coefficient,positive
img_hsv_s_hist_bin_6,-0.009307998891411883,0.009307998891411883,coefficient,negative
img_hsv_h_hist_bin_3,0.007872214936203985,0.007872214936203985,coefficient,positive
img_hsv_v_hist_bin_1,-0.005795670327466478,0.005795670327466478,coefficient,negative
img_hsv_s_hist_bin_0,0.00499093489565573,0.00499093489565573,coefficient,positive
img_hsv_h_hist_bin_4,0.003216266169816617,0.003216266169816617,coefficient,positive
img_hsv_v_hist_bin_2,0.002729553413019338,0.002729553413019338,coefficient,positive
img_hsv_h_mean,-0.0027281165640636513,0.0027281165640636513,coefficient,negative
img_hsv_s_hist_bin_1,0.0027176059231066424,0.0027176059231066424,coefficient,positive
img_hsv_h_hist_bin_2,0.002525319338757824,0.002525319338757824,coefficient,positive
img_hsv_s_hist_bin_7,0.0020186071475389203,0.0020186071475389203,coefficient,positive
img_hsv_h_hist_bin_6,0.001717337990568155,0.001717337990568155,coefficient,positive
week,-0.001564898001938215,0.001564898001938215,coefficient,negative
ageing_days,-0.0015648980018116957,0.0015648980018116957,coefficient,negative
img_hsv_v_hist_bin_6,0.0012639427983097528,0.0012639427983097528,coefficient,positive
img_hsv_h_hist_bin_5,-0.000326891230996487,0.000326891230996487,coefficient,negative
