feature,importance,importance_abs,importance_kind,direction,split_name,repeat_id,fold_id,split_id
cover_mm,63.90692371673277,63.90692371673277,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
series_id,11.200984951038059,11.200984951038059,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
split_group_treatment,8.499941371183507,8.499941371183507,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
treatment_protocol,6.496563474555711,6.496563474555711,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
treatment_coarse,5.908644786235931,5.908644786235931,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
treatment_label_coarse,3.827175480520637,3.827175480520637,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
ageing_days,0.08385541201494519,0.08385541201494519,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
week,0.07591080771842265,0.07591080771842265,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
campaign_id,0.0,0.0,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
n_steel_mesh,0.0,0.0,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
nacl_pct,0.0,0.0,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
cover_mm,49.96562617786343,49.96562617786343,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
split_group_treatment,17.764547055481895,17.764547055481895,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
series_id,13.319373019379501,13.319373019379501,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
treatment_label_coarse,10.907396519913126,10.907396519913126,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
treatment_protocol,4.080550995172807,4.080550995172807,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
treatment_coarse,3.8107937113612635,3.8107937113612635,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
ageing_days,0.10394348715231658,0.10394348715231658,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
week,0.04776903367566346,0.04776903367566346,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
campaign_id,0.0,0.0,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
n_steel_mesh,0.0,0.0,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
nacl_pct,0.0,0.0,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
