feature,importance_kind,importance,importance_abs
cover_mm,feature_importance,0.6289662885295015,0.6289662885295015
series_id,feature_importance,0.15015245032778848,0.15015245032778848
split_group_treatment,feature_importance,0.08902292691161162,0.08902292691161162
treatment_label_coarse,feature_importance,0.0644278392593856,0.0644278392593856
treatment_protocol,feature_importance,0.04722932222636302,0.04722932222636302
treatment_coarse,feature_importance,0.020201172745349428,0.020201172745349428
ageing_days,feature_importance,1.0760690416886357e-16,1.0760690416886357e-16
week,feature_importance,5.2574483263022337e-17,5.2574483263022337e-17
campaign_id,feature_importance,0.0,0.0
n_steel_mesh,feature_importance,0.0,0.0
nacl_pct,feature_importance,0.0,0.0
