feature,importance,importance_abs,importance_kind,direction,split_name,repeat_id,fold_id,split_id
cover_mm,0.7828343443671021,0.7828343443671021,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
series_id,0.055793843501830864,0.055793843501830864,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
treatment_protocol,0.0482366180687244,0.0482366180687244,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
split_group_treatment,0.04809442647898517,0.04809442647898517,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
treatment_coarse,0.03654965297313775,0.03654965297313775,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
treatment_label_coarse,0.028436312926244517,0.028436312926244517,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
week,2.8252000708459546e-05,2.8252000708459546e-05,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
ageing_days,2.65496832668131e-05,2.65496832668131e-05,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
campaign_id,0.0,0.0,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
n_steel_mesh,0.0,0.0,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
nacl_pct,0.0,0.0,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
cover_mm,0.49480681246473096,0.49480681246473096,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
series_id,0.16305799800408094,0.16305799800408094,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
treatment_label_coarse,0.1534485449163801,0.1534485449163801,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
split_group_treatment,0.13307036096733788,0.13307036096733788,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
treatment_protocol,0.028383932614617583,0.028383932614617583,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
treatment_coarse,0.02714855581199145,0.02714855581199145,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
ageing_days,7.212414640138165e-05,7.212414640138165e-05,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
week,1.1671074459737095e-05,1.1671074459737095e-05,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
campaign_id,0.0,0.0,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
n_steel_mesh,0.0,0.0,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
nacl_pct,0.0,0.0,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
