feature,feature_value,feature_value_label,prediction_mean,feature_kind
campaign_id,campaign_1,campaign_1,2.2610923105419607,categorical
campaign_id,campaign_2,campaign_2,2.0312460679099082,categorical
nacl_pct,3.5,3.5,2.2253518857904564,numeric
nacl_pct,5.0,5,2.0734293118551976,numeric
cover_mm,2.343,2.343,2.192640152293289,numeric
cover_mm,3.5439285714285713,3.544,2.210762483121984,numeric
cover_mm,3.766142857142857,3.766,2.2126478335273285,numeric
cover_mm,4.344785714285714,4.345,2.1475826456488902,numeric
cover_mm,4.585214285714286,4.585,2.149038706892206,numeric
cover_mm,5.694642857142857,5.695,2.0600292093569657,numeric
cover_mm,6.394285714285714,6.394,1.9505297056090571,numeric
cover_mm,7.257499999999999,7.257,2.075996391353682,numeric
n_steel_mesh,4.0,4,2.107058933703598,numeric
n_steel_mesh,7.0,7,2.1881969580392155,numeric
