feature,feature_value,feature_value_label,prediction_mean,feature_kind
campaign_id,campaign_1,campaign_1,2.2848683058992734,categorical
campaign_id,campaign_2,campaign_2,2.030936158559935,categorical
cover_mm,2.343,2.343,2.20170615267912,numeric
cover_mm,3.5439285714285713,3.544,2.2091326978387307,numeric
cover_mm,3.766142857142857,3.766,2.2157208240758903,numeric
cover_mm,4.344785714285714,4.345,2.1633502398409763,numeric
cover_mm,4.585214285714286,4.585,2.1632760753449443,numeric
cover_mm,5.694642857142857,5.695,2.045434099928483,numeric
cover_mm,6.394285714285714,6.394,1.9853984294514748,numeric
cover_mm,7.257499999999999,7.257,2.100519215994272,numeric
nacl_pct,3.5,3.5,2.2155154770037626,numeric
nacl_pct,5.0,5,2.0871986647561154,numeric
n_steel_mesh,4.0,4,2.108293190272811,numeric
n_steel_mesh,7.0,7,2.197246199848281,numeric
treatment_label_coarse,D,D,2.136430762484074,categorical
treatment_label_coarse,G,G,2.192737335390079,categorical
treatment_label_coarse,MI,MI,2.138565286482523,categorical
treatment_label_coarse,SA,SA,2.1464877365555632,categorical
treatment_label_coarse,VF,VF,2.1403861683698784,categorical
