feature,importance,importance_abs,importance_kind,direction
img_hsv_v_hist_bin_0,8.159139043204428,8.159139043204428,feature_importance,positive
img_black_mask_ratio_pct,5.590529867676484,5.590529867676484,feature_importance,positive
img_gray_hist_bin_0,5.139122111905751,5.139122111905751,feature_importance,positive
img_gray_mask_ratio_pct,3.90478960130025,3.90478960130025,feature_importance,positive
img_hsv_v_hist_bin_3,3.7228937766319334,3.7228937766319334,feature_importance,positive
img_glcm_homogeneity,3.088080809248759,3.088080809248759,feature_importance,positive
img_edge_to_center_rust_ratio,2.7857064469493866,2.7857064469493866,feature_importance,positive
img_r_std,2.7106015070590885,2.7106015070590885,feature_importance,positive
img_hsv_h_hist_bin_0,2.658139949953791,2.658139949953791,feature_importance,positive
img_lbp_mean,2.1426545573778655,2.1426545573778655,feature_importance,positive
img_hsv_s_std,2.1137308780016957,2.1137308780016957,feature_importance,positive
img_glcm_contrast,2.0742573993606266,2.0742573993606266,feature_importance,positive
img_hsv_h_p10,2.0447620449328427,2.0447620449328427,feature_importance,positive
img_glcm_energy,2.032163821644404,2.032163821644404,feature_importance,positive
img_hsv_v_hist_bin_2,1.9945756582762773,1.9945756582762773,feature_importance,positive
img_rust_center_of_mass_cm,1.7783957017737113,1.7783957017737113,feature_importance,positive
img_hsv_v_hist_bin_1,1.764017258507737,1.764017258507737,feature_importance,positive
img_hsv_v_std,1.6573626379256168,1.6573626379256168,feature_importance,positive
img_r_mean,1.655510382552205,1.655510382552205,feature_importance,positive
img_strip_peak_location_cm,1.6423166064700694,1.6423166064700694,feature_importance,positive
img_strip_rust_p90_pct,1.6202504434158023,1.6202504434158023,feature_importance,positive
img_hsv_v_hist_bin_7,1.6167016501858185,1.6167016501858185,feature_importance,positive
img_gray_hist_bin_3,1.6141298304021408,1.6141298304021408,feature_importance,positive
img_strip_high_count,1.609330342588406,1.609330342588406,feature_importance,positive
img_g_std,1.561781553330745,1.561781553330745,feature_importance,positive
img_rust_blob_mean_ratio_pct,1.5449573754504087,1.5449573754504087,feature_importance,positive
img_hsv_h_std,1.4673363006208975,1.4673363006208975,feature_importance,positive
img_hsv_v_p10,1.347445114124548,1.347445114124548,feature_importance,positive
img_rust_blob_largest_ratio_pct,1.3278724997458908,1.3278724997458908,feature_importance,positive
img_rust_blob_count,1.249476275460893,1.249476275460893,feature_importance,positive
img_hsv_v_hist_bin_5,1.2469678523720342,1.2469678523720342,feature_importance,positive
img_hsv_v_hist_bin_6,1.1628541168171016,1.1628541168171016,feature_importance,positive
img_gray_hist_bin_2,1.1612624341267226,1.1612624341267226,feature_importance,positive
img_hsv_h_hist_bin_1,1.136994804252014,1.136994804252014,feature_importance,positive
img_strip_rust_max_pct,1.094521948595559,1.094521948595559,feature_importance,positive
img_gray_hist_bin_1,1.072570591996632,1.072570591996632,feature_importance,positive
img_hsv_s_p10,1.0080382204322196,1.0080382204322196,feature_importance,positive
img_hsv_h_mean,1.0052560222880917,1.0052560222880917,feature_importance,positive
img_hsv_s_p90,0.9664327070665397,0.9664327070665397,feature_importance,positive
img_hsv_s_hist_bin_2,0.958851161222114,0.958851161222114,feature_importance,positive
img_hsv_s_hist_bin_3,0.905440791615891,0.905440791615891,feature_importance,positive
img_hsv_h_p90,0.8738558924804464,0.8738558924804464,feature_importance,positive
img_gray_hist_bin_6,0.7973635390554178,0.7973635390554178,feature_importance,positive
img_contrast,0.7873897927899242,0.7873897927899242,feature_importance,positive
img_hsv_s_hist_bin_4,0.7635502574500115,0.7635502574500115,feature_importance,positive
img_rust_blob_eccentricity_mean,0.7610074742124535,0.7610074742124535,feature_importance,positive
img_brightness_std,0.7544675817319271,0.7544675817319271,feature_importance,positive
img_hsv_s_hist_bin_1,0.7444473732315853,0.7444473732315853,feature_importance,positive
img_gray_hist_bin_5,0.7121474391077711,0.7121474391077711,feature_importance,positive
img_hsv_s_hist_bin_7,0.6650232842981642,0.6650232842981642,feature_importance,positive
img_rust_area_ratio_pct,0.664476148951725,0.664476148951725,feature_importance,positive
img_b_std,0.6528127070931966,0.6528127070931966,feature_importance,positive
img_g_mean,0.6371227757220006,0.6371227757220006,feature_importance,positive
img_hsv_s_hist_bin_6,0.5707011229852601,0.5707011229852601,feature_importance,positive
img_hsv_s_hist_bin_0,0.5333829194944872,0.5333829194944872,feature_importance,positive
img_hsv_v_hist_bin_4,0.44325990873280235,0.44325990873280235,feature_importance,positive
img_hsv_s_mean,0.400695295337948,0.400695295337948,feature_importance,positive
img_lbp_std,0.39703760796012094,0.39703760796012094,feature_importance,positive
img_hsv_h_hist_bin_2,0.38181439688501545,0.38181439688501545,feature_importance,positive
img_gray_hist_bin_4,0.3670976652985748,0.3670976652985748,feature_importance,positive
img_hsv_s_hist_bin_5,0.3462334280278772,0.3462334280278772,feature_importance,positive
img_strip_rust_std_pct,0.33250262492109384,0.33250262492109384,feature_importance,positive
