feature,importance_kind,importance,importance_abs
img_rust_center_of_mass_cm,feature_importance,7.9197453110538785,7.9197453110538785
img_edge_to_center_rust_ratio,feature_importance,7.611494523784157,7.611494523784157
img_glcm_homogeneity,feature_importance,5.730841565314529,5.730841565314529
img_strip_peak_location_cm,feature_importance,5.381528570085132,5.381528570085132
img_rust_blob_largest_ratio_pct,feature_importance,4.51283422237881,4.51283422237881
img_glcm_contrast,feature_importance,4.3318486162920795,4.3318486162920795
img_glcm_energy,feature_importance,4.178331531920529,4.178331531920529
img_lbp_mean,feature_importance,4.004983454995957,4.004983454995957
img_b_std,feature_importance,3.6900635447858097,3.6900635447858097
img_r_mean,feature_importance,3.4876443134115362,3.4876443134115362
img_gray_hist_bin_5,feature_importance,3.372044422829516,3.372044422829516
img_gray_hist_bin_2,feature_importance,3.3469499681323276,3.3469499681323276
img_gray_mask_ratio_pct,feature_importance,3.0524782581119303,3.0524782581119303
img_strip_rust_max_pct,feature_importance,2.7518558240837945,2.7518558240837945
img_gray_hist_bin_7,feature_importance,2.66043090949689,2.66043090949689
img_gray_hist_bin_0,feature_importance,2.554580623495588,2.554580623495588
img_lbp_std,feature_importance,2.182978844232388,2.182978844232388
img_rust_blob_mean_ratio_pct,feature_importance,2.0965158138232365,2.0965158138232365
img_gray_hist_bin_3,feature_importance,2.002529818815206,2.002529818815206
img_rust_blob_eccentricity_mean,feature_importance,1.9946300768590361,1.9946300768590361
img_gray_hist_bin_6,feature_importance,1.7835299561555567,1.7835299561555567
img_brightness_mean,feature_importance,1.780675547154393,1.780675547154393
img_gray_hist_bin_4,feature_importance,1.6016716103781672,1.6016716103781672
img_strip_rust_std_pct,feature_importance,1.5484770245370627,1.5484770245370627
img_brightness_std,feature_importance,1.5480849591408818,1.5480849591408818
img_gray_hist_bin_1,feature_importance,1.4603628083902427,1.4603628083902427
img_brightness_p10,feature_importance,1.4383528390275795,1.4383528390275795
img_r_std,feature_importance,1.4272643519778538,1.4272643519778538
img_g_std,feature_importance,1.401925704621887,1.401925704621887
img_strip_high_count,feature_importance,1.2834829497499434,1.2834829497499434
img_strip_rust_p90_pct,feature_importance,1.2069841726609454,1.2069841726609454
img_rust_blob_count,feature_importance,1.1682508441458141,1.1682508441458141
img_contrast,feature_importance,1.0150713436272896,1.0150713436272896
img_black_mask_ratio_pct,feature_importance,0.991579466970251,0.991579466970251
img_b_mean,feature_importance,0.8547394366176078,0.8547394366176078
img_strip_rust_mean_pct,feature_importance,0.78595152413743,0.78595152413743
img_rust_area_ratio_pct,feature_importance,0.7540344282592963,0.7540344282592963
img_brightness_p90,feature_importance,0.6464589954215394,0.6464589954215394
img_g_mean,feature_importance,0.3401389642836931,0.3401389642836931
img_rust_blob_eccentricity_max,feature_importance,0.0986528588401935,0.0986528588401935
img_strip_count,feature_importance,0.0,0.0
