feature,importance,importance_abs,importance_kind,direction
img_gray_mask_ratio_pct,0.20375132229490184,0.20375132229490184,feature_importance,positive
img_black_mask_ratio_pct,0.13235521652774657,0.13235521652774657,feature_importance,positive
img_glcm_energy,0.09484828424773206,0.09484828424773206,feature_importance,positive
img_gray_hist_bin_0,0.053976656627194586,0.053976656627194586,feature_importance,positive
img_r_std,0.04379463058960549,0.04379463058960549,feature_importance,positive
img_glcm_homogeneity,0.04278443220105402,0.04278443220105402,feature_importance,positive
img_edge_to_center_rust_ratio,0.03630544771545426,0.03630544771545426,feature_importance,positive
img_strip_rust_p90_pct,0.031213670084910952,0.031213670084910952,feature_importance,positive
img_rust_blob_mean_ratio_pct,0.028688789623169203,0.028688789623169203,feature_importance,positive
img_lbp_mean,0.028032924817195715,0.028032924817195715,feature_importance,positive
img_glcm_contrast,0.026881955047846646,0.026881955047846646,feature_importance,positive
img_rust_blob_largest_ratio_pct,0.02629623365743548,0.02629623365743548,feature_importance,positive
img_gray_hist_bin_3,0.02215235059158531,0.02215235059158531,feature_importance,positive
img_gray_hist_bin_1,0.02155232880914695,0.02155232880914695,feature_importance,positive
img_rust_center_of_mass_cm,0.019805201071944528,0.019805201071944528,feature_importance,positive
img_b_std,0.01922450067852532,0.01922450067852532,feature_importance,positive
img_strip_peak_location_cm,0.018565159182373153,0.018565159182373153,feature_importance,positive
img_r_mean,0.016460841443454593,0.016460841443454593,feature_importance,positive
img_brightness_p10,0.015346628210198051,0.015346628210198051,feature_importance,positive
img_b_mean,0.014075067620781107,0.014075067620781107,feature_importance,positive
img_gray_hist_bin_5,0.012340164367427547,0.012340164367427547,feature_importance,positive
img_g_std,0.01195183404206417,0.01195183404206417,feature_importance,positive
img_strip_rust_max_pct,0.011656584024921177,0.011656584024921177,feature_importance,positive
img_gray_hist_bin_2,0.009890688481300165,0.009890688481300165,feature_importance,positive
img_lbp_std,0.008989543885078406,0.008989543885078406,feature_importance,positive
img_gray_hist_bin_6,0.008709753722503556,0.008709753722503556,feature_importance,positive
img_brightness_mean,0.005969898351256308,0.005969898351256308,feature_importance,positive
img_gray_hist_bin_7,0.005949664227988243,0.005949664227988243,feature_importance,positive
img_rust_blob_eccentricity_mean,0.00556580951490958,0.00556580951490958,feature_importance,positive
img_gray_hist_bin_4,0.004362104739144262,0.004362104739144262,feature_importance,positive
img_strip_rust_std_pct,0.004000557957729097,0.004000557957729097,feature_importance,positive
img_strip_high_count,0.0034881774270914263,0.0034881774270914263,feature_importance,positive
img_rust_blob_count,0.0032866834133433677,0.0032866834133433677,feature_importance,positive
img_brightness_p90,0.00227440573279102,0.00227440573279102,feature_importance,positive
img_g_mean,0.0015080464744486998,0.0015080464744486998,feature_importance,positive
img_strip_rust_mean_pct,0.0014983007770142884,0.0014983007770142884,feature_importance,positive
img_rust_area_ratio_pct,0.0010401742633120643,0.0010401742633120643,feature_importance,positive
img_contrast,0.0007619467976316647,0.0007619467976316647,feature_importance,positive
img_brightness_std,0.0006376629005516216,0.0006376629005516216,feature_importance,positive
img_rust_blob_eccentricity_max,6.357857237608716e-06,6.357857237608716e-06,feature_importance,positive
img_strip_count,0.0,0.0,feature_importance,positive
