feature,importance,importance_abs,importance_kind,direction,split_name,repeat_id,fold_id,split_id
img_rust_blob_largest_ratio_pct,0.17539444558033698,0.17539444558033698,coefficient,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_strip_rust_std_pct,0.15345278572807514,0.15345278572807514,coefficient,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_b_std,0.15260265027230396,0.15260265027230396,coefficient,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_strip_rust_p90_pct,-0.1496813186669214,0.1496813186669214,coefficient,negative,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_g_mean,-0.14550225128317332,0.14550225128317332,coefficient,negative,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_brightness_p10,-0.13897815024056392,0.13897815024056392,coefficient,negative,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_glcm_homogeneity,0.13194823887758073,0.13194823887758073,coefficient,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_r_std,0.13066128748862726,0.13066128748862726,coefficient,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_strip_high_count,0.1243767583679806,0.1243767583679806,coefficient,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_brightness_std,-0.12297178193568249,0.12297178193568249,coefficient,negative,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_contrast,-0.12297178193568224,0.12297178193568224,coefficient,negative,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_strip_rust_max_pct,-0.1078399970187221,0.1078399970187221,coefficient,negative,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_gray_hist_bin_4,-0.0908348231762401,0.0908348231762401,coefficient,negative,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_gray_hist_bin_2,-0.08637539991771713,0.08637539991771713,coefficient,negative,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_lbp_mean,0.08394399002145453,0.08394399002145453,coefficient,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_brightness_p90,-0.08247177095481358,0.08247177095481358,coefficient,negative,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_r_mean,0.07929271653408863,0.07929271653408863,coefficient,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_gray_hist_bin_7,0.07457482150288099,0.07457482150288099,coefficient,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_gray_hist_bin_5,-0.06267994734037022,0.06267994734037022,coefficient,negative,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_brightness_mean,-0.061263844803313594,0.061263844803313594,coefficient,negative,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_rust_blob_eccentricity_max,0.06119475677725087,0.06119475677725087,coefficient,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_rust_area_ratio_pct,-0.06103699958820888,0.06103699958820888,coefficient,negative,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_gray_hist_bin_3,-0.04814626604696105,0.04814626604696105,coefficient,negative,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_b_mean,0.046019272237150854,0.046019272237150854,coefficient,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_gray_hist_bin_1,-0.04412736028971151,0.04412736028971151,coefficient,negative,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_rust_blob_eccentricity_mean,-0.025520283484050516,0.025520283484050516,coefficient,negative,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_rust_center_of_mass_cm,-0.024591157426440427,0.024591157426440427,coefficient,negative,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_strip_rust_mean_pct,-0.02163257523100728,0.02163257523100728,coefficient,negative,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_lbp_std,0.020006412445499656,0.020006412445499656,coefficient,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_glcm_energy,-0.017467032604984528,0.017467032604984528,coefficient,negative,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_rust_blob_mean_ratio_pct,-0.01639767777677033,0.01639767777677033,coefficient,negative,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_glcm_contrast,0.015457996946932485,0.015457996946932485,coefficient,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_strip_peak_location_cm,0.009034222817187472,0.009034222817187472,coefficient,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_black_mask_ratio_pct,0.00533512197095927,0.00533512197095927,coefficient,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_gray_hist_bin_0,-0.004534055853315284,0.004534055853315284,coefficient,negative,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_edge_to_center_rust_ratio,-0.0032006931369976204,0.0032006931369976204,coefficient,negative,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_gray_mask_ratio_pct,-0.00259499994654333,0.00259499994654333,coefficient,negative,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_rust_blob_count,-0.0022399238333176154,0.0022399238333176154,coefficient,negative,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_gray_hist_bin_6,0.0021233308018111328,0.0021233308018111328,coefficient,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_g_std,0.001995504304499022,0.001995504304499022,coefficient,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_strip_count,0.0,0.0,coefficient,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_b_mean,-0.23376906778172143,0.23376906778172143,coefficient,negative,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_strip_rust_p90_pct,-0.1425584797586218,0.1425584797586218,coefficient,negative,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_brightness_p10,0.1413802975430452,0.1413802975430452,coefficient,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_strip_rust_std_pct,0.11853618859657455,0.11853618859657455,coefficient,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_rust_area_ratio_pct,-0.08539255640466895,0.08539255640466895,coefficient,negative,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_glcm_contrast,-0.08492155814126845,0.08492155814126845,coefficient,negative,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_gray_hist_bin_7,0.08112274239088542,0.08112274239088542,coefficient,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_g_std,0.07968550183386061,0.07968550183386061,coefficient,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_rust_center_of_mass_cm,0.07128081065514577,0.07128081065514577,coefficient,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_rust_blob_count,-0.07091382985287673,0.07091382985287673,coefficient,negative,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_brightness_mean,-0.07055125401238899,0.07055125401238899,coefficient,negative,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_rust_blob_mean_ratio_pct,-0.0685501628517751,0.0685501628517751,coefficient,negative,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_g_mean,-0.06476187308949005,0.06476187308949005,coefficient,negative,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_gray_hist_bin_4,-0.06403903088823569,0.06403903088823569,coefficient,negative,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_strip_high_count,0.05985054155361547,0.05985054155361547,coefficient,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_strip_rust_max_pct,0.05245586931664192,0.05245586931664192,coefficient,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_gray_hist_bin_3,-0.05103597557145769,0.05103597557145769,coefficient,negative,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_gray_hist_bin_2,0.04430349587910174,0.04430349587910174,coefficient,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_brightness_p90,0.04405049689884997,0.04405049689884997,coefficient,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_gray_hist_bin_5,-0.04061020735866946,0.04061020735866946,coefficient,negative,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_strip_peak_location_cm,-0.03930062755116558,0.03930062755116558,coefficient,negative,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_glcm_energy,0.03870776143393677,0.03870776143393677,coefficient,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_b_std,-0.03629326778135702,0.03629326778135702,coefficient,negative,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_gray_hist_bin_0,0.034067996568381026,0.034067996568381026,coefficient,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_lbp_std,0.03216477687608931,0.03216477687608931,coefficient,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_strip_rust_mean_pct,-0.03186971361348816,0.03186971361348816,coefficient,negative,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_lbp_mean,0.024435404874320152,0.024435404874320152,coefficient,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_gray_hist_bin_6,-0.022402304538724074,0.022402304538724074,coefficient,negative,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_r_mean,0.0221951046085498,0.0221951046085498,coefficient,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_glcm_homogeneity,0.01584225467229739,0.01584225467229739,coefficient,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_edge_to_center_rust_ratio,-0.010664825724210873,0.010664825724210873,coefficient,negative,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_rust_blob_eccentricity_max,-0.008946627905172026,0.008946627905172026,coefficient,negative,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_gray_hist_bin_1,-0.007067164011113514,0.007067164011113514,coefficient,negative,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_rust_blob_largest_ratio_pct,0.006710126441764703,0.006710126441764703,coefficient,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_gray_mask_ratio_pct,-0.00500423208616959,0.00500423208616959,coefficient,negative,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_black_mask_ratio_pct,-0.004771578604797772,0.004771578604797772,coefficient,negative,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_rust_blob_eccentricity_mean,-0.004144106441050276,0.004144106441050276,coefficient,negative,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
