feature,importance,importance_abs,importance_kind,direction,split_name,repeat_id,fold_id,split_id
img_glcm_homogeneity,0.1071346253156662,0.1071346253156662,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_strip_rust_std_pct,0.1066359281539917,0.1066359281539917,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_rust_blob_largest_ratio_pct,0.06996430456638336,0.06996430456638336,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_strip_rust_max_pct,0.0651305690407753,0.0651305690407753,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_b_std,0.06370529532432556,0.06370529532432556,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_gray_hist_bin_2,0.04553547501564026,0.04553547501564026,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_rust_center_of_mass_cm,0.03287825360894203,0.03287825360894203,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_glcm_contrast,0.031889185309410095,0.031889185309410095,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_g_std,0.028320984914898872,0.028320984914898872,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_strip_peak_location_cm,0.02635723538696766,0.02635723538696766,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_g_mean,0.025837939232587814,0.025837939232587814,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_edge_to_center_rust_ratio,0.025728093460202217,0.025728093460202217,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_gray_hist_bin_3,0.025370614603161812,0.025370614603161812,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_r_mean,0.02396773174405098,0.02396773174405098,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_rust_blob_eccentricity_mean,0.023404667153954506,0.023404667153954506,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_rust_blob_count,0.021273775026202202,0.021273775026202202,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_lbp_mean,0.018798278644680977,0.018798278644680977,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_strip_rust_p90_pct,0.018579958006739616,0.018579958006739616,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_gray_hist_bin_5,0.018033405765891075,0.018033405765891075,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_strip_rust_mean_pct,0.017969278618693352,0.017969278618693352,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_strip_high_count,0.017887162044644356,0.017887162044644356,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_glcm_energy,0.016995808109641075,0.016995808109641075,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_gray_hist_bin_4,0.015435289591550827,0.015435289591550827,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_brightness_p90,0.014944888651371002,0.014944888651371002,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_r_std,0.014572708867490292,0.014572708867490292,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_gray_hist_bin_1,0.013118652626872063,0.013118652626872063,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_lbp_std,0.012156288139522076,0.012156288139522076,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_brightness_mean,0.011780326254665852,0.011780326254665852,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_gray_hist_bin_7,0.011205463670194149,0.011205463670194149,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_brightness_std,0.010400468483567238,0.010400468483567238,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_rust_blob_mean_ratio_pct,0.009267664514482021,0.009267664514482021,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_brightness_p10,0.00916262622922659,0.00916262622922659,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_gray_hist_bin_6,0.008001549169421196,0.008001549169421196,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_gray_mask_ratio_pct,0.007984391413629055,0.007984391413629055,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_b_mean,0.007821893319487572,0.007821893319487572,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_gray_hist_bin_0,0.0076285372488200665,0.0076285372488200665,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_rust_area_ratio_pct,0.004877903964370489,0.004877903964370489,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_contrast,0.004187446087598801,0.004187446087598801,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_rust_blob_eccentricity_max,0.003432437777519226,0.003432437777519226,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_black_mask_ratio_pct,0.0026228693313896656,0.0026228693313896656,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_strip_count,0.0,0.0,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_r_mean,0.41061848402023315,0.41061848402023315,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_gray_hist_bin_7,0.0420289970934391,0.0420289970934391,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_glcm_contrast,0.03626512363553047,0.03626512363553047,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_lbp_mean,0.034404199570417404,0.034404199570417404,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_glcm_energy,0.030456647276878357,0.030456647276878357,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_gray_hist_bin_2,0.030394023284316063,0.030394023284316063,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_edge_to_center_rust_ratio,0.027837732806801796,0.027837732806801796,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_strip_peak_location_cm,0.027153948321938515,0.027153948321938515,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_glcm_homogeneity,0.026636051014065742,0.026636051014065742,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_rust_center_of_mass_cm,0.02500198408961296,0.02500198408961296,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_gray_hist_bin_0,0.021840980276465416,0.021840980276465416,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_gray_hist_bin_1,0.020849939435720444,0.020849939435720444,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_rust_blob_mean_ratio_pct,0.020720504224300385,0.020720504224300385,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_rust_blob_eccentricity_mean,0.018413454294204712,0.018413454294204712,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_lbp_std,0.015400471165776253,0.015400471165776253,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_gray_mask_ratio_pct,0.015070341527462006,0.015070341527462006,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_g_std,0.014856579713523388,0.014856579713523388,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_strip_rust_max_pct,0.01367912907153368,0.01367912907153368,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_rust_blob_count,0.013408659026026726,0.013408659026026726,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_gray_hist_bin_4,0.013233011588454247,0.013233011588454247,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_r_std,0.012156154029071331,0.012156154029071331,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_brightness_p90,0.012123120948672295,0.012123120948672295,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_strip_rust_p90_pct,0.011889757588505745,0.011889757588505745,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_contrast,0.010991016402840614,0.010991016402840614,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_gray_hist_bin_3,0.010723292827606201,0.010723292827606201,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_brightness_std,0.009812350384891033,0.009812350384891033,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_strip_high_count,0.009054596535861492,0.009054596535861492,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_gray_hist_bin_6,0.008352688513696194,0.008352688513696194,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_black_mask_ratio_pct,0.008222877979278564,0.008222877979278564,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_rust_blob_largest_ratio_pct,0.006195552181452513,0.006195552181452513,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_gray_hist_bin_5,0.006043027155101299,0.006043027155101299,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_strip_rust_std_pct,0.00534241646528244,0.00534241646528244,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_b_mean,0.005294978618621826,0.005294978618621826,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_rust_area_ratio_pct,0.005115315318107605,0.005115315318107605,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_b_std,0.0047950102016329765,0.0047950102016329765,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_strip_rust_mean_pct,0.004699370823800564,0.004699370823800564,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_brightness_p10,0.004332257900387049,0.004332257900387049,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_brightness_mean,0.0040758103132247925,0.0040758103132247925,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_g_mean,0.0025101196952164173,0.0025101196952164173,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_rust_blob_eccentricity_max,0.0,0.0,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
img_strip_count,0.0,0.0,feature_importance,positive,leave_one_campaign_out,0,1,leave_one_campaign_out_campaign_2
