split_name,repeat_id,fold_id,split_id,train_specimens,test_specimens,train_rows,test_rows,test_terminal_rows,train_mesh_counts,test_mesh_counts,train_campaign_counts,test_campaign_counts,leakage_safe
grouped_cv,0,0,grouped_cv_repeat0_fold0,34,9,305,87,9,"{""4"": 15, ""7"": 19}","{""4"": 4, ""7"": 5}","{""campaign_1"": 19, ""campaign_2"": 15}","{""campaign_1"": 5, ""campaign_2"": 4}",True
grouped_cv,0,1,grouped_cv_repeat0_fold1,34,9,314,78,9,"{""4"": 15, ""7"": 19}","{""4"": 4, ""7"": 5}","{""campaign_1"": 19, ""campaign_2"": 15}","{""campaign_1"": 5, ""campaign_2"": 4}",True
grouped_cv,0,2,grouped_cv_repeat0_fold2,34,9,301,91,9,"{""4"": 15, ""7"": 19}","{""4"": 4, ""7"": 5}","{""campaign_1"": 19, ""campaign_2"": 15}","{""campaign_1"": 5, ""campaign_2"": 4}",True
grouped_cv,0,3,grouped_cv_repeat0_fold3,35,8,321,71,8,"{""4"": 15, ""7"": 20}","{""4"": 4, ""7"": 4}","{""campaign_1"": 20, ""campaign_2"": 15}","{""campaign_1"": 4, ""campaign_2"": 4}",True
grouped_cv,0,4,grouped_cv_repeat0_fold4,35,8,327,65,8,"{""4"": 16, ""7"": 19}","{""4"": 3, ""7"": 5}","{""campaign_1"": 19, ""campaign_2"": 16}","{""campaign_1"": 5, ""campaign_2"": 3}",True
grouped_cv,1,0,grouped_cv_repeat1_fold0,34,9,312,80,9,"{""4"": 15, ""7"": 19}","{""4"": 4, ""7"": 5}","{""campaign_1"": 19, ""campaign_2"": 15}","{""campaign_1"": 5, ""campaign_2"": 4}",True
grouped_cv,1,1,grouped_cv_repeat1_fold1,34,9,310,82,9,"{""4"": 15, ""7"": 19}","{""4"": 4, ""7"": 5}","{""campaign_1"": 19, ""campaign_2"": 15}","{""campaign_1"": 5, ""campaign_2"": 4}",True
grouped_cv,1,2,grouped_cv_repeat1_fold2,34,9,314,78,9,"{""4"": 15, ""7"": 19}","{""4"": 4, ""7"": 5}","{""campaign_1"": 19, ""campaign_2"": 15}","{""campaign_1"": 5, ""campaign_2"": 4}",True
grouped_cv,1,3,grouped_cv_repeat1_fold3,35,8,320,72,8,"{""4"": 15, ""7"": 20}","{""4"": 4, ""7"": 4}","{""campaign_1"": 20, ""campaign_2"": 15}","{""campaign_1"": 4, ""campaign_2"": 4}",True
grouped_cv,1,4,grouped_cv_repeat1_fold4,35,8,312,80,8,"{""4"": 16, ""7"": 19}","{""4"": 3, ""7"": 5}","{""campaign_1"": 19, ""campaign_2"": 16}","{""campaign_1"": 5, ""campaign_2"": 3}",True
