sample_name,specimen_id,campaign_id,series_id,n_steel_mesh,week,ageing_days,ultimate_load_kn,terminal_ultimate_load_kn_target,baseline_predicted_ultimate_load_kn,baseline_predicted_ultimate_load_kn_std,prediction_count,is_measured_ultimate_load,baseline_residual,baseline_abs_error,refined_predicted_ultimate_load_kn,refined_predicted_ultimate_load_kn_std,refined_abs_error,refined_residual,delta_abs_error,delta_prediction,specimen_label,specimen_change_status
F03,F03,campaign_2,F,4,36,252,2.39,2.39,1.7809222005841745,0.00443280264563535,2,True,-0.6090777994158256,0.6090777994158256,1.7809222005841745,0.00443280264563535,0.6090777994158256,-0.6090777994158256,0.0,0.0,F03 | mesh 4 | actual 2.39 kN,no_meaningful_change
S2SA02,S2SA02,campaign_1,S2,7,28,196,2.87,2.87,2.3919980265508607,0.09979609633639128,2,True,-0.4780019734491394,0.4780019734491394,2.3919980265508607,0.09979609633639128,0.4780019734491394,-0.4780019734491394,0.0,0.0,S2SA02 | mesh 7 | actual 2.87 kN,no_meaningful_change
G03,G03,campaign_2,G,4,36,252,1.6,1.6,2.025827737441536,0.06690967511094557,2,True,0.4258277374415358,0.4258277374415358,2.025827737441536,0.06690967511094557,0.4258277374415358,0.4258277374415358,0.0,0.0,G03 | mesh 4 | actual 1.60 kN,no_meaningful_change
S2SA05,S2SA05,campaign_1,S2,7,28,196,2.76,2.76,2.3848457197271706,0.07812180755390011,2,True,-0.37515428027282915,0.37515428027282915,2.3848457197271706,0.07812180755390011,0.37515428027282915,-0.37515428027282915,0.0,0.0,S2SA05 | mesh 7 | actual 2.76 kN,no_meaningful_change
S5VF01,S5VF01,campaign_1,S5,7,28,196,2.75,2.75,2.3768080599982273,0.018990819212922245,2,True,-0.3731919400017727,0.3731919400017727,2.3768080599982273,0.018990819212922245,0.3731919400017727,-0.3731919400017727,0.0,0.0,S5VF01 | mesh 7 | actual 2.75 kN,no_meaningful_change
S2SA03,S2SA03,campaign_1,S2,7,28,196,2.25,2.25,2.604883622082171,0.09639323509934605,2,True,0.35488362208217117,0.35488362208217117,2.604883622082171,0.09639323509934605,0.35488362208217117,0.35488362208217117,0.0,0.0,S2SA03 | mesh 7 | actual 2.25 kN,no_meaningful_change
F05,F05,campaign_2,F,4,36,252,1.6,1.6,1.9534875099966604,0.001200381272406856,2,True,0.35348750999666034,0.35348750999666034,1.9534875099966604,0.001200381272406856,0.35348750999666034,0.35348750999666034,0.0,0.0,F05 | mesh 4 | actual 1.60 kN,no_meaningful_change
S2SA07,S2SA07,campaign_1,S2,7,28,196,2.26,2.26,2.595829594083424,0.03386695582822674,2,True,0.33582959408342417,0.33582959408342417,2.595829594083424,0.03386695582822674,0.33582959408342417,0.33582959408342417,0.0,0.0,S2SA07 | mesh 7 | actual 2.26 kN,no_meaningful_change
S1MI07,S1MI07,campaign_1,S1,7,28,196,2.1,2.1,2.3985184904214023,0.03983786266975011,2,True,0.2985184904214022,0.2985184904214022,2.3985184904214023,0.03983786266975011,0.2985184904214022,0.2985184904214022,0.0,0.0,S1MI07 | mesh 7 | actual 2.10 kN,no_meaningful_change
D05,D05,campaign_2,D,4,36,252,2.05,2.05,1.764009818159035,0.0017764490939561012,2,True,-0.2859901818409649,0.2859901818409649,1.764009818159035,0.0017764490939561012,0.2859901818409649,-0.2859901818409649,0.0,0.0,D05 | mesh 4 | actual 2.05 kN,no_meaningful_change
G02,G02,campaign_2,G,4,36,252,2.25,2.25,1.9655147360713539,0.024153078800417522,2,True,-0.28448526392864615,0.28448526392864615,1.9655147360713539,0.024153078800417522,0.28448526392864615,-0.28448526392864615,0.0,0.0,G02 | mesh 4 | actual 2.25 kN,no_meaningful_change
F06,F06,campaign_2,F,4,36,252,1.68,1.68,1.9270097222822717,0.011686215385463937,2,True,0.2470097222822718,0.2470097222822718,1.9270097222822717,0.011686215385463937,0.2470097222822718,0.2470097222822718,0.0,0.0,F06 | mesh 4 | actual 1.68 kN,no_meaningful_change
S2SA01,S2SA01,campaign_1,S2,7,28,196,2.35,2.35,2.5584451425592563,0.07240860589871025,2,True,0.20844514255925617,0.20844514255925617,2.5584451425592563,0.07240860589871025,0.20844514255925617,0.20844514255925617,0.0,0.0,S2SA01 | mesh 7 | actual 2.35 kN,no_meaningful_change
S1MI03,S1MI03,campaign_1,S1,7,28,196,2.54,2.54,2.339958415108517,0.04551456276635868,2,True,-0.20004158489148294,0.20004158489148294,2.339958415108517,0.04551456276635868,0.20004158489148294,-0.20004158489148294,0.0,0.0,S1MI03 | mesh 7 | actual 2.54 kN,no_meaningful_change
E05,E05,campaign_2,E,4,36,252,1.64,1.64,1.8358933081011624,0.00487239651570089,2,True,0.19589330810116246,0.19589330810116246,1.8358933081011624,0.00487239651570089,0.19589330810116246,0.19589330810116246,0.0,0.0,E05 | mesh 4 | actual 1.64 kN,no_meaningful_change
